"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
44,"N",15,"W",2,0,-2,1.41287116666253,-1.4155572335193
44,"N",14,"W",2,0,-2,1.41287116666253,-1.4155572335193
44,"N",13,"W",3,0,-3,1.7295840831163,-1.73452105005193
44,"N",12,"W",0,0,0,0,NA
44,"N",11,"W",3,0,-3,1.7295840831163,-1.73452105005193
44,"N",10,"W",2,0,-2,1.41287116666253,-1.4155572335193
44,"N",9,"W",4,0,-4,1.9962013261055,-2.0038059025859
44,"N",8,"W",1,0,-1,0.999525504125125,-1.00047472112809
44,"N",7,"W",3,0,-3,1.7295840831163,-1.73452105005193
44,"N",6,"W",0,0,0,0,NA
44,"N",5,"W",2,0,-2,1.41287116666253,-1.4155572335193
44,"N",3,"W",2,3,1,1.41287116666253,0.707778616759651
44,"N",4,"W",2,0,-2,1.41287116666253,-1.4155572335193
44,"N",2,"W",1,0,-1,0.999525504125125,-1.00047472112809
44,"N",1,"W",2,0,-2,1.41287116666253,-1.4155572335193
44,"N",1,"E",0,0,0,0,NA
44,"N",2,"E",1,0,-1,0.999525504125125,-1.00047472112809
44,"N",3,"E",3,0,-3,1.7295840831163,-1.73452105005193
44,"N",4,"E",2,0,-2,1.41287116666253,-1.4155572335193
44,"N",5,"E",3,0,-3,1.7295840831163,-1.73452105005193
44,"N",6,"E",0,0,0,0,NA
43,"N",15,"W",2,0,-2,1.41287116666253,-1.4155572335193
43,"N",14,"W",1,0,-1,0.999525504125125,-1.00047472112809
43,"N",13,"W",5,0,-5,2.23075790594018,-2.24139068909528
43,"N",12,"W",2,0,-2,1.41287116666253,-1.4155572335193
43,"N",11,"W",2,2,0,1.41287116666253,0
43,"N",10,"W",2,0,-2,1.41287116666253,-1.4155572335193
43,"N",9,"W",3,0,-3,1.7295840831163,-1.73452105005193
44,"N",7,"E",0,0,0,0,NA
43,"N",8,"W",4,1,-3,1.9962013261055,-1.50285442693943
43,"N",7,"W",2,0,-2,1.41287116666253,-1.4155572335193
43,"N",6,"W",3,0,-3,1.7295840831163,-1.73452105005193
43,"N",5,"W",3,0,-3,1.7295840831163,-1.73452105005193
43,"N",4,"W",2,0,-2,1.41287116666253,-1.4155572335193
43,"N",3,"W",5,0,-5,2.23075790594018,-2.24139068909528
43,"N",2,"W",0,0,0,0,NA
43,"N",7,"E",1,0,-1,0.999525504125125,-1.00047472112809
43,"N",6,"E",3,0,-3,1.7295840831163,-1.73452105005193
43,"N",5,"E",5,0,-5,2.23075790594018,-2.24139068909528
43,"N",4,"E",2,0,-2,1.41287116666253,-1.4155572335193
43,"N",1,"W",2,0,-2,1.41287116666253,-1.4155572335193
43,"N",1,"E",0,0,0,0,NA
43,"N",3,"E",2,0,-2,1.41287116666253,-1.4155572335193
