"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
47,"N",10,"W",3,85,82,1.73053434662654,47.384208328398,1635,56124.16359,-196656797.2
47,"N",9,"W",5,2,-3,2.23280411942157,-1.34360196396322,1634,56052.09524,-196950517.9
47,"N",8,"W",2,16,14,1.41338822611233,9.9052756640746,1633,55889.28818,-194098935.4
47,"N",7,"W",3,0,-3,1.73053434662654,-1.73356859738041,1632,55692.0074,-195452882.4
47,"N",6,"W",2,0,-2,1.41338822611233,-1.41503938058208,1631,55472.68706,-192517017.1
47,"N",5,"W",2,0,-2,1.41338822611233,-1.41503938058208,1630,55647.88598,-193132883.5
47,"N",4,"W",4,1,-3,1.99766491455695,-1.50175336120641,1629,55748.89701,-194523889.9
47,"N",3,"W",5,0,-5,2.23280411942157,-2.23933660660537,1628,55746.32748,-195480328.4
47,"N",2,"W",3,1,-2,1.73053434662654,-1.15571239825361,1627,55826.48776,-194163734.6
47,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208,1625,55020.79674,-175268666
47,"N",1,"E",7,0,-7,2.64034314095416,-2.65117055863821,1624,60924.96281,-94360547.65
46,"N",15,"W",2,23,21,1.41338822611233,14.8579134961119,1623,56065.77092,-194109187.3
47,"N",2,"E",1,0,-1,0.999708242152798,-1.00029184299469,1626,30686.24827,-13508824.63
46,"N",14,"W",3,4,1,1.73053434662654,0.577856199126805,1622,55574.92202,-192294731.7
46,"N",13,"W",3,12,9,1.73053434662654,5.20070579214124,1621,55476.58242,-192211460.2
46,"N",12,"W",1,1,1.11022302462516e-16,0.999708242152798,1.11054703543743e-16,1620,55882.36243,-195072090.1
46,"N",11,"W",5,3,-2,2.23280411942157,-0.895734642642148,1619,55243.71386,-191310777.2
46,"N",10,"W",6,57,51,2.44519866256641,20.8572010040574,1618,55163.02167,-189019554.7
46,"N",9,"W",1,11,10,0.999708242152798,10.0029184299469,1617,55497.58041,-193253555.1
46,"N",8,"W",6,5,-1,2.44519866256641,-0.408964725569753,1616,55893.72079,-195307262.3
46,"N",7,"W",4,2,-2,1.99766491455695,-1.00116890747094,1615,56194.27049,-197749977.5
46,"N",6,"W",3,0,-3,1.73053434662654,-1.73356859738041,1614,56513.55155,-199164487.2
46,"N",5,"W",8,12,4,2.82181864112619,1.41752554246491,1613,56683.8501,-200719773.1
46,"N",4,"W",1,0,-1,0.999708242152798,-1.00029184299469,1612,56341.94811,-198475689.3
46,"N",3,"W",4,0,-4,1.99766491455695,-2.00233781494187,1611,55984.99699,-195526278.8
46,"N",2,"W",4,0,-4,1.99766491455695,-2.00233781494187,1609,55957.30351,-196131545.9
46,"N",1,"W",7,0,-7,2.64034314095416,-2.65117055863821,1607,55633.74821,-193150127.5
46,"N",1,"E",5,0,-5,2.23280411942157,-2.23933660660537,1606,55954.63849,-195401002
46,"N",2,"E",4,0,-4,1.99766491455695,-2.00233781494187,1608,56059.99874,-171349286.6
46,"N",3,"E",0,0,0,0,NA,1610,12956.85046,-7084575.112
45,"N",15,"W",4,1,-3,1.99766491455695,-1.50175336120641,1605,56258.34568,-196266118.5
45,"N",14,"W",3,0,-3,1.73053434662654,-1.73356859738041,1604,55862.36828,-194577981.2
45,"N",13,"W",1,14,13,0.999708242152798,13.0037939589309,1603,55836.31352,-195034152.1
45,"N",12,"W",4,8,4,1.99766491455695,2.00233781494187,1602,55536.73851,-193071541.5
45,"N",11,"W",6,32,26,2.44519866256641,10.6330828648136,1601,55738.48747,-193140537.5
45,"N",10,"W",4,0,-4,1.99766491455695,-2.00233781494187,1600,55422.4174,-192795301.1
45,"N",9,"W",3,10,7,1.73053434662654,4.04499339388763,1599,55537.05062,-193017972.3
45,"N",8,"W",5,540,535,2.23280411942157,239.609016906775,1598,55750.6163,-193412914.3
45,"N",7,"W",6,84,78,2.44519866256641,31.8992485944407,1597,55747.3637,-194318331.2
45,"N",6,"W",5,6,1,2.23280411942157,0.447867321321074,1596,55905.63439,-195230373.3
45,"N",5,"W",2,0,-2,1.41338822611233,-1.41503938058208,1595,55833.15485,-195317155.9
45,"N",4,"W",1,0,-1,0.999708242152798,-1.00029184299469,1594,56109.29373,-196235816.5
45,"N",3,"W",5,0,-5,2.23280411942157,-2.23933660660537,1593,55609.58575,-192053488.7
45,"N",2,"W",4,0,-4,1.99766491455695,-2.00233781494187,1591,55831.89314,-194914113
45,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208,1589,55640.3518,-193360140.1
45,"N",1,"E",3,0,-3,1.73053434662654,-1.73356859738041,1588,55722.95308,-196287616.9
45,"N",2,"E",6,0,-6,2.44519866256641,-2.45378835341852,1590,55677.84432,-191731241.6
45,"N",3,"E",1,0,-1,0.999708242152798,-1.00029184299469,1592,53118.39857,-71167879.07
44,"N",15,"W",2,0,-2,1.41338822611233,-1.41503938058208,1587,56105.82004,-194291100.9
44,"N",14,"W",3,1,-2,1.73053434662654,-1.15571239825361,1586,55810.82709,-195317368.9
44,"N",13,"W",2,0,-2,1.41338822611233,-1.41503938058208,1585,56063.98223,-195694739.7
44,"N",12,"W",4,5,1,1.99766491455695,0.500584453735469,1584,55554.14357,-193203912.2
44,"N",11,"W",1,0,-1,0.999708242152798,-1.00029184299469,1583,55982.93547,-196104304.6
44,"N",10,"W",6,0,-6,2.44519866256641,-2.45378835341852,1582,55535.93683,-192309055.6
44,"N",9,"W",2,4,2,1.41338822611233,1.41503938058209,1581,55576.42754,-192685340.4
44,"N",8,"W",2,45,43,1.41338822611233,30.4233466825148,1580,55738.43067,-194573920.7
44,"N",7,"W",2,52,50,1.41338822611233,35.3759845145521,1579,55816.31552,-194535033.2
44,"N",6,"W",4,0,-4,1.99766491455695,-2.00233781494187,1577,55960.90642,-195563479.8
44,"N",5,"W",1,0,-1,0.999708242152798,-1.00029184299469,1575,55378.9436,-191382784.7
