"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
32,"N",8,"E",8,0,-8,2.8263171452472,-2.83053867944473
32,"N",7,"E",6,0,-6,2.44811939876388,-2.45086085385768
32,"N",9,"E",7,0,-7,2.64402439967938,-2.64747935036032
32,"N",6,"E",9,0,-9,2.99748216489424,-3.00251995004532
32,"N",3,"W",9,0,-9,2.99748216489424,-3.00251995004532
32,"N",5,"E",13,0,-13,3.6011794819818,-3.60992837625684
32,"N",2,"W",12,0,-12,3.46022461155574,-3.46798296270273
32,"N",1,"W",16,0,-16,3.9940298474189,-4.00597907658097
31,"N",15,"E",6,0,-6,2.44811939876388,-2.45086085385768
31,"N",14,"E",5,0,-5,2.23502557010665,-2.23711087106775
31,"N",13,"E",8,0,-8,2.8263171452472,-2.83053867944473
31,"N",12,"E",9,0,-9,2.99748216489424,-3.00251995004532
31,"N",4,"W",10,0,-10,3.15932859894666,-3.16522947417817
31,"N",2,"E",13,0,-13,3.6011794819818,-3.60992837625684
31,"N",11,"E",10,0,-10,3.15932859894666,-3.16522947417817
31,"N",3,"E",9,0,-9,2.99748216489424,-3.00251995004532
31,"N",3,"W",9,0,-9,2.99748216489424,-3.00251995004532
31,"N",4,"E",11,0,-11,3.31322232989396,-3.32003074491896
31,"N",10,"E",9,0,-9,2.99748216489424,-3.00251995004532
31,"N",8,"E",9,0,-9,2.99748216489424,-3.00251995004532
31,"N",1,"E",11,0,-11,3.31322232989396,-3.32003074491896
31,"N",9,"E",8,0,-8,2.8263171452472,-2.83053867944473
31,"N",2,"W",12,0,-12,3.46022461155574,-3.46798296270273
31,"N",7,"E",6,0,-6,2.44811939876388,-2.45086085385768
31,"N",6,"E",12,0,-12,3.46022461155574,-3.46798296270273
31,"N",5,"E",9,0,-9,2.99748216489424,-3.00251995004532
31,"N",1,"W",8,0,-8,2.8263171452472,-2.83053867944473
30,"N",4,"W",13,0,-13,3.6011794819818,-3.60992837625684
30,"N",12,"E",10,0,-10,3.15932859894666,-3.16522947417817
30,"N",3,"W",15,0,-15,3.86756430990813,-3.8784099753874
30,"N",1,"E",13,0,-13,3.6011794819818,-3.60992837625684
30,"N",2,"E",9,0,-9,2.99748216489424,-3.00251995004532
30,"N",11,"E",17,0,-17,4.11656680946556,-4.12965482812292
30,"N",2,"W",9,0,-9,2.99748216489424,-3.00251995004532
30,"N",1,"W",16,0,-16,3.9940298474189,-4.00597907658097
