"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
45,"N",4,"W",1,0,-1,0.999708242152798,-1.00029184299469
45,"N",3,"W",5,0,-5,2.23280411942157,-2.23933660660537
45,"N",2,"W",4,0,-4,1.99766491455695,-2.00233781494187
45,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208
45,"N",1,"E",3,0,-3,1.73053434662654,-1.73356859738041
45,"N",2,"E",6,0,-6,2.44519866256641,-2.45378835341852
45,"N",3,"E",1,0,-1,0.999708242152798,-1.00029184299469
44,"N",15,"W",2,0,-2,1.41338822611233,-1.41503938058208
44,"N",14,"W",3,1,-2,1.73053434662654,-1.15571239825361
44,"N",13,"W",2,0,-2,1.41338822611233,-1.41503938058208
44,"N",12,"W",4,5,1,1.99766491455695,0.500584453735469
44,"N",11,"W",1,0,-1,0.999708242152798,-1.00029184299469
44,"N",10,"W",6,0,-6,2.44519866256641,-2.45378835341852
44,"N",9,"W",2,4,2,1.41338822611233,1.41503938058209
44,"N",8,"W",2,45,43,1.41338822611233,30.4233466825148
44,"N",7,"W",2,52,50,1.41338822611233,35.3759845145521
44,"N",6,"W",4,0,-4,1.99766491455695,-2.00233781494187
44,"N",5,"W",1,0,-1,0.999708242152798,-1.00029184299469
44,"N",3,"W",1,0,-1,0.999708242152798,-1.00029184299469
44,"N",4,"W",1,0,-1,0.999708242152798,-1.00029184299469
44,"N",2,"W",4,2,-2,1.99766491455695,-1.00116890747094
44,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208
44,"N",1,"E",3,0,-3,1.73053434662654,-1.73356859738041
44,"N",2,"E",1,0,-1,0.999708242152798,-1.00029184299469
44,"N",3,"E",1,0,-1,0.999708242152798,-1.00029184299469
44,"N",4,"E",1,0,-1,0.999708242152798,-1.00029184299469
44,"N",5,"E",4,0,-4,1.99766491455695,-2.00233781494187
44,"N",6,"E",1,0,-1,0.999708242152798,-1.00029184299469
43,"N",15,"W",1,3,2,0.999708242152798,2.00058368598937
43,"N",14,"W",0,2,2,0,Inf
43,"N",13,"W",4,0,-4,1.99766491455695,-2.00233781494187
43,"N",12,"W",3,1,-2,1.73053434662654,-1.15571239825361
43,"N",11,"W",6,4,-2,2.44519866256641,-0.817929451139506
43,"N",10,"W",4,0,-4,1.99766491455695,-2.00233781494187
43,"N",9,"W",5,0,-5,2.23280411942157,-2.23933660660537
44,"N",7,"E",0,0,0,0,NA
43,"N",8,"W",3,0,-3,1.73053434662654,-1.73356859738041
43,"N",7,"W",4,33,29,1.99766491455695,14.5169491583286
43,"N",6,"W",2,0,-2,1.41338822611233,-1.41503938058208
43,"N",5,"W",6,0,-6,2.44519866256641,-2.45378835341852
43,"N",4,"W",2,0,-2,1.41338822611233,-1.41503938058208
43,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208
43,"N",2,"W",0,0,0,0,NA
43,"N",7,"E",3,0,-3,1.73053434662654,-1.73356859738041
43,"N",6,"E",2,0,-2,1.41338822611233,-1.41503938058208
43,"N",5,"E",0,0,0,0,NA
43,"N",4,"E",4,0,-4,1.99766491455695,-2.00233781494187
43,"N",1,"W",5,0,-5,2.23280411942157,-2.23933660660537
43,"N",1,"E",0,0,0,0,NA
43,"N",3,"E",3,0,-3,1.73053434662654,-1.73356859738041
43,"N",2,"E",3,0,-3,1.73053434662654,-1.73356859738041
43,"N",8,"E",3,0,-3,1.73053434662654,-1.73356859738041
43,"N",9,"E",0,0,0,0,NA
43,"N",10,"E",0,0,0,0,NA
42,"N",15,"W",2,0,-2,1.41338822611233,-1.41503938058208
34,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208
42,"N",14,"W",4,3,-1,1.99766491455695,-0.500584453735468
42,"N",13,"W",6,0,-6,2.44519866256641,-2.45378835341852
42,"N",12,"W",7,0,-7,2.64034314095416,-2.65117055863821
42,"N",11,"W",5,0,-5,2.23280411942157,-2.23933660660537
42,"N",10,"W",0,0,0,0,NA
42,"N",9,"W",3,0,-3,1.73053434662654,-1.73356859738041
42,"N",8,"W",3,2,-1,1.73053434662654,-0.577856199126805
42,"N",7,"W",3,0,-3,1.73053434662654,-1.73356859738041
42,"N",6,"W",2,0,-2,1.41338822611233,-1.41503938058208
42,"N",5,"W",4,0,-4,1.99766491455695,-2.00233781494187
42,"N",10,"E",2,0,-2,1.41338822611233,-1.41503938058208
42,"N",4,"W",5,0,-5,2.23280411942157,-2.23933660660537
42,"N",11,"E",3,0,-3,1.73053434662654,-1.73356859738041
42,"N",9,"E",3,0,-3,1.73053434662654,-1.73356859738041
42,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208
42,"N",2,"W",2,1,-1,1.41338822611233,-0.707519690291042
42,"N",8,"E",4,0,-4,1.99766491455695,-2.00233781494187
42,"N",1,"W",3,0,-3,1.73053434662654,-1.73356859738041
42,"N",7,"E",1,0,-1,0.999708242152798,-1.00029184299469
42,"N",6,"E",6,0,-6,2.44519866256641,-2.45378835341852
42,"N",5,"E",2,4,2,1.41338822611233,1.41503938058209
42,"N",4,"E",1,0,-1,0.999708242152798,-1.00029184299469
42,"N",2,"E",3,0,-3,1.73053434662654,-1.73356859738041
42,"N",3,"E",1,0,-1,0.999708242152798,-1.00029184299469
42,"N",1,"E",4,0,-4,1.99766491455695,-2.00233781494187
42,"N",12,"E",1,0,-1,0.999708242152798,-1.00029184299469
42,"N",16,"W",0,0,0,0,NA
41,"N",16,"W",3,0,-3,1.73053434662654,-1.73356859738041
41,"N",15,"W",2,0,-2,1.41338822611233,-1.41503938058208
41,"N",14,"W",4,0,-4,1.99766491455695,-2.00233781494187
41,"N",13,"W",1,0,-1,0.999708242152798,-1.00029184299469
41,"N",12,"W",2,2,2.22044604925031e-16,1.41338822611233,1.57100930107355e-16
41,"N",11,"W",1,0,-1,0.999708242152798,-1.00029184299469
41,"N",10,"W",2,0,-2,1.41338822611233,-1.41503938058208
41,"N",9,"W",2,0,-2,1.41338822611233,-1.41503938058208
41,"N",8,"W",0,0,0,0,NA
42,"N",13,"E",0,0,0,0,NA
41,"N",7,"W",2,0,-2,1.41338822611233,-1.41503938058208
41,"N",6,"W",3,0,-3,1.73053434662654,-1.73356859738041
41,"N",13,"E",0,0,0,0,NA
41,"N",12,"E",0,0,0,0,NA
41,"N",5,"W",7,0,-7,2.64034314095416,-2.65117055863821
41,"N",11,"E",5,0,-5,2.23280411942157,-2.23933660660537
41,"N",10,"E",4,0,-4,1.99766491455695,-2.00233781494187
41,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208
41,"N",4,"W",1,0,-1,0.999708242152798,-1.00029184299469
41,"N",3,"W",3,0,-3,1.73053434662654,-1.73356859738041
41,"N",2,"W",4,0,-4,1.99766491455695,-2.00233781494187
41,"N",9,"E",3,0,-3,1.73053434662654,-1.73356859738041
41,"N",8,"E",6,0,-6,2.44519866256641,-2.45378835341852
41,"N",7,"E",4,0,-4,1.99766491455695,-2.00233781494187
41,"N",6,"E",8,0,-8,2.82181864112619,-2.83505108492983
41,"N",5,"E",2,0,-2,1.41338822611233,-1.41503938058208
41,"N",4,"E",2,0,-2,1.41338822611233,-1.41503938058208
41,"N",3,"E",2,0,-2,1.41338822611233,-1.41503938058208
41,"N",1,"E",4,0,-4,1.99766491455695,-2.00233781494187
41,"N",2,"E",3,0,-3,1.73053434662654,-1.73356859738041
41,"N",17,"W",0,0,0,0,NA
41,"N",14,"E",1,0,-1,0.999708242152798,-1.00029184299469
41,"N",16,"E",0,0,0,0,NA
41,"N",15,"E",3,0,-3,1.73053434662654,-1.73356859738041
40,"N",18,"W",1,0,-1,0.999708242152798,-1.00029184299469
40,"N",17,"W",2,0,-2,1.41338822611233,-1.41503938058208
40,"N",16,"W",2,0,-2,1.41338822611233,-1.41503938058208
40,"N",15,"W",4,0,-4,1.99766491455695,-2.00233781494187
40,"N",14,"W",4,0,-4,1.99766491455695,-2.00233781494187
