"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","N_latitude","W_longitude","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr"
"SUWS011664","Equisetopsida","Ericales","Ericaceae","Chamaedaphne calyculata var. angustifolia",12906,"(L.) Moench","Chamaedaphne","calyculata","angustifolia","var.","","","Castle, R.","93-111","1993-05-13",1993,5,13,133,"1993-05-13","","Along ditch in spruce cedar swamp. 2 feet tall, bell like white flowers.",NA,"Douglas","Lake Nebagamon. N of Old Lake Nebagamon Dump, 2 miles on CTH F",46.55143,-91.70001,NA,4581,"46.551430 N"," 91.700010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Castle, R.","Castle, R."
"SUWS011667","Equisetopsida","Ericales","Ericaceae","Epigaea repens",3521,"L.","Epigaea","repens","","","","","Longenecker, Jean","1","1980-05-01",1980,5,1,122,"1980-05-01","","Rich woods, acid soil.",NA,"Douglas","Near Amnicon Lake",46.47775,-92.06105,NA,2321,"46.477750 N"," 92.061050 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Longenecker, Jean","Other Collectors"
"SUWS011673","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","","","McGovern, Scott","92/23","1992-10-15",1992,10,15,289,"1992-10-15","","Lycopodium growing along side and shaded by balsam fir. Soil in humus layer, sandy underneath. 6 inch plant with glossy oval leaves has runners with other vegetation growth attatched to one runner.",NA,"Vilas","Arbor Vitae. Hwy 70 E, 1 mile from Hwy 51; old 51 1.5 miles; Wiches Lake Rd. 1 mile S of Hourah Lake",45.94447,-89.65324,NA,400,"45.944470 N"," 89.653240 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","October","McGovern, Scott","Other Collectors"
"SUWS011675","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","","","Barnard","s.n.","1966-07-30",1966,7,30,211,"1966-07-30","","Woods.",NA,"Ashland","Mellen",46.32551,-90.66102,NA,1875,"46.325510 N"," 90.661020 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Barnard; Brashier","Other Collectors"
"SUWS011676","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","","","Brashier","PL-81","1964-06-28",1964,6,28,180,"1964-06-28","","Bog.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Walvoord","Brashier"
"SUWS011679","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","","","Castle, R.","93-332","1993-08-02",1993,8,2,214,"1993-08-02","","Pine woods, sandy soils.",NA,"Douglas","Brule. 5 miles W of Brule on Hwy 2 [orig. Bayfield Co. but that would have to be E of Brule]",46.55295,-91.68184,NA,1632,"46.552950 N"," 91.681840 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Castle, R.","Castle, R."
"SUWS011689","Equisetopsida","Ericales","Ericaceae","Kalmia polifolia",3986,"Wangenh.","Kalmia","polifolia","","","","","Brashier","PL-62","1964-06-30",1964,6,30,182,"1964-06-30","","In bog.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Grage","Brashier"
"SUWS011690","Equisetopsida","Ericales","Ericaceae","Kalmia polifolia",3986,"Wangenh.","Kalmia","polifolia","","","","","Brashier","s.n.","1965-06-07",1965,6,7,158,"1965-06-07","","In a bog.",NA,"Douglas","Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,"46.489860 N"," 92.184140 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Romans","Brashier"
"SUWS011697","Equisetopsida","Ericales","Ericaceae","Ledum groenlandicum",13261,"Oeder","Ledum","groenlandicum","","","","","Martin, Bonita","94-44","1994-10-12",1994,10,12,285,"1994-10-12","","Boggy, wintergreen, ferns, poplar, pines. Shrub to 1 meter, flowers white, 1 cm. wide, 5-7 stamens fr. slender ovoid 5-7.",NA,"Douglas","Gordon. Near Camp Roundelay, near Gordon - trail to wagons",46.18085,-91.6993,NA,3036,"46.180850 N"," 91.699300 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","October","Martin, Bonita","Other Collectors"
"SUWS011706","Equisetopsida","Ericales","Ericaceae","Ledum groenlandicum",13261,"Oeder","Ledum","groenlandicum","","","","","Brashier","PL-61","1964-07-04",1964,7,4,186,"1964-07-04","","Bog.",NA,"Bayfield","Pigeon Lake Field Station Nature Trail",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Walvoord","Brashier"
"SUWS011714","Equisetopsida","Ericales","Ericaceae","Vaccinium angustifolium",5317,"Aiton","Vaccinium","angustifolium","","","","","Castle, R.","93-112","1993-05-13",1993,5,13,133,"1993-05-13","","Roadside, sandy soils, full sun. Shrub, finely toothed leaves, bristle tipped.",NA,"Douglas","Winneboujou. Winneboujou Canoe landing on CTH B",46.51738,-91.6042,NA,1208,"46.517380 N"," 91.604200 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Castle, R.","Castle, R."
"SUWS011715","Equisetopsida","Ericales","Ericaceae","Vaccinium angustifolium",5317,"Aiton","Vaccinium","angustifolium","","","","","Brashier","s.n.","1965-06-07",1965,6,7,158,"1965-06-07","","Poplar-alder woods near roadside.",NA,"Douglas","Superior. 5 miles S of Superior on U.S. Hwy 35",46.63637,-92.10374,NA,4228,"46.636370 N"," 92.103740 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Romans","Brashier"
"SUWS011718","Equisetopsida","Ericales","Ericaceae","Vaccinium angustifolium",5317,"Aiton","Vaccinium","angustifolium","","","","","Thomson, John W., Jr.","s.n.","1942-05-17",1942,5,17,137,"1942-05-17","","",NA,"Douglas","S of Amnicon Lake",46.43423,-92.06174,NA,4716,"46.434230 N"," 92.061740 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","May","Thomson, John W., Jr.","Thomson, John W., Jr."
"SUWS011720","Equisetopsida","Ericales","Ericaceae","Vaccinium angustifolium",5317,"Aiton","Vaccinium","angustifolium","","","","","Brashier","15b","1964-06-01",1964,6,1,153,"1964-06-01","","Sandy-loam, brush covered hillside.",NA,"Douglas","Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans farm [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,"46.489860 N"," 92.184140 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Romans","Brashier"
"SUWS011722","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Walvoord","s.n.","1964-07-04",1964,7,4,186,"1964-07-04","","Bog.",NA,"Bayfield","Pigeon Lake Nature Trail",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Walvoord; Brashier","Other Collectors"
"SUWS011723","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Brashier","PL-147","1964-06-27",1964,6,27,179,"1964-06-27","","In bog.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Thoren","Brashier"
"SUWS011727","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Wassgren","s.n.","1964-06-27",1964,6,27,179,"1964-06-27","","In a bog.",NA,"Bayfield","Drummond. N of Pigeon Lake",46.3745,-91.34935,NA,3898,"46.374500 N"," 91.349350 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Wassgren; Brashier","Other Collectors"
"SUWS011731","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Mackensen","s.n.","1966-07-21",1966,7,21,202,"1966-07-21","","In a bog, swampy area.",NA,"Bayfield","Drummond. 1 mile NW of Drummond",46.34713,-91.2728,NA,1113,"46.347130 N"," 91.272800 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Mackensen; Brashier","Other Collectors"
"SUWS011733","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Janowski","s.n.","1964-07-07",1964,7,7,189,"1964-07-07","","Near bog.",NA,"Bayfield","Pigeon Lake Nature Trail",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Janowski; Brashier","Other Collectors"
"SUWS011734","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Muller","s.n.","1964-06-27",1964,6,27,179,"1964-06-27","","Bog.",NA,"Bayfield","Pigeon Lake Nature Trail",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Muller; Brashier","Other Collectors"
"SUWS011736","Equisetopsida","Ericales","Ericaceae","Vaccinium macrocarpon",5321,"Aiton","Vaccinium","macrocarpon","","","","","Hjerleid","s.n.","1966-07-10",1966,7,10,191,"1966-07-10","","Bog.",NA,"Bayfield","Drummond. 1 mile N of Hwy 63 on Hwy 223 [Delta-Drummond Rd. - N of Drummond]]",46.38525,-91.24698,NA,2474,"46.385250 N"," 91.246980 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Hjerleid; Brashier","Other Collectors"
"SUWS011738","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Cherf","s.n.","1964-07-15",1964,7,15,197,"1964-07-15","","Bog.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Cherf; Brashier","Other Collectors"
"SUWS011740","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Brashier","221a","1964-07-18",1964,7,18,200,"1964-07-18","","In small bog, very wet.",NA,"Douglas","Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,"46.489860 N"," 92.184140 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Romans","Brashier"
"SUWS011741","Equisetopsida","Ericales","Ericaceae","Vaccinium oxycoccos",5323,"L.","Vaccinium","oxycoccos","","","","","Valaskey","s.n.","1964-06-25",1964,6,25,177,"1964-06-25","","In bog.",NA,"Bayfield","Pigeon Lake Nature Trail",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Valaskey; Brashier","Other Collectors"
"SUWS011749","Equisetopsida","Ericales","Ericaceae","Chimaphila umbellata subsp. cisatlantica",12911,"(S.F.Blake) Hultén","Chimaphila","umbellata","cisatlantica","subsp.","","","McGovern, Scott","92/13","1992-09-19",1992,9,19,263,"1992-09-19","","Wooded area with balsam and maple, moss covered ground; sandy soil with 5 inch humus layer. Leaves in whirls, glossy surface, dark green.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"46.681220 N"," 92.066310 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","McGovern, Scott","Other Collectors"
"SUWS011754","Equisetopsida","Ericales","Ericaceae","Pyrola asarifolia subsp. asarifolia",6821,"","Pyrola","asarifolia","asarifolia","subsp.","","","Brashier","247c","1964-06-26",1964,6,26,178,"1964-06-26","","Heavily shaded woods.",NA,"Douglas","Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property",46.65497,-92.10442,NA,4161,"46.654970 N"," 92.104420 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Romans","Brashier"
"SUWS011755","Equisetopsida","Ericales","Ericaceae","Pyrola asarifolia subsp. asarifolia",6821,"","Pyrola","asarifolia","asarifolia","subsp.","","","Brashier","209a","1964-06-26",1964,6,26,178,"1964-06-26","","Rich woods, base of pine tree.",NA,"Douglas","Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property",46.65497,-92.10442,NA,4161,"46.654970 N"," 92.104420 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Romans","Brashier"
"SUWS011760","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","","","Brashier","PL-159","1964-07-12",1964,7,12,194,"1964-07-12","","Woods.",NA,"Bayfield","Perch Lake",46.54222,-91.3867,NA,259,"46.542220 N"," 91.386700 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Walvoord","Brashier"
"SUWS011761","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","","","Gunderson","s.n.","1964-07-08",1964,7,8,190,"1964-07-08","","Wet, roadside.",NA,"Bayfield","Perch Lake",46.54222,-91.3867,NA,259,"46.542220 N"," 91.386700 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Gunderson; Brashier","Other Collectors"
"SUWS011762","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","","","Brashier","PL-156","1964-07-06",1964,7,6,188,"1964-07-06","","",NA,"Bayfield","Perch Lake",46.54222,-91.3867,NA,259,"46.542220 N"," 91.386700 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Smith","Brashier"
"SUWS011763","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","","","Brashier","PL-158","1964-07-20",1964,7,20,202,"1964-07-20","","Rich woods.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Cherf","Brashier"
"SUWS011765","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","","","Hjerleid","s.n.","1966-07-24",1966,7,24,205,"1966-07-24","","Forested area.",NA,"Bayfield","Picnic area of Owen Lake",46.28641,-91.22705,NA,5154,"46.286410 N"," 91.227050 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Hjerleid; Brashier","Other Collectors"
"SUWS011766","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","","","Brashier","PL-157","1964-07-08",1964,7,8,190,"1964-07-08","","Near shore.",NA,"Bayfield","Perch Lake",46.54222,-91.3867,NA,259,"46.542220 N"," 91.386700 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Grage","Brashier"
"SUWS011769","Equisetopsida","Ericales","Ericaceae","Pyrola rotundifolia subsp. americana",13254,"L.","Pyrola","rotundifolia","americana","subsp.","","","Brashier","PL-88","1964-07-05",1964,7,5,187,"1964-07-05","","",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Thoren","Brashier"
"SUWS011770","Equisetopsida","Ericales","Ericaceae","Pyrola rotundifolia subsp. americana",13254,"L.","Pyrola","rotundifolia","americana","subsp.","","","Brashier","PL-87","1964-07-10",1964,7,10,192,"1964-07-10","","Near woods.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Valaskey","Brashier"
"SUWS011772","Equisetopsida","Ericales","Ericaceae","Orthilia secunda",4374,"(L.) House","Orthilia","secunda","","","","","Brashier","238b","1964-07-11",1964,7,11,193,"1964-07-11","","Mossy, shady ravine near river.",NA,"Douglas","Bardon State Park on Amnicon River",46.60755,-91.89927,NA,795,"46.607550 N"," 91.899270 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Romans","Brashier"
"SUWS011775","Equisetopsida","Ericales","Ericaceae","Moneses uniflora subsp. uniflora",13153,"(L.) A.Gray","Moneses","uniflora","uniflora","subsp.","","","Castle, R.","94-54","1994-06-20",1994,6,20,171,"1994-06-20","","Shaded area. 5 petals, white flowers",NA,"Douglas","Superior. Univ. of Wisconsin - Superior campus",46.71784,-92.08786,NA,699,"46.717840 N"," 92.087860 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Castle, R.","Castle, R."
"SUWS011777","Equisetopsida","Ericales","Ericaceae","Monotropa uniflora",4275,"L.","Monotropa","uniflora","","","","","Castle, R.","92-32","1992-09-20",1992,9,20,264,"1992-09-20","","In groups 6-10 under red pine.",NA,"Douglas","Brule. W of Brule Fish hatchery on Fish Hatchery Rd.",46.53529,-91.58211,NA,1088,"46.535290 N"," 91.582110 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Castle, R.","Castle, R."
"SUWS011779","Equisetopsida","Ericales","Ericaceae","Monotropa uniflora",4275,"L.","Monotropa","uniflora","","","","","Gitar","91/16","1991-08-14",1991,8,14,226,"1991-08-14","","Pine woods - sandy, moist soil with pine needle liter. All white heads with pale white stems.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"46.681220 N"," 92.066310 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Gitar; Rounce","Other Collectors"
"SUWS011780","Equisetopsida","Ericales","Ericaceae","Monotropa uniflora",4275,"L.","Monotropa","uniflora","","","","","Mendenhall, Paula M.","29","1992-09-20",1992,9,20,264,"1992-09-20","","Darker soil, by edge of woods. Almost a foot tall.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"46.681220 N"," 92.066310 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Mendenhall, Paula M.","Other Collectors"
"SUWS011781","Equisetopsida","Ericales","Ericaceae","Monotropa uniflora",4275,"L.","Monotropa","uniflora","","","","","Brashier","PL-7","1964-07-24",1964,7,24,206,"1964-07-24","","Mixed forest.",NA,"Bayfield","Pigeon Lake Field Station Nature Trail",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Thoren","Brashier"
"SUWS011783","Equisetopsida","Ericales","Ericaceae","Monotropa uniflora",4275,"L.","Monotropa","uniflora","","","","","Brashier","211a","1964-07-31",1964,7,31,213,"1964-07-31","","In rotting organic matter, shade.",NA,"Bayfield","N end of Lake Wabegoon",46.38367,-91.30858,NA,570,"46.383670 N"," 91.308580 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Romans","Brashier"
"SUWS011788","Equisetopsida","Ericales","Primulaceae","Anagallis arvensis",2517,"L.","Anagallis","arvensis","","","","","Sima, Bessie R.","s.n.","1944-08-21",1944,8,21,234,"1944-08-21","","Vacant lot, waste, sandy field.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"46.681220 N"," 92.066310 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Sima, Bessie R.","Other Collectors"
"SUWS011790","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","","","Brashier","107a","1964-07-19",1964,7,19,201,"1964-07-19","","Deep, shaded woods.",NA,"Douglas","Superior. 2 miles S of Superior on State Hwy 35, on the Ralph Law property",46.66803,-92.10374,NA,3149,"46.668030 N"," 92.103740 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Romans","Brashier"
"SUWS011794","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","","","","s.n.","1942-07-13",1942,7,13,194,"1942-07-13","","Valley of creek.",NA,"Douglas","Dewey. Valley of Clear Creek, S of Dewey",46.55439,-92.24019,NA,2085,"46.554390 N"," 92.240190 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","","Other Collectors"
"SUWS011795","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","","","Barnard","s.n.","1966-07-14",1966,7,14,195,"1966-07-14","","Sandy.",NA,"Bayfield","Pigeon Lake area",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Barnard; Brashier","Other Collectors"
"SUWS011797","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","","","Hjerleid","s.n.","1966-07-20",1966,7,20,201,"1966-07-20","","Sandy clearing.",NA,"Bayfield","Drummond. Jct. of Hwy 63 and CTH A [CTH A meets CTH N, W of Drummond and it jcts. with Hwy 63 near Drummond]",46.33038,-91.26501,NA,1129,"46.330380 N"," 91.265010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Hjerleid; Brashier","Other Collectors"
"SUWS011798","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","","","Cornell","s.n.","1966-07-13",1966,7,13,194,"1966-07-13","","Sandy and firm soil.",NA,"Bayfield","3 miles W of Pigeon Lake Camp on Hwy 394",46.34226,-91.41192,NA,1302,"46.342260 N"," 91.411920 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Cornell; Brashier","Other Collectors"
"SUWS011799","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","","","Castle, R.","94-84","1994-07-01",1994,7,1,182,"1994-07-01","","Open sloped field. Yellow flowers.",NA,"Douglas","Superior",46.68122,-92.06631,NA,12939,"46.681220 N"," 92.066310 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Castle, R.","Castle, R."
"SUWS011800","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","","","Brashier","157c","1964-08-07",1964,8,7,220,"1964-08-07","","Shady, damp area.",NA,"Douglas","Superior. 3 miles S of Superior on State Hwy 35, on Ralph Law property",46.65497,-92.10442,NA,4161,"46.654970 N"," 92.104420 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Brashier; Romans","Brashier"
"SUWS011803","Equisetopsida","Ericales","Primulaceae","Lysimachia quadrifolia",4163,"L.","Lysimachia","quadrifolia","","","Cochrane, Theodore S.","11Nov2009","Brashier","PL-71","1964-07-12",1964,7,12,194,"1964-07-12","","",NA,"Bayfield","Pigeon Lake Field Station, Hwy 27 off of CTH N.",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Valaskey","Brashier"
"SUWS011804","Equisetopsida","Ericales","Primulaceae","Lysimachia quadrifolia",4163,"L.","Lysimachia","quadrifolia","","","Cochrane, Theodore S.","11Nov2009","Brashier","PL-72","1964-07-12",1964,7,12,194,"1964-07-12","","Shore of lake.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Thoren","Brashier"
"SUWS011805","Equisetopsida","Ericales","Primulaceae","Lysimachia hybrida",4159,"Michx.","Lysimachia","hybrida","","","Cochrane, Theodore S.","11Nov2009","Cornell","s.n.","1966-07-26",1966,7,26,207,"1966-07-26","","Bog area.",NA,"Bayfield","W side of Anderson Lake",46.4037,-91.31713,NA,336,"46.403700 N"," 91.317130 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Cornell; Brashier","Other Collectors"
"SUWS011809","Equisetopsida","Ericales","Primulaceae","Lysimachia terrestris",4164,"(L.) Britton, Sterns & Poggenb.","Lysimachia","terrestris","","","","","Brashier","242a","1964-07-10",1964,7,10,192,"1964-07-10","","On roadside embankment, adjacent to small open water pond.",NA,"Douglas","2 miles E of Lake Nebagamon on CTH B",46.51493,-91.65784,NA,1250,"46.514930 N"," 91.657840 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Romans","Brashier"
"SUWS011811","Equisetopsida","Ericales","Primulaceae","Lysimachia terrestris",4164,"(L.) Britton, Sterns & Poggenb.","Lysimachia","terrestris","","","","","Cornell","s.n.","1966-07-26",1966,7,26,207,"1966-07-26","","Bog area.",NA,"Bayfield","W side of Anderson Lake",46.4037,-91.31713,NA,336,"46.403700 N"," 91.317130 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Cornell; Brashier","Other Collectors"
"SUWS011813","Equisetopsida","Ericales","Primulaceae","Lysimachia terrestris",4164,"(L.) Britton, Sterns & Poggenb.","Lysimachia","terrestris","","","","","Brashier","PL-73","1964-07-12",1964,7,12,194,"1964-07-12","","Side of road.",NA,"Bayfield","Pigeon Lake Field Station, E of Hwy 27",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Valaskey","Brashier"
"SUWS011814","Equisetopsida","Ericales","Primulaceae","Lysimachia terrestris",4164,"(L.) Britton, Sterns & Poggenb.","Lysimachia","terrestris","","","","","Brashier","PL-74","1964-07-12",1964,7,12,194,"1964-07-12","","Swamp.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Walvoord","Brashier"
"SUWS011815","Equisetopsida","Ericales","Primulaceae","Lysimachia terrestris",4164,"(L.) Britton, Sterns & Poggenb.","Lysimachia","terrestris","","","","","Thomson, John W., Jr.","s.n.","1942-07-18",1942,7,18,199,"1942-07-18","","",NA,"Douglas","Superior. Sand Island in Superior Bay",46.73216,-92.0663,NA,5466,"46.732160 N"," 92.066300 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Thomson, John W., Jr.; Smith, C. W.","Thomson, John W., Jr."
