"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","N_latitude","W_longitude","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr"
"SUWS010027","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","","","Cherf","s.n.","1964-07-10",1964,7,10,192,"1964-07-10","","Open woods off nature trail.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Cherf; Brashier","Other Collectors"
"SUWS010030","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","Peck, James H.","","Zarling, Ruth","s.n.","1967-07-11",1967,7,11,192,"1967-07-11","","Hemlock forest.",NA,"Bayfield","Drummond. On Donald's Road",46.37173,-91.21608,NA,1757,"46.371730 N"," 91.216080 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Zarling, Ruth","Other Collectors"
"SUWS010031","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","Peck, James H.","","Cherf","s.n.","1964-07-15",1964,7,15,197,"1964-07-15","","Open woods.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Cherf; Brashier","Other Collectors"
"SUWS010033","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","Peck, James H.","","Brashier","PL-250","1964-07-02",1964,7,2,184,"1964-07-02","","Forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Parrish","Brashier"
"SUWS010037","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Aspen being replaced by mesic hardwoods. Balsam fir and paper birch.",NA,"Ashland","National Forest Rd. 187. Near Morgan Falls",46.34717,-90.9163,NA,429,"46.347170 N"," 90.916300 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","November","Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W."
"SUWS010039","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","Peck, James H.","","Pilt, Karen","s.n.","1967-07-22",1967,7,22,203,"1967-07-22","","Hemlock forest.",NA,"Bayfield","Drummond. NE of Drummond, S on Donald's Road.",46.37173,-91.21608,NA,1757,"46.371730 N"," 91.216080 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Pilt, Karen","Other Collectors"
"SUWS010040","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium obscurum",12976,"L.","Lycopodium","obscurum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Near stream, mixed hard and softwood mature forest.",NA,"Ashland","Above Morgan Falls",46.34717,-90.9163,NA,429,"46.347170 N"," 90.916300 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","November","Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W."
"SUWS010042","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","","","Zirngibl, William","s.n.","1984-09-13",1984,9,13,257,"1984-09-13","","Mature white pine forest.",NA,"Douglas","Wisconsin Point, a sand spit forming the Superior Harbor. Lakeside 1 mile from tip. Fossil Dunes.",46.69966,-92.00158,NA,1551,"46.699660 N"," 92.001580 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Zirngibl, William","Other Collectors"
"SUWS010048","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Davidson, Donald W.","s.n.","1985-08-16",1985,8,16,228,"1985-08-16","","Mixed deciduous and coniferous forest.",NA,"Douglas","3 miles S of Lake Amnicon and 500 ft E of CTH A",46.43215,-92.06223,NA,927,"46.432150 N"," 92.062230 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Davidson, Donald W.; Zirngibl, William","Davidson, Donald W."
"SUWS010049","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Davidson, Donald W.","s.n.","1985-08-16",1985,8,16,228,"1985-08-16","","Mixed deciduous and coniferous forest.",NA,"Douglas","3 miles S of Lake Amnicon and 500 ft E of CTH A",46.43215,-92.06223,NA,927,"46.432150 N"," 92.062230 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Davidson, Donald W.; Zirngibl, William","Davidson, Donald W."
