"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr","t_num","t_dir","r_num","r_dir"
"SUWS015608","Equisetopsida","Poales","Juncaceae","Juncus tenuis",3978,"Willd.","Juncus","tenuis","","","Harriman, Neil A.","18FEB1974","Koch, Rudy G.","4235","1967-08-09",1967,8,9,221,"1967-08-09","","Sparse shade, hillside pasture.",NA,"Richland","Bosstown. 7 miles NW of Boaz [near Bosstown]",43.40365,-90.62687,NA,2500,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Koch, Rudy G.","Koch, Rudy G.",11,"N",2,"W"
"SUWS015613","Equisetopsida","Poales","Cyperaceae","Carex brunnescens subsp. sphaerostachya",6548,"(Tuck.) Kalela","Carex","brunnescens","sphaerostachya","subsp.","Zimmerman, James H.","1973","Koch, Rudy G.","6995","1971-06-30",1971,6,30,181,"1971-06-30","","Wet marshy area in woods.",NA,"Ashland","Stockton Island. One of the Apostle Island group; ca. 10 miles NE of Bayfield",46.13035,-90.66867,NA,13163,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Koch, Rudy G.","Koch, Rudy G.",42,"N",2,"W"
"SUWS015614","Equisetopsida","Poales","Cyperaceae","Carex brunnescens subsp. sphaerostachya",6548,"(Tuck.) Kalela","Carex","brunnescens","sphaerostachya","subsp.","Castle, R.","FEB 1994","Demaske, D.","657","1974-05-30",1974,5,30,150,"1974-05-30","","On slope about half way up mt.",NA,"Trempealeau","Perrot State Park; W side of Trempealeau Mountain.",44.02083,-91.49548,NA,300,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Demaske, D.","Other Collectors",18,"N",9,"W"
"SUWS015619","Equisetopsida","Poales","Cyperaceae","Carex blanda",2896,"Dewey","Carex","blanda","","","Zimmerman, James H.","1974","Sohmer, S. H.","1853","1968-05-25",1968,5,25,146,"1968-05-25","","Wood n[ea]r road adjacent to stone quarry.",NA,"Monroe","Portland. 1.5 miles S of Portland on CTH X and gravel road",43.75097,-90.89038,NA,2862,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Sohmer, S. H.","Other Collectors",15,"N",4,"W"
"SUWS015630","Equisetopsida","Poales","Cyperaceae","Carex cumulata",2919,"(L.H.Bailey) Mack.","Carex","cumulata","","","Zimmerman, James H.","1974","Sohmer, S. H.","2863","1968-08-06",1968,8,6,219,"1968-08-06","","Woods and sandy soil.",NA,"Monroe","Camp Mccoy. 1.5 miles W of Camp McCoy on Hwy. 21; near the La Crosse River public fishing area",43.97591,-90.75207,NA,1000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Sohmer, S. H.","Other Collectors",17,"N",3,"W"
"SUWS015636","Equisetopsida","Poales","Cyperaceae","Carex cumulata",2919,"(L.H.Bailey) Mack.","Carex","cumulata","","","Zimmerman, James H.","24Nov1974","Sohmer, S. H.","2869","1968-08-06",1968,8,6,219,"1968-08-06","","Woods and sandy soil.",NA,"Monroe","Camp Mccoy. 1.5 miles W of Camp McCoy on Hwy. 21 near the LaCrosse River Public fishing area",43.97591,-90.75207,NA,1000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Sohmer, S. H.","Other Collectors",17,"N",3,"W"
"SUWS015637","Equisetopsida","Poales","Cyperaceae","Carex crinita var. crinita",6550,"","Carex","crinita","crinita","var.","Zimmerman, James H.","1973","Koch, Rudy G.","6990","1971-06-30",1971,6,30,181,"1971-06-30","","Wet, marshy area in woods.",NA,"Ashland","Stockton Island. One of the Apostle Island group; ca. 10 miles NE of Bayfield",46.13035,-90.66867,NA,13163,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Koch, Rudy G.","Koch, Rudy G.",42,"N",2,"W"
"SUWS015640","Equisetopsida","Poales","Cyperaceae","Carex gracillima",2939,"Schwein.","Carex","gracillima","","","Zimmerman, James H.","14Nov1974","Sohmer, S. H.","1809(a)","1968-05-25",1968,5,25,146,"1968-05-25","","",NA,"Monroe","Portland. 2 miles S of Portland on CTH X",43.74144,-90.8993,NA,2500,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Sohmer, S. H.","Other Collectors",15,"N",4,"W"
"SUWS015644","Equisetopsida","Poales","Cyperaceae","Carex emoryi",2930,"Dewey ex Torr.","Carex","emoryi","","","Zimmerman, James H.","Apr 1976","Swanson, Steven D.","723","1975-06-20",1975,6,20,171,"1975-06-20","","Spit on the inside bend of a side channel; emergent species Phalaris, other grasses and Carex dominant.",NA,"La Crosse","La Crosse. Site 15 [Map on Sheet]; Mississippi River Navigation Pool #8 [near La Crosse]",43.80136,-91.23958,NA,10000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Swanson, Steven D.","Other Collectors",15,"N",7,"W"
"SUWS015659","Equisetopsida","Poales","Cyperaceae","Carex haydenii",2946,"Dewey","Carex","haydenii","","","Swanson, S. D.","02Dec1976","Sohmer, S. H.","s.n.","1968-05-11",1968,5,11,132,"1968-05-11","","",NA,"La Crosse","Goose Island",43.72941,-91.22541,NA,1800,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Sohmer, S. H.","Other Collectors",15,"N",7,"W"
"SUWS015660","Equisetopsida","Poales","Cyperaceae","Carex haydenii",2946,"Dewey","Carex","haydenii","","","Swanson, S. D.","02Dec1976","Sohmer, S. H.","s.n.","1968-05-11",1968,5,11,132,"1968-05-11","","",NA,"La Crosse","Goose Island",43.72941,-91.22541,NA,1800,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Sohmer, S. H.","Other Collectors",15,"N",7,"W"
"SUWS015670","Equisetopsida","Poales","Cyperaceae","Carex pensylvanica",2986,"Lam.","Carex","pensylvanica","","","Zimmerman, James H.","1973","Koch, Rudy G.","6996","1971-06-30",1971,6,30,181,"1971-06-30","","Sandy beach area.",NA,"Ashland","Stockton Island. One of the Apostle Island group; ca. 10 miles NE of Bayfield",46.13035,-90.66867,NA,13163,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Koch, Rudy G.","Koch, Rudy G.",42,"N",2,"W"
"SUWS015673","Equisetopsida","Poales","Cyperaceae","Carex pellita",2985,"Willd.","Carex","pellita","","","Castle, R.","1994","Sohmer, S. H.","9045","1974-06-22",1974,6,22,173,"1974-06-22","","Relatively dry area.",NA,"Trempealeau","Perrot State Park; Trempealeau Mt.; Western area between bluff and railroad tracks",44.01972,-91.48681,NA,500,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Sohmer, S. H.","Other Collectors",18,"N",9,"W"
"SUWS015677","Equisetopsida","Poales","Cyperaceae","Carex muehlenbergii",19442,"Schkuhr ex Willd.","Carex","muehlenbergii","","","Zimmerman, James H.","05Sep1975","Sohmer, S. H.","9044","1974-06-22",1974,6,22,173,"1974-06-22","","Relatively dry area.",NA,"Trempealeau","Perrot State Park; Trempealeau Mt.; Western area between bluff and railroad tracks",44.01972,-91.48681,NA,500,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Sohmer, S. H.","Other Collectors",18,"N",9,"W"
"SUWS015682","Equisetopsida","Poales","Cyperaceae","Carex stipata var. stipata",6563,"","Carex","stipata","stipata","var.","","","Sohmer, S. H.","2000","1968-06-09",1968,6,9,161,"1968-06-09","","Pond.",NA,"La Crosse","La Crosse. Veteran's Memorial Park, pond [La Crosse]",43.89186,-91.11459,NA,100,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Sohmer, S. H.","Other Collectors",16,"N",6,"W"
"SUWS015688","Equisetopsida","Poales","Cyperaceae","Carex sterilis",3006,"Willd.","Carex","sterilis","","","","","Koch, Rudy G.","6992","1971-06-30",1971,6,30,181,"1971-06-30","","Wet marshy area in woods.",NA,"Ashland","Stockton Island. One of the Apostle Island group; ca. 10 miles NE of Bayfield",46.13035,-90.66867,NA,13163,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Koch, Rudy G.","Koch, Rudy G.",42,"N",2,"W"
"SUWS015689","Equisetopsida","Poales","Cyperaceae","Carex sprengelii",3005,"Dewey ex Spreng.","Carex","sprengelii","","","Swanson, S. D.","03Dec1976","Demaske, D.","481","1974-05-15",1974,5,15,135,"1974-05-15","","Open, level area between railroad tracks and sand cliff.",NA,"Trempealeau","Perrot State Park; Trempealeau Mt.; SW side of island.",44.02083,-91.49548,NA,300,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Demaske, D.","Other Collectors",18,"N",9,"W"
"SUWS015690","Equisetopsida","Poales","Cyperaceae","Carex sprengelii",3005,"Dewey ex Spreng.","Carex","sprengelii","","","Zimmerman, James H.","05Sep1975","Demaske, D.","481","1974-05-15",1974,5,15,135,"1974-05-15","","Level area; open, between railroad tracks and sand cliff.",NA,"Trempealeau","Perrot State Park; Trempealeau Mt.; SW side of island",44.02083,-91.49548,NA,300,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Demaske, D.","Other Collectors",18,"N",9,"W"
"SUWS015691","Equisetopsida","Poales","Cyperaceae","Carex scoparia var. scoparia",6562,"","Carex","scoparia","scoparia","var.","Zimmerman, James H.","1974","Spoor, William J., Jr.","s.n.","1968-06-25",1968,6,25,177,"1968-06-25","","Floating bog mat.",NA,"Bayfield","Anderson Lake; Chequamegon National Forest",46.4037,-91.31713,NA,336,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Spoor, William J., Jr.","Other Collectors",45,"N",8,"W"
"SUWS015693","Equisetopsida","Poales","Cyperaceae","Carex rostrata",2998,"Stokes","Carex","rostrata","","","Zimmerman, James H.","24Nov1974","Sohmer, S. H.","2271","1968-07-05",1968,7,5,187,"1968-07-05","","Marsh.",NA,"Bayfield","W of Pigeon Lake along Forest Road 394 in Chequamegon National Forest",46.344,-91.36398,NA,1027,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Sohmer, S. H.","Other Collectors",45,"N",8,"W"
"SUWS015706","Equisetopsida","Poales","Cyperaceae","Cyperus esculentus var. leptostachyus",6611,"Boeck.","Cyperus","esculentus","leptostachyus","var.","","","Castle, R.","94-H","1994-08-01",1994,8,1,213,"1994-08-01","","Growing in a garden.",NA,"Douglas","Superior. UW-Superior campus near the Rothwell Student Center",46.71784,-92.08786,NA,699,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Castle, R.","Castle, R.",49,"N",14,"W"
"SUWS015714","Equisetopsida","Poales","Cyperaceae","Cyperus lupulinus",3327,"(Spreng.) Marcks","Cyperus","lupulinus","","","Marcks, Brian G.","21Oct1974","Sohmer, S. H.","2903","1968-08-06",1968,8,6,219,"1968-08-06","","Woods and sandy soil.",NA,"Monroe","Camp Mccoy. 1.5 miles W of Camp McCoy on Hwy. 21; near La Crosse River Public Fishing Area",43.97591,-90.75207,NA,1000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Sohmer, S. H.","Other Collectors",17,"N",3,"W"
"SUWS015716","Equisetopsida","Poales","Cyperaceae","Cyperus lupulinus",3327,"(Spreng.) Marcks","Cyperus","lupulinus","","","Swanson, S. D.","30Nov1976","Sohmer, S. H.","2798c","1968-07-27",1968,7,27,209,"1968-07-27","","",NA,"La Crosse","Goose Island",43.72941,-91.22541,NA,1800,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Sohmer, S. H.","Other Collectors",15,"N",7,"W"
"SUWS015729","Equisetopsida","Poales","Cyperaceae","Eleocharis elliptica",3481,"Kunth","Eleocharis","elliptica","","","Smith, S. Galen","1997","Sohmer, S. H.","2880b","1968-08-06",1968,8,6,219,"1968-08-06","","Woods and sandy soil.",NA,"Monroe","Camp Mccoy. 1.5 miles W of Camp McCoy on Hwy. 21; near fish hatchery near La Crosse River Public fishing area",43.97591,-90.75207,NA,1000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Sohmer, S. H.","Other Collectors",17,"N",3,"W"
