"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr","t_num","t_dir","r_num","r_dir"
"SUWS010001","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Granlund, Marvin","s.n.","1967-07-13",1967,7,13,194,"1967-07-13","","Deep woods.",NA,"Bayfield","Drummond. 3 miles SE of Drummond",46.30617,-91.21348,NA,1975,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Granlund, Marvin","Other Collectors",44,"N",7,"W"
"SUWS010007","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Zirngibl, William","s.n","1984-09-13",1984,9,13,257,"1984-09-13","","Mature pine forest.",NA,"Douglas","0.5 miles from the end of Wisconsin Point, Lake side",46.69966,-92.00158,NA,1551,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"September","Zirngibl, William","Other Collectors",49,"N",13,"W"
"SUWS010010","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Aspen being replaced by mesic hardwoods, balsam fir, and paper birch.",NA,"Ashland","National Forest Rd. 187. Near Morgan Falls",46.34717,-90.9163,NA,429,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"November","Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W.",45,"N",4,"W"
"SUWS010011","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Zirngibl, William","s.n.","1985-09-13",1985,9,13,256,"1985-09-13","","Mature white pine.",NA,"Douglas","Wisconsin Point, a sand spit forming the Superior Harbor. 0.5 mile from tip of Point. 0.5 way between lake and road. Fossil Dunes.",46.69966,-92.00158,NA,1551,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"September","Zirngibl, William","Other Collectors",49,"N",13,"W"
"SUWS010012","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Aspen being replaced by mesic hardwoods, balsam fir, and paper birch.",NA,"Ashland","National Forest Rd 187. Near Morgan Falls",46.32062,-90.85862,NA,5298,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"November","Davidson, Donald W.; Johnson, Robbye, Heim, Michael","Davidson, Donald W.",44,"N",4,"W"
"SUWS010014","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Zarling, Ruth","s.n.","1967-07-11",1967,7,11,192,"1967-07-11","","Hemlock forest.",NA,"Bayfield","Drummond. NE of Drummond on Donald's road",46.37173,-91.21608,NA,1757,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Zarling, Ruth","Other Collectors",45,"N",7,"W"
"SUWS010015","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","Cochrane, Theodore S.","","Richardson, Timothy","77","1969-10-24",1969,10,24,297,"1969-10-24","","Rocky soil in hardwood forest. The very long, more or less twisted weak tips on the leaves distinguish this species from the others.",NA,"Ashland","Sanborn. Morgan Falls, 5 miles S of Feeney Rd. S of Sanborn",46.34717,-90.9163,NA,429,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"October","Richardson, Timothy","Other Collectors",45,"N",4,"W"
"SUWS010023","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","Peck, James H.","","Brashier","PL-247","1964-06-27",1964,6,27,179,"1964-06-27","","Dry forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Raatz","Brashier",45,"N",8,"W"
"SUWS010024","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","Peck, James H.","","Zarling, Ruth","s.n.","1967-07-11",1967,7,11,192,"1967-07-11","","Hemlock forest.",NA,"Bayfield","Drummond. NE of Drummond on Donald's road",46.37173,-91.21608,NA,1757,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Zarling, Ruth","Other Collectors",45,"N",7,"W"
"SUWS010025","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","Peck, James H.","","Severson, Bob","s.n.","1967-07-22",1967,7,22,203,"1967-07-22","","Moist, low, woodlands.",NA,"Bayfield","Drummond. 4 mi. S of Drummond on Natl. Forest Road 213",46.2778,-91.27891,NA,2517,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Severson, Bob","Other Collectors",44,"N",7,"W"
"SUWS010026","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","","","Mitchell, John A.","s.n.","1968-05-01",1968,5,1,122,"1968-05-01","","Very damp area in mixed hardwoods, ground with grasses and sedges.",NA,"Bayfield","Iron River. Near Muskellunge Lake, S of Iron River",46.49791,-91.37486,NA,619,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Mitchell, John A.","Other Collectors",46,"N",8,"W"
"SUWS010027","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","","","Cherf","s.n.","1964-07-10",1964,7,10,192,"1964-07-10","","Open woods off nature trail.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Cherf; Brashier","Other Collectors",45,"N",8,"W"
"SUWS010030","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","Peck, James H.","","Zarling, Ruth","s.n.","1967-07-11",1967,7,11,192,"1967-07-11","","Hemlock forest.",NA,"Bayfield","Drummond. On Donald's Road",46.37173,-91.21608,NA,1757,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Zarling, Ruth","Other Collectors",45,"N",7,"W"
"SUWS010031","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","Peck, James H.","","Cherf","s.n.","1964-07-15",1964,7,15,197,"1964-07-15","","Open woods.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Cherf; Brashier","Other Collectors",45,"N",8,"W"
"SUWS010033","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","Peck, James H.","","Brashier","PL-250","1964-07-02",1964,7,2,184,"1964-07-02","","Forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Parrish","Brashier",45,"N",8,"W"
"SUWS010037","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Aspen being replaced by mesic hardwoods. Balsam fir and paper birch.",NA,"Ashland","National Forest Rd. 187. Near Morgan Falls",46.34717,-90.9163,NA,429,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"November","Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W.",45,"N",4,"W"
"SUWS010039","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","Peck, James H.","","Pilt, Karen","s.n.","1967-07-22",1967,7,22,203,"1967-07-22","","Hemlock forest.",NA,"Bayfield","Drummond. NE of Drummond, S on Donald's Road.",46.37173,-91.21608,NA,1757,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Pilt, Karen","Other Collectors",45,"N",7,"W"
"SUWS010040","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium obscurum",12976,"L.","Lycopodium","obscurum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Near stream, mixed hard and softwood mature forest.",NA,"Ashland","Above Morgan Falls",46.34717,-90.9163,NA,429,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"November","Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W.",45,"N",4,"W"
"SUWS010042","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium dendroideum",12974,"Michx.","Lycopodium","dendroideum","","","","","Zirngibl, William","s.n.","1984-09-13",1984,9,13,257,"1984-09-13","","Mature white pine forest.",NA,"Douglas","Wisconsin Point, a sand spit forming the Superior Harbor. Lakeside 1 mile from tip. Fossil Dunes.",46.69966,-92.00158,NA,1551,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"September","Zirngibl, William","Other Collectors",49,"N",13,"W"
"SUWS010048","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Davidson, Donald W.","s.n.","1985-08-16",1985,8,16,228,"1985-08-16","","Mixed deciduous and coniferous forest.",NA,"Douglas","3 miles S of Lake Amnicon and 500 ft E of CTH A",46.43215,-92.06223,NA,927,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Davidson, Donald W.; Zirngibl, William","Davidson, Donald W.",46,"N",14,"W"
"SUWS010049","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Davidson, Donald W.","s.n.","1985-08-16",1985,8,16,228,"1985-08-16","","Mixed deciduous and coniferous forest.",NA,"Douglas","3 miles S of Lake Amnicon and 500 ft E of CTH A",46.43215,-92.06223,NA,927,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Davidson, Donald W.; Zirngibl, William","Davidson, Donald W.",46,"N",14,"W"
"SUWS010050","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Aspen being replaced by mesic hardwoods Balsam fir and paper birch.",NA,"Ashland","Rd. 187 (National Forest Road). Near Morgan Falls.",46.34717,-90.9163,NA,429,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"November","Davidson, Donald W.; Johnson, Robbye, Heim, Michael","Davidson, Donald W.",45,"N",4,"W"
"SUWS010051","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Brashier","PL-252","1964-07-06",1964,7,6,188,"1964-07-06","","Hardwood forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Smith","Brashier",45,"N",8,"W"
"SUWS010052","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Mitchell, John A.","s.n.","1968-05-01",1968,5,1,122,"1968-05-01","","Moist area beneath large old growth of white pine.",NA,"Bayfield","Iron River. S shore, Twin Bear Lake, S of Iron River",46.50626,-91.36704,NA,1083,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Mitchell, John A.","Other Collectors",47,"N",8,"W"
"SUWS010053","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Johnson, Kurt","s.n.","1967-07-12",1967,7,12,193,"1967-07-12","","Woods.",NA,"Bayfield","Drummond. Donald's Road, 3 mi. NE of Drummond",46.37173,-91.21608,NA,1757,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Johnson, Kurt","Other Collectors",45,"N",7,"W"
"SUWS010054","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum digitatum",3414,"(Dill. ex A.Braun) Holub","Diphasiastrum","digitatum","","","","","Brashier","PL-251","1964-07-15",1964,7,15,197,"1964-07-15","","Forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Walvoord","Brashier",45,"N",8,"W"
"SUWS010056","Equisetopsida","Lycopodiales","Lycopodiaceae","Huperzia lucidula",3885,"(Michx.) Trevis.","Huperzia","lucidula","","","","","Mitchell, John A.","s.n.","1968-05-01",1968,5,1,122,"1968-05-01","","Just above lake edge on slope bank beneath large old growth white pines, soil sandy and covered with needles.",NA,"Bayfield","Iron River. S shore Twin Bear Lake, S of Iron River",46.50626,-91.36704,NA,1083,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"May","Mitchell, John A.","Other Collectors",47,"N",8,"W"
"SUWS010070","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Zarling, Ruth","s.n.","1967-07-28",1967,7,28,209,"1967-07-28","","Jack pine forest.",NA,"Bayfield","On CTH N, 5 miles from Pigeon Lake Field Station",46.33991,-91.36446,NA,9024,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Zarling, Ruth","Other Collectors",45,"N",8,"W"
"SUWS010072","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Zirngibl, William","s.n.","1985-07-20",1985,7,20,201,"1985-07-20","","Mature poplar and pine forest about 15 ft. from edge of swamp. Deep rhizome not surficial.",NA,"Price","9 miles N of Phillips, E side of Rd. (Hwy 13), Property of Roger Kreger. [W of Coolidge Lake]",45.82694,-90.40043,NA,3036,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Zirngibl, William","Other Collectors",39,"N",1,"E"
"SUWS010073","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Johnson, Robbye","s.n.","1985-10-09",1985,10,9,282,"1985-10-09","","",NA,"Bayfield","1.5 miles N by NE of CTH A and National Forest Rd. 390 [there is no FR 390, there is 391 just S of Camp Nine Lake that jcts. with CTH A]",46.40073,-91.41715,NA,819,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"October","Johnson, Robbye","Other Collectors",45,"N",8,"W"
"SUWS010075","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Johnson, Robbye","s.n.","1985-10-09",1985,10,9,282,"1985-10-09","","",NA,"Bayfield","Iron River. Fred's Rd. Chequmegon National Forest, off of CTH A in Iron River",46.62887,-91.31853,NA,7370,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"October","Johnson, Robbye","Other Collectors",48,"N",8,"W"
"SUWS010076","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Johnson, Robbye","s.n.","1985-10-09",1985,10,9,282,"1985-10-09","","Brush prairie, burned 10 years before collection, full sun.",NA,"Douglas","CTH T and Cronin Rd. S Douglas Co. [can't find Cronin Rd.]",46.18661,-91.98815,NA,14403,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"October","Johnson, Robbye","Other Collectors",43,"N",13,"W"
"SUWS010078","Equisetopsida","Equisetales","Equisetaceae","Equisetum arvense",3530,"L.","Equisetum","arvense","","","Peck, James H.","","Thomson, John W., Jr.","s.n.","1942-07-18",1942,7,18,199,"1942-07-18","","",NA,"Douglas","Superior. Sand Island in Superior Bay",46.73216,-92.0663,NA,5466,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Thomson, John W., Jr.; Smith, C. W.","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS010090","Equisetopsida","Selaginellales","Selaginellaceae","Selaginella rupestris",5023,"(L.) Spring","Selaginella","rupestris","","","Peck, James H.","","Cherf","s.n.","1964-07-25",1964,7,25,207,"1964-07-25","","On rock in side of cliff.",NA,"Bayfield","Pigeon Lake Biology Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Cherf; Brashier","Other Collectors",45,"N",8,"W"
"SUWS010091","Equisetopsida","Ophioglossales","Ophioglossaceae","Botrychium virginianum",12874,"(L.) Sw.","Botrychium","virginianum","","","Peck, James H.","","Brashier","PL-229","1964-07-15",1964,7,15,197,"1964-07-15","","Floor of virgin hemlock forest.",NA,"Bayfield","Pigeon Lake Biology Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Cherf","Brashier",45,"N",8,"W"
"SUWS010095","Equisetopsida","Osmundales","Osmundaceae","Osmunda cinnamomea",4382,"L.","Osmunda","cinnamomea","","","","","Brashier","PL-227","1964-07-04",1964,7,4,186,"1964-07-04","","Shady forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Grage","Brashier",45,"N",8,"W"
"SUWS010097","Equisetopsida","Osmundales","Osmundaceae","Osmunda cinnamomea",4382,"L.","Osmunda","cinnamomea","","","","","Brashier","PL-240","1964-06-30",1964,6,30,182,"1964-06-30","","Forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier","Brashier",45,"N",8,"W"
"SUWS010098","Equisetopsida","Osmundales","Osmundaceae","Osmunda cinnamomea",4382,"L.","Osmunda","cinnamomea","","","","","Brashier","PL-225","1964-06-30",1964,6,30,182,"1964-06-30","","Shady, moist forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Brashier; Raatz","Brashier",45,"N",8,"W"
"SUWS010103","Equisetopsida","Osmundales","Osmundaceae","Osmunda claytoniana",4383,"L.","Osmunda","claytoniana","","","","","Thomson, John W., Jr.","s.n.","1942-06-27",1942,6,27,178,"1942-06-27","","",NA,"Douglas","Superior. Road to Wisconsin Point",46.69472,-91.99265,NA,2450,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Thomson, John W., Jr.","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS010119","Equisetopsida","Polypodiales","Thelypteridaceae","Phegopteris connectilis",4474,"(Michx.) Watt","Phegopteris","connectilis","","","Peck, James H.","1978","Koch, Rudy G.","8858","1974-07-25",1974,7,25,206,"1974-07-25","","Forest, maple stand.",NA,"Ashland","Stockton Island. One of the Apostle Island group; ca. 10 miles NE of Bayfield",46.13035,-90.66867,NA,13163,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Koch, Rudy G.","Koch, Rudy G.",42,"N",2,"W"
"SUWS010121","Equisetopsida","Polypodiales","Dryopteridaceae","Athyrium filix-femina var. angustum",6516,"(Willd.) G.Lawson","Athyrium","filix-femina","angustum","var.","","","Koch, Rudy G.","6187","1969-08-21",1969,8,21,233,"1969-08-21","","Deciduous woods with some conifers, sandy soil in a shady area, along trail.",NA,"Bayfield","Drummond. Lake Owen Campground area, ca 5 mi. W of Drummond",46.33685,-91.36282,NA,2559,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Koch, Rudy G.","Koch, Rudy G.",45,"N",8,"W"
"SUWS010126","Equisetopsida","Polypodiales","Dryopteridaceae","Athyrium filix-femina var. angustum",6516,"(Willd.) G.Lawson","Athyrium","filix-femina","angustum","var.","","","Michell, John","s.n.","1968-07-14",1968,7,14,196,"1968-07-14","","Marsh with mostly black ash present, shady.",NA,"Douglas","Marsh area 800 ft. from Big Lake, Brule River 0.5 mile S of access landing.",46.47883,-91.60297,NA,986,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Michell, John","Other Collectors",46,"N",10,"W"
"SUWS010131","Equisetopsida","Polypodiales","Dryopteridaceae","Gymnocarpium dryopteris",3784,"(L.) Newman","Gymnocarpium","dryopteris","","","Peck, James H.","1978","Mitchell, John A.","s.n.","1968-07-28",1968,7,28,210,"1968-07-28","","Cedar grove, old growth, very shady, growing mostly on rotting wood with moss.",NA,"Douglas","E of Stone's Bridge, CTH S, Brule River",46.43413,-91.67513,NA,1371,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Mitchell, John A.","Other Collectors",46,"N",10,"W"
"SUWS010136","Equisetopsida","Polypodiales","Dryopteridaceae","Matteuccia struthiopteris var. pensylvanica",4206,"(Willd.) C.V.Morton","Matteuccia","struthiopteris","pensylvanica","var.","","","","s.n.","1942-07-13",1942,7,13,194,"1942-07-13","","Creek valley.",NA,"Douglas","Dewey. Clear Creek, S of Dewey",46.55439,-92.24019,NA,2085,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","","Other Collectors",47,"N",15,"W"
"SUWS010138","Equisetopsida","Polypodiales","Dryopteridaceae","Onoclea sensibilis",4358,"L.","Onoclea","sensibilis","","","Peck, James H.","1978","Brashier","PL-233","1964-07-08",1964,7,8,190,"1964-07-08","","Forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Parrish","Brashier",45,"N",8,"W"
"SUWS010148","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris intermedia",3446,"(Muhl. ex Willd.) A.Gray","Dryopteris","intermedia","","","Peck, James H.","1978","Koch, Rudy G.","8848","1974-07-25",1974,7,25,206,"1974-07-25","","Forest floor, maple stand.",NA,"Ashland","Stockton Island. Stockton Island in the Apostle Island group; ca. 10 miles NE of Bayfield",46.93799,-90.57852,NA,6365,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Koch, Rudy G.","Koch, Rudy G.",52,"N",2,"W"
"SUWS010150","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris intermedia",3446,"(Muhl. ex Willd.) A.Gray","Dryopteris","intermedia","","","Peck, James H.","1978","Brashier","PL-237","1964-07-20",1964,7,20,202,"1964-07-20","","Wet soil near bog.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Cherf","Brashier",45,"N",8,"W"
"SUWS010152","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris intermedia",3446,"(Muhl. ex Willd.) A.Gray","Dryopteris","intermedia","","","Peck, James H.","1977","Koch, Rudy G.","6812","1970-06-27",1970,6,27,178,"1970-06-27","","Mixed decidous forest.",NA,"Bayfield","Drummond. Perch Lake Campground area, Chequamegon National Forest; ca 5 mi. N of Drummond",46.38856,-91.26936,NA,2334,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Koch, Rudy G.","Koch, Rudy G.",45,"N",7,"W"
"SUWS010159","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris intermedia",3446,"(Muhl. ex Willd.) A.Gray","Dryopteris","intermedia","","","Peck, James H.","1978","Brashier","PL-236","1964-07-08",1964,7,8,190,"1964-07-08","","Mixed forest undergrowth.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Thoren","Brashier",45,"N",8,"W"
"SUWS010160","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris carthusiana",3440,"(Vill.) H.P.Fuchs","Dryopteris","carthusiana","","","","","Koch, Rudy G.","8010","1973-08-02",1973,8,2,214,"1973-08-02","","",NA,"Ashland","Stockton Island. One of the Apostle Island group, ca. 10 miles NE Bayfield",46.13035,-90.66867,NA,13163,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Koch, Rudy G.","Koch, Rudy G.",42,"N",2,"W"
"SUWS010164","Equisetopsida","Pinales","Pinaceae","Abies balsamea",2407,"(L.) Mill.","Abies","balsamea","","","","","Brashier","PL-217","1964-07-20",1964,7,20,202,"1964-07-20","","",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"July","Brashier; Janowski","Brashier",45,"N",8,"W"
"SUWS010169","Equisetopsida","Pinales","Pinaceae","Picea mariana",4495,"(Mill.) Britton, Sterns & Poggenb.","Picea","mariana","","","","","Thomson, John W., Jr.","s.n.","1943-08-21",1943,8,21,233,"1943-08-21","","",NA,"Douglas","On upper Brule below Douglas Springs",46.553,-91.57658,NA,25304,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Thomson, John W., Jr.; Fassett, Norman C.","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS010200","Equisetopsida","Alismatales","Potamogetonaceae","Potamogeton amplifolius",4615,"Tuck.","Potamogeton","amplifolius","","","","","Swanson, Denny","44","1980-08-05",1980,8,5,218,"1980-08-05","","Growing in 1 meter of water.",NA,"Douglas","Lyman Lake; 25 miles S of Superior",46.45669,-91.98397,NA,1672,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"August","Swanson, Denny","Other Collectors",46,"N",13,"W"
"SUWS010216","Equisetopsida","Alismatales","Potamogetonaceae","Potamogeton nodosus",4627,"Poir.","Potamogeton","nodosus","","","","","Sohmer, S. H.","7423","1973-06-05",1973,6,5,156,"1973-06-05","","",NA,"Vernon","Stoddard. Upper Mississippi Wildlife Preserve; near mile 685 of the Navigation channel [Near Stoddard]",43.63458,-91.22566,NA,4000,"Georeferencing Quick Reference Guide 2012-10-02","Geolocate",NA,NA,NA,"June","Sohmer, S. H.","Other Collectors",13,"N",7,"W"
