Only_Coords_Specimens_CoordinateTableToPoint.OID,Only_Coords_Specimens_CoordinateTableToPoint.catalogNumber,Only_Coords_Specimens_CoordinateTableToPoint.class,Only_Coords_Specimens_CoordinateTableToPoint.order_,Only_Coords_Specimens_CoordinateTableToPoint.family,Only_Coords_Specimens_CoordinateTableToPoint.scientificName,Only_Coords_Specimens_CoordinateTableToPoint.taxonID,Only_Coords_Specimens_CoordinateTableToPoint.scientificNameAuthorship,Only_Coords_Specimens_CoordinateTableToPoint.genus,Only_Coords_Specimens_CoordinateTableToPoint.specificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.infraspecificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.taxonRank,Only_Coords_Specimens_CoordinateTableToPoint.identifiedBy,Only_Coords_Specimens_CoordinateTableToPoint.dateIdentified,Only_Coords_Specimens_CoordinateTableToPoint.collectedBy,Only_Coords_Specimens_CoordinateTableToPoint.recordNumber,Only_Coords_Specimens_CoordinateTableToPoint.eventDate,Only_Coords_Specimens_CoordinateTableToPoint.year,Only_Coords_Specimens_CoordinateTableToPoint.month,Only_Coords_Specimens_CoordinateTableToPoint.day,Only_Coords_Specimens_CoordinateTableToPoint.startDayOfYear,Only_Coords_Specimens_CoordinateTableToPoint.verbatimEventDate,Only_Coords_Specimens_CoordinateTableToPoint.occurrenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.habitat,Only_Coords_Specimens_CoordinateTableToPoint.informationWithheld,Only_Coords_Specimens_CoordinateTableToPoint.county,Only_Coords_Specimens_CoordinateTableToPoint.locality,Only_Coords_Specimens_CoordinateTableToPoint.decimalLatitude,Only_Coords_Specimens_CoordinateTableToPoint.decimalLongitude,Only_Coords_Specimens_CoordinateTableToPoint.geodeticDatum,Only_Coords_Specimens_CoordinateTableToPoint.coordinateUncertaintyInMeters,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude_D,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude_D,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceProtocol,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceSources,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.minimumElevationInMeters,Only_Coords_Specimens_CoordinateTableToPoint.verbatimElevation,Only_Coords_Specimens_CoordinateTableToPoint.month_fctr,Only_Coords_Specimens_CoordinateTableToPoint.recordedBy_og,Only_Coords_Specimens_CoordinateTableToPoint.coll_gr,Only_Coords_Specimens_CoordinateTableToPoint.DDLat,Only_Coords_Specimens_CoordinateTableToPoint.DDLon,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.OBJECTID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.Join_Count,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TARGET_FID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.AREA,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.PERIMETER,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_I,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DTR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWP,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.RNG,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR_ALPHA
11,SUWS010026,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium clavatum,4148,L.,Lycopodium,clavatum,,,,,"Mitchell, John A.",s.n.,1968-05-01,1968,5,1,122,1968-05-01,,"Very damp area in mixed hardwoods, ground with grasses and sedges.",NA,Bayfield,"Iron River. Near Muskellunge Lake, S of Iron River",46.49791,-91.37486,NA,619,46.497910 N, 91.374860 W,46.49791,-91.37486,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Mitchell, John A.",Other Collectors,46.49791,-91.37486,11,1,11,92663036.76,38499.34656,79,78,24608,2,46,8,W
12,SUWS010027,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium clavatum,4148,L.,Lycopodium,clavatum,,,,,Cherf,s.n.,1964-07-10,1964,7,10,192,1964-07-10,,Open woods off nature trail.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cherf; Brashier,Other Collectors,46.34228,-91.34901,12,1,12,92054397.66,38461.88047,97,96,24508,2,45,8,W
13,SUWS010030,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium dendroideum,12974,Michx.,Lycopodium,dendroideum,,,"Peck, James H.",,"Zarling, Ruth",s.n.,1967-07-11,1967,7,11,192,1967-07-11,,Hemlock forest.,NA,Bayfield,Drummond. On Donald's Road,46.37173,-91.21608,NA,1757,46.371730 N, 91.216080 W,46.37173,-91.21608,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Zarling, Ruth",Other Collectors,46.37173,-91.21608,13,1,13,92482175.4,38459.07192,98,97,24507,2,45,7,W
14,SUWS010031,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium dendroideum,12974,Michx.,Lycopodium,dendroideum,,,"Peck, James H.",,Cherf,s.n.,1964-07-15,1964,7,15,197,1964-07-15,,Open woods.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cherf; Brashier,Other Collectors,46.34228,-91.34901,14,1,14,92054397.66,38461.88047,97,96,24508,2,45,8,W
15,SUWS010033,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium dendroideum,12974,Michx.,Lycopodium,dendroideum,,,"Peck, James H.",,Brashier,PL-250,1964-07-02,1964,7,2,184,1964-07-02,,Forest floor.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Parrish,Brashier,46.34228,-91.34901,15,1,15,92054397.66,38461.88047,97,96,24508,2,45,8,W
16,SUWS010037,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium dendroideum,12974,Michx.,Lycopodium,dendroideum,,,,,"Davidson, Donald W.",s.n.,1985-11-20,1985,11,20,324,1985-11-20,,Aspen being replaced by mesic hardwoods. Balsam fir and paper birch.,NA,Ashland,National Forest Rd. 187. Near Morgan Falls,46.34717,-90.9163,NA,429,46.347170 N, 90.916300 W,46.34717,-90.9163,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,November,"Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W.",46.34717,-90.9163,16,1,16,93389785.25,38707.53882,101,100,24504,2,45,4,W
17,SUWS010039,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium dendroideum,12974,Michx.,Lycopodium,dendroideum,,,"Peck, James H.",,"Pilt, Karen",s.n.,1967-07-22,1967,7,22,203,1967-07-22,,Hemlock forest.,NA,Bayfield,"Drummond. NE of Drummond, S on Donald's Road.",46.37173,-91.21608,NA,1757,46.371730 N, 91.216080 W,46.37173,-91.21608,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Pilt, Karen",Other Collectors,46.37173,-91.21608,17,1,17,92482175.4,38459.07192,98,97,24507,2,45,7,W
18,SUWS010040,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium obscurum,12976,L.,Lycopodium,obscurum,,,,,"Davidson, Donald W.",s.n.,1985-11-20,1985,11,20,324,1985-11-20,,"Near stream, mixed hard and softwood mature forest.",NA,Ashland,Above Morgan Falls,46.34717,-90.9163,NA,429,46.347170 N, 90.916300 W,46.34717,-90.9163,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,November,"Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W.",46.34717,-90.9163,18,1,18,93389785.25,38707.53882,101,100,24504,2,45,4,W
19,SUWS010042,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium dendroideum,12974,Michx.,Lycopodium,dendroideum,,,,,"Zirngibl, William",s.n.,1984-09-13,1984,9,13,257,1984-09-13,,Mature white pine forest.,NA,Douglas,"Wisconsin Point, a sand spit forming the Superior Harbor. Lakeside 1 mile from tip. Fossil Dunes.",46.69966,-92.00158,NA,1551,46.699660 N, 92.001580 W,46.69966,-92.00158,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Zirngibl, William",Other Collectors,46.69966,-92.00158,19,1,19,55863880.81,35086.16969,36,35,24913,2,49,13,W
20,SUWS010048,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum digitatum,3414,(Dill. ex A.Braun) Holub,Diphasiastrum,digitatum,,,,,"Davidson, Donald W.",s.n.,1985-08-16,1985,8,16,228,1985-08-16,,Mixed deciduous and coniferous forest.,NA,Douglas,3 miles S of Lake Amnicon and 500 ft E of CTH A,46.43215,-92.06223,NA,927,46.432150 N, 92.062230 W,46.43215,-92.06223,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Davidson, Donald W.; Zirngibl, William","Davidson, Donald W.",46.43215,-92.06223,20,1,20,91263021.28,38286.4416,73,72,24614,2,46,14,W
