Only_Coords_Specimens_CoordinateTableToPoint.OID,Only_Coords_Specimens_CoordinateTableToPoint.catalogNumber,Only_Coords_Specimens_CoordinateTableToPoint.class,Only_Coords_Specimens_CoordinateTableToPoint.order_,Only_Coords_Specimens_CoordinateTableToPoint.family,Only_Coords_Specimens_CoordinateTableToPoint.scientificName,Only_Coords_Specimens_CoordinateTableToPoint.taxonID,Only_Coords_Specimens_CoordinateTableToPoint.scientificNameAuthorship,Only_Coords_Specimens_CoordinateTableToPoint.genus,Only_Coords_Specimens_CoordinateTableToPoint.specificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.infraspecificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.taxonRank,Only_Coords_Specimens_CoordinateTableToPoint.identifiedBy,Only_Coords_Specimens_CoordinateTableToPoint.dateIdentified,Only_Coords_Specimens_CoordinateTableToPoint.collectedBy,Only_Coords_Specimens_CoordinateTableToPoint.recordNumber,Only_Coords_Specimens_CoordinateTableToPoint.eventDate,Only_Coords_Specimens_CoordinateTableToPoint.year,Only_Coords_Specimens_CoordinateTableToPoint.month,Only_Coords_Specimens_CoordinateTableToPoint.day,Only_Coords_Specimens_CoordinateTableToPoint.startDayOfYear,Only_Coords_Specimens_CoordinateTableToPoint.verbatimEventDate,Only_Coords_Specimens_CoordinateTableToPoint.occurrenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.habitat,Only_Coords_Specimens_CoordinateTableToPoint.informationWithheld,Only_Coords_Specimens_CoordinateTableToPoint.county,Only_Coords_Specimens_CoordinateTableToPoint.locality,Only_Coords_Specimens_CoordinateTableToPoint.decimalLatitude,Only_Coords_Specimens_CoordinateTableToPoint.decimalLongitude,Only_Coords_Specimens_CoordinateTableToPoint.geodeticDatum,Only_Coords_Specimens_CoordinateTableToPoint.coordinateUncertaintyInMeters,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude_D,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude_D,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceProtocol,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceSources,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.minimumElevationInMeters,Only_Coords_Specimens_CoordinateTableToPoint.verbatimElevation,Only_Coords_Specimens_CoordinateTableToPoint.month_fctr,Only_Coords_Specimens_CoordinateTableToPoint.recordedBy_og,Only_Coords_Specimens_CoordinateTableToPoint.coll_gr,Only_Coords_Specimens_CoordinateTableToPoint.DDLat,Only_Coords_Specimens_CoordinateTableToPoint.DDLon,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.OBJECTID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.Join_Count,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TARGET_FID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.AREA,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.PERIMETER,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_I,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DTR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWP,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.RNG,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR_ALPHA
349,SUWS011294,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum cilinode,13039,Michx.,Polygonum,cilinode,,,"Cochrane, Theodore S.",Mar 1972,Cornell,s.n.,1966-07-27,1966,7,27,208,1966-07-27,,"Approximately 15 feet from shore, soil sandy and moist.",NA,Bayfield,NE shore of Pigeon Lake,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cornell; Brashier,Other Collectors,46.34228,-91.34901,349,1,349,92054397.66,38461.88047,97,96,24508,2,45,8,W
350,SUWS011296,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum cilinode,13039,Michx.,Polygonum,cilinode,,,"Cochrane, Theodore S.",Mar 1972,Brashier,PL-22,1964-07-09,1964,7,9,191,1964-07-09,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Walvoord,Brashier,46.34228,-91.34901,350,1,350,92054397.66,38461.88047,97,96,24508,2,45,8,W
351,SUWS011297,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum erectum,4582,L.,Polygonum,erectum,,,,,"Thomson, John W., Jr.",s.n.,1942-08-03,1942,8,3,215,1942-08-03,,In cindered alley.,NA,Douglas,"Superior. S of 22nd St and Weeks Ave., Superior",46.72459,-92.09196,NA,462,46.724590 N, 92.091960 W,46.72459,-92.09196,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.72459,-92.09196,351,1,351,77718721.67,35378.21444,29,28,24914,2,49,14,W
352,SUWS011300,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum hydropiper,13191,L.,Polygonum,hydropiper,,,,,"Sima, Bessie R.",s.n.,1944-08-17,1944,8,17,230,1944-08-17,,Damp soil.,NA,Douglas,Superior. Vacant lot in Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Sima, Bessie R.",Other Collectors,46.68122,-92.06631,352,1,352,77718721.67,35378.21444,29,28,24914,2,49,14,W
353,SUWS011301,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum hydropiper,13191,L.,Polygonum,hydropiper,,,"Fassett, Norman C.",,"Thomson, John W., Jr.",5281,1943-08-04,1943,8,4,216,1943-08-04,,In cultivated clay soil.,NA,Douglas,"Superior. S of 22nd St., Superior",46.70545,-92.10404,NA,2064,46.705450 N, 92.104040 W,46.70545,-92.10404,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.70545,-92.10404,353,1,353,77718721.67,35378.21444,29,28,24914,2,49,14,W
354,SUWS011302,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum lapathifolium,13194,L.,Polygonum,lapathifolium,,,,,Brashier,201b,1964-08-03,1964,8,3,216,1964-08-03,,"In barnyard, near manure heap.",NA,Douglas,Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Brashier,46.48986,-92.18414,354,1,354,92130815.8,38625.8977,71,70,24615,2,46,15,W
355,SUWS011304,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum lapathifolium,13194,L.,Polygonum,lapathifolium,,,,,Brashier,126c,1964-08-18,1964,8,18,231,1964-08-18,,Cultivated potato field.,NA,Douglas,"Patzau. On James Romans farm 0.5 mile W of state Hwy 35 on CTH BB, [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Brashier,46.48986,-92.18414,355,1,355,92130815.8,38625.8977,71,70,24615,2,46,15,W
356,SUWS011307,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum lapathifolium,13194,L.,Polygonum,lapathifolium,,,,,"Thomson, John W., Jr.",5282,1943-08-04,1943,8,4,216,1943-08-04,,Cultivated clay soil.,NA,Douglas,"Superior. S of 920N 22nd St., Superior",46.71231,-92.09136,NA,122,46.712310 N, 92.091360 W,46.71231,-92.09136,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.71231,-92.09136,356,1,356,77718721.67,35378.21444,29,28,24914,2,49,14,W
357,SUWS011316,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum pensylvanicum,13197,L.,Polygonum,pensylvanicum,,,,,Hjerleid,s.n.,1966-08-01,1966,8,1,213,1966-08-01,,"Sandy, moist shore.",NA,Bayfield,NE shore of Pigeon Lake,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Hjerleid; Brashier,Other Collectors,46.34228,-91.34901,357,1,357,92054397.66,38461.88047,97,96,24508,2,45,8,W
358,SUWS011317,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum pensylvanicum,13197,L.,Polygonum,pensylvanicum,,,,,Cornell,s.n.,1966-08-01,1966,8,1,213,1966-08-01,,"Sandy, moist shore.",NA,Bayfield,NE shore of Pigeon Lake,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Cornell; Brashier,Other Collectors,46.34228,-91.34901,358,1,358,92054397.66,38461.88047,97,96,24508,2,45,8,W
359,SUWS011319,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum sagittatum,13199,L.,Polygonum,sagittatum,,,"Cochrane, Theodore S.",Mar 1972,Brashier,196a,1964-08-18,1964,8,18,231,1964-08-18,,"Brushy, wet ditchside bordering road.",NA,Douglas,Patzau. 2 miles W of State Hwy 35 on CTH BB [E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Brashier,46.48986,-92.18414,359,1,359,92130815.8,38625.8977,71,70,24615,2,46,15,W
360,SUWS011323,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum scandens,13042,L.,Polygonum,scandens,,,,,"Castle, R.",94-56,1994-06-25,1994,6,25,176,1994-06-25,,Along trail.,NA,Douglas,Maple. 0.25 miles S of Maple on CTH F,46.58604,-91.72074,NA,1337,46.586040 N, 91.720740 W,46.58604,-91.72074,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Castle, R.","Castle, R.",46.58604,-91.72074,360,1,360,92916091.48,38592.63057,58,57,24711,2,47,11,W
361,SUWS011324,Equisetopsida,Caryophyllales,Polygonaceae,Rumex acetosella,4916,L.,Rumex,acetosella,,,,,Cherf,s.n.,1964-07-15,1964,7,15,197,1964-07-15,,"Roadside, sandy soil.",NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cherf; Brashier,Other Collectors,46.34228,-91.34901,361,1,361,92054397.66,38461.88047,97,96,24508,2,45,8,W
362,SUWS011325,Equisetopsida,Caryophyllales,Polygonaceae,Rumex acetosella,4916,L.,Rumex,acetosella,,,,,Valaskey,s.n.,1964-06-25,1964,6,25,177,1964-06-25,,Along the roadside.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Valaskey; Brashier,Other Collectors,46.34228,-91.34901,362,1,362,92054397.66,38461.88047,97,96,24508,2,45,8,W
363,SUWS011328,Equisetopsida,Caryophyllales,Polygonaceae,Rumex acetosella,4916,L.,Rumex,acetosella,,,,,Brashier,14a,1964-06-01,1964,6,1,153,1964-06-01,,Sandy open pasture area.,NA,Douglas,Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans farm [ca. 2mi E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.48986,-92.18414,363,1,363,92130815.8,38625.8977,71,70,24615,2,46,15,W
364,SUWS011332,Equisetopsida,Caryophyllales,Polygonaceae,Rumex acetosella,4916,L.,Rumex,acetosella,,,,,Muller,s.n.,1964-06-30,1964,6,30,182,1964-06-30,,In a bog near the lake.,NA,Bayfield,Drummond,46.33689,-91.25797,NA,6377,46.336890 N, 91.257970 W,46.33689,-91.25797,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Muller; Brashier,Other Collectors,46.33689,-91.25797,364,1,364,92482175.4,38459.07192,98,97,24507,2,45,7,W
365,SUWS011333,Equisetopsida,Caryophyllales,Polygonaceae,Rumex acetosella,4916,L.,Rumex,acetosella,,,,,Cornell,s.n.,1966-07-02,1966,7,2,183,1966-07-02,,Soil sandy with sawdust; ground cover sparse.,NA,Bayfield,Drummond. NE edge of factory district of Drummond,46.33689,-91.25797,NA,6377,46.336890 N, 91.257970 W,46.33689,-91.25797,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cornell; Brashier,Other Collectors,46.33689,-91.25797,365,1,365,92482175.4,38459.07192,98,97,24507,2,45,7,W
366,SUWS011335,Equisetopsida,Caryophyllales,Polygonaceae,Rumex crispus,4918,L.,Rumex,crispus,,,,,"Hicks, James",s.n.,1943-08-02,1943,8,2,214,1943-08-02,,In a rubbish pile in an open field.,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Hicks, James; Brashier",Other Collectors,46.68122,-92.06631,366,1,366,77718721.67,35378.21444,29,28,24914,2,49,14,W
367,SUWS011336,Equisetopsida,Caryophyllales,Polygonaceae,Rumex crispus,4918,L.,Rumex,crispus,,,,,Brashier,PL-123,1964-07-04,1964,7,4,186,1964-07-04,,Sandy soil.,NA,Bayfield,Grand View,46.36745,-91.10825,NA,7936,46.367450 N, 91.108250 W,46.36745,-91.10825,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Grage,Brashier,46.36745,-91.10825,367,1,367,92915910.87,38568.59635,99,98,24506,2,45,6,W
368,SUWS011337,Equisetopsida,Caryophyllales,Polygonaceae,Rumex crispus,4918,L.,Rumex,crispus,,,,,Brashier,131a,1964-08-19,1964,8,19,232,1964-08-19,,Moist ditch.,NA,Douglas,"Superior. On campus of Univ. of Wisconsin - Superior, near the student center",46.71784,-92.08786,NA,699,46.717840 N, 92.087860 W,46.71784,-92.08786,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Brashier,46.71784,-92.08786,368,1,368,77718721.67,35378.21444,29,28,24914,2,49,14,W
369,SUWS011342,Equisetopsida,Malpighiales,Hypericaceae,Hypericum majus,3907,(A.Gray) Britton,Hypericum,majus,,,"Fassett, Norman C.",1943,"Thomson, John W., Jr.",5060,1942-08-18,1942,8,18,230,1942-08-18,,Field.,NA,Douglas,"Superior. S of 22nd St and Weeks Ave., Superior",46.72459,-92.09196,NA,462,46.724590 N, 92.091960 W,46.72459,-92.09196,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.72459,-92.09196,369,1,369,77718721.67,35378.21444,29,28,24914,2,49,14,W
370,SUWS011349,Equisetopsida,Malvales,Malvaceae,Tilia americana var. americana,6915,,Tilia,americana,americana,var.,,,Brashier,PL-172,1964-07-21,1964,7,21,203,1964-07-21,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Janowski,Brashier,46.34228,-91.34901,370,1,370,92054397.66,38461.88047,97,96,24508,2,45,8,W
371,SUWS011351,Equisetopsida,Malvales,Malvaceae,Tilia americana var. americana,6915,,Tilia,americana,americana,var.,,,Brashier,PL-173,1964-07-22,1964,7,22,204,1964-07-22,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Smith,Brashier,46.34228,-91.34901,371,1,371,92054397.66,38461.88047,97,96,24508,2,45,8,W
372,SUWS011352,Equisetopsida,Malvales,Malvaceae,Tilia americana var. americana,6915,,Tilia,americana,americana,var.,,,"Castle, R.",93-328,1993-08-02,1993,8,2,214,1993-08-02,,"Hilltop, clay soils. Single tree. Stamens, pistils both present.",NA,Douglas,Cloverland. 2 miles W of CTH O on Hwy 13 [Cloverland],46.67682,-91.67896,NA,2355,46.676820 N, 91.678960 W,46.67682,-91.67896,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Castle, R.","Castle, R.",46.67682,-91.67896,372,1,372,62362088.46,32191.0526,38,37,24911,2,49,11,W
373,SUWS011361,Equisetopsida,Malvales,Malvaceae,Malva rotundifolia,13133,L.,Malva,rotundifolia,,,"Cochrane, Theodore S.",25Jan2010,"Thomson, John W., Jr.",5413,1943-10-03,1943,10,3,276,1943-10-03,,Yard.,NA,Douglas,"Superior. Yard of 920 N 22nd St., Superior",46.71231,-92.09136,NA,122,46.712310 N, 92.091360 W,46.71231,-92.09136,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.71231,-92.09136,373,1,373,77718721.67,35378.21444,29,28,24914,2,49,14,W
374,SUWS011363,Equisetopsida,Malvales,Malvaceae,Malva moschata,4190,L.,Malva,moschata,,,,,"Mortensen, Sara",s.n.,1943-07-20,1943,7,20,201,1943-07-20,,Magenta form.,NA,Iron,Hurley,46.44967,-90.18656,NA,3317,46.449670 N, 90.186560 W,46.44967,-90.18656,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Mortensen, Sara",Other Collectors,46.44967,-90.18656,374,1,374,81291365.35,38613.20025,88,87,44602,4,46,2,E
375,SUWS011364,Equisetopsida,Malvales,Malvaceae,Malva moschata,4190,L.,Malva,moschata,,,"Cochrane, Theodore S.",25Jan2010,"Castle, R.",93-317,1993-06-10,1993,6,10,161,1993-06-10,,Partially shaded woods. 5 notched white petals.,NA,Douglas,Brule. Hwy 2 rest stop near Brule,46.553,-91.57658,NA,4284,46.553000 N, 91.576580 W,46.553,-91.57658,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Castle, R.","Castle, R.",46.553,-91.57658,375,1,375,93017478.21,38599.04619,60,59,24710,2,47,10,W
376,SUWS011366,Equisetopsida,Malvales,Malvaceae,Malva neglecta,4191,Wallr.,Malva,neglecta,,,,,Brashier,277a,1964-06-16,1964,6,16,168,1964-06-16,,"Sand, open area.",NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.34228,-91.34901,376,1,376,92054397.66,38461.88047,97,96,24508,2,45,8,W
377,SUWS011367,Equisetopsida,Malvales,Malvaceae,Malva neglecta,4191,Wallr.,Malva,neglecta,,,,,Brashier,PL-76,1964-07-25,1964,7,25,207,1964-07-25,,Parking lot - sandy soil.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Cherf,Brashier,46.34228,-91.34901,377,1,377,92054397.66,38461.88047,97,96,24508,2,45,8,W
378,SUWS011368,Equisetopsida,Malvales,Malvaceae,Malva neglecta,4191,Wallr.,Malva,neglecta,,,,,Brashier,PL-75,1964-07-23,1964,7,23,205,1964-07-23,,Next to parking lot of station.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Valaskey,Brashier,46.34228,-91.34901,378,1,378,92054397.66,38461.88047,97,96,24508,2,45,8,W
379,SUWS011380,Equisetopsida,Malvales,Cistaceae,Hudsonia tomentosa var. tomentosa,6700,,Hudsonia,tomentosa,tomentosa,var.,"Cochrane, Theodore S.",25Jan2010,,s.n.,1942-07-18,1942,7,18,199,1942-07-18,,[ORIG. Var. intermedia- NOT WIS TAXON]],NA,Douglas,Superior. Sand Island in Superior Bay,46.73216,-92.0663,NA,5466,46.732160 N, 92.066300 W,46.73216,-92.0663,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,,Other Collectors,46.73216,-92.0663,379,1,379,77718721.67,35378.21444,29,28,24914,2,49,14,W
380,SUWS011385,Equisetopsida,Malpighiales,Violaceae,Viola labradorica,5391,Schrank,Viola,labradorica,,,,,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Rich wooded area.,NA,Douglas,Foxboro. 3 miles N of CTH B on the Pelkey Road near Foxboro,46.49696,-92.25905,NA,886,46.496960 N, 92.259050 W,46.49696,-92.25905,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.49696,-92.25905,380,1,380,92130815.8,38625.8977,71,70,24615,2,46,15,W
381,SUWS011386,Equisetopsida,Malpighiales,Violaceae,Viola labradorica,5391,Schrank,Viola,labradorica,,,,,Brashier,s.n.,1965-05-22,1965,5,22,142,1965-05-22,,"River bottom, clay soil. Collected 1 month after area was flooded.",NA,Douglas,"Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property, near the Nemadji River",46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,Brashier; Romans,Brashier,46.65497,-92.10442,381,1,381,93354961.12,38691.86308,41,40,24814,2,48,14,W
382,SUWS011387,Equisetopsida,Malpighiales,Violaceae,Viola labradorica,5391,Schrank,Viola,labradorica,,,,,Brashier,s.n.,1965-05-22,1965,5,22,142,1965-05-22,,"River bottom, clay soil. Specimen collected 1 month after area was flooded.",NA,Douglas,"Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property, near the Nemadji River",46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,Brashier; Romans,Brashier,46.65497,-92.10442,382,1,382,93354961.12,38691.86308,41,40,24814,2,48,14,W
383,SUWS011388,Equisetopsida,Malpighiales,Violaceae,Viola cucullata,5390,Aiton,Viola,cucullata,,,,,Brashier,84c,1964-06-01,1964,6,1,153,1964-06-01,,Cold swampy area in shade of tag alder brush.,NA,Douglas,"Patzau. 0.5 mile W of State Hwy 35 on CTH BB, on the James Romans farm [ca. 2mi E of Patzau]",46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.48986,-92.18414,383,1,383,92130815.8,38625.8977,71,70,24615,2,46,15,W
384,SUWS011389,Equisetopsida,Malpighiales,Violaceae,Viola cucullata,5390,Aiton,Viola,cucullata,,,,,Brashier,84a,1964-06-01,1964,6,1,153,1964-06-01,,Cold swampy area in shade of tag alder brush.,NA,Douglas,Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans farm [ca. 2mi E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.48986,-92.18414,384,1,384,92130815.8,38625.8977,71,70,24615,2,46,15,W
385,SUWS011391,Equisetopsida,Malpighiales,Violaceae,Viola lanceolata var. lanceolata,6942,,Viola,lanceolata,lanceolata,var.,,,Brashier,s.n.,1965-06-08,1965,6,8,159,1965-06-08,,"On lake shore near conservation builidings, sand.",NA,Douglas,Solon Springs. Solon Springs Wildlife Sanctuary,46.35327,-91.82241,NA,4012,46.353270 N, 91.822410 W,46.35327,-91.82241,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.35327,-91.82241,385,1,385,91907771.86,38317.34269,93,92,24512,2,45,12,W
386,SUWS011393,Equisetopsida,Malpighiales,Violaceae,Viola canadensis,5389,L.,Viola,canadensis,,,"Cochrane, Theodore S.",25Jan2010,Brashier,s.n.,1965-05-22,1965,5,22,142,1965-05-22,,"Clay soil, river bottom. Collected 1 month after area was flooded.",NA,Douglas,"Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property, near the Nemadji River",46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,Brashier; Romans,Brashier,46.65497,-92.10442,386,1,386,93354961.12,38691.86308,41,40,24814,2,48,14,W
387,SUWS011400,Equisetopsida,Malpighiales,Violaceae,Viola pubescens,5399,Aiton,Viola,pubescens,,,,,"Castle, R.",99-111A,1993-05-13,1993,5,13,133,1993-05-13,,"Near the river, rich soils. Yellow flowers, purple veins.",NA,Douglas,Brule. Hwy 2 rest stop near Brule and the Little Brule River,46.553,-91.57658,NA,4284,46.553000 N, 91.576580 W,46.553,-91.57658,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Castle, R.","Castle, R.",46.553,-91.57658,387,1,387,93017478.21,38599.04619,60,59,24710,2,47,10,W
388,SUWS011401,Equisetopsida,Malpighiales,Violaceae,Viola pubescens,5399,Aiton,Viola,pubescens,,,,,Brashier,s.n.,1965-05-22,1965,5,22,142,1965-05-22,,"River bottom, clay soil. Collected 1 month after area was flooded.",NA,Douglas,"Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property, near the Nemadji River",46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,Brashier; Romans,Brashier,46.65497,-92.10442,388,1,388,93354961.12,38691.86308,41,40,24814,2,48,14,W
389,SUWS011410,Equisetopsida,Malpighiales,Violaceae,Viola pedata,5397,L.,Viola,pedata,,,,,Brashier,3b,1964-06-01,1964,6,1,153,1964-06-01,,"Open, sandy area bordering the highway.",NA,Burnett,"Danbury. 3 miles S of Danbury, at the jct. of old 35 Rd., and State Hwy 35",45.96741,-92.36349,NA,150,45.967410 N, 92.363490 W,45.96741,-92.36349,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,45.96741,-92.36349,389,1,389,84941706.54,36866.00186,219,218,24016,2,40,16,W
390,SUWS011411,Equisetopsida,Malpighiales,Violaceae,Viola pedata,5397,L.,Viola,pedata,,,,,Brashier,3a,1964-06-01,1964,6,1,153,1964-06-01,,"Open, sandy area bordering the highway.",NA,Burnett,"Danbury. 3 miles S of Danbury, at the jct. of old 35 Rd., and State Hwy 35",45.96741,-92.36349,NA,150,45.967410 N, 92.363490 W,45.96741,-92.36349,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,45.96741,-92.36349,390,1,390,84941706.54,36866.00186,219,218,24016,2,40,16,W
