"column_name","csv_name","datatype"
"associatedTaxa","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","character"
"associatedTaxa","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","character"
"associatedTaxa","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","character"
"associatedTaxa","DarwinCore_2026_06_22_230410_Bell_MN_post2000","character"
"associatedTaxa","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","character"
"associatedTaxa","DarwinCore_2026_06_22_230410_Bell_MN_year_na","character"
"associatedTaxa","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","character"
"associatedTaxa","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","character"
"associatedTaxa","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","character"
"associatedTaxa","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","character"
"associatedTaxa","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"associatedTaxa","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","character"
"associatedTaxa","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","character"
"associatedTaxa","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"basisOfRecord","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","character"
"basisOfRecord","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","character"
"basisOfRecord","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","character"
"basisOfRecord","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","character"
"basisOfRecord","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","character"
"basisOfRecord","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","character"
"basisOfRecord","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","character"
"basisOfRecord","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","character"
"basisOfRecord","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","character"
"basisOfRecord","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","character"
"basisOfRecord","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","character"
"basisOfRecord","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","character"
"basisOfRecord","DarwinCore_2026_06_22_230410_Bell_MN_post2000","character"
"basisOfRecord","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","character"
"basisOfRecord","DarwinCore_2026_06_22_230410_Bell_MN_year_na","character"
"basisOfRecord","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","character"
"basisOfRecord","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","character"
"basisOfRecord","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","character"
"basisOfRecord","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","character"
"basisOfRecord","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"basisOfRecord","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","character"
"basisOfRecord","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","character"
"basisOfRecord","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"behavior","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","logical"
"behavior","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","logical"
"behavior","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","logical"
"behavior","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","logical"
"behavior","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","logical"
"behavior","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","logical"
"behavior","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","logical"
"behavior","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","logical"
"behavior","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","logical"
"behavior","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","logical"
"behavior","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","logical"
