"county","collectedBy","num_spec"
"Ashland","Koch, Rudy G.",44
"Bayfield","Koch, Rudy G.",94
"Buffalo","Koch, Rudy G.",2
"Burnett","Koch, Rudy G.",6
"Douglas","Koch, Rudy G.",189
"Grant","Koch, Rudy G.",3
"Iron","Koch, Rudy G.",27
"La Crosse","Koch, Rudy G.",4
"Marinette","Koch, Rudy G.",2
"Price","Koch, Rudy G.",2
"Richland","Koch, Rudy G.",11
"Vernon","Koch, Rudy G.",1
"Washburn","Koch, Rudy G.",5
