"t_num","t_dir","r_num","r_dir","distinct_specimens"
36,"N",19,"W",1
36,"N",20,"W",1
36,"N",21,"E",1
37,"N",1,"E",1
37,"N",8,"E",1
37,"N",11,"W",1
37,"N",17,"W",2
37,"N",20,"E",2
38,"N",1,"E",1
38,"N",2,"W",1
38,"N",16,"W",1
38,"N",19,"W",1
39,"N",1,"E",2
39,"N",7,"E",2
39,"N",18,"W",3
40,"N",1,"E",1
40,"N",7,"E",3
40,"N",9,"W",1
40,"N",16,"W",4
41,"N",1,"W",1
41,"N",7,"W",1
41,"N",12,"W",1
41,"N",15,"W",3
41,"N",16,"W",3
42,"N",2,"W",1
42,"N",5,"E",1
42,"N",8,"W",2
42,"N",13,"W",1
42,"N",14,"W",4
42,"N",15,"W",1
43,"N",7,"W",6
43,"N",8,"W",1
43,"N",11,"W",4
43,"N",12,"W",1
43,"N",13,"W",1
43,"N",14,"W",1
43,"N",15,"W",1
44," N",12,"W",3
44,"N",2,"E",1
44,"N",2,"W",4
44,"N",3,"E",1
44,"N",3,"W ",3
44,"N",4,"W",3
44,"N",7,"W",11
44,"N",8,"W",5
44,"N",9,"W",2
44,"N",10,"W",1
44,"N",11,"W",3
44,"N",12,"W",6
44,"N",13,"W",1
44,"N",14,"W",3
45," N",11,"W",2
45," N",15,"W",1
45,"N",1,"W",1
45,"N",2,"E",1
45,"N",2,"W",1
45,"N",3,"E",1
45,"N",4,"W",5
45,"N",5,"W",3
45,"N",6,"W",4
45,"N",7,"W",20
45,"N",8,"W",34
45,"N",8,"W ",2
45,"N",9,"W",5
45,"N",10,"W",3
45,"N",11,"W",7
45,"N",12,"W",14
45,"N",13,"W",4
45,"N",14,"W",7
45,"N",14,"W ",1
45,"N",15,"W",4
46," N",10,"W",3
46," N",11,"W",1
46," N",12,"W",1
46,"N",1,"W",1
46,"N",2,"E",2
46,"N",5,"W",6
46,"N",7,"W",5
46,"N",8,"W",6
46,"N",9,"W",1
46,"N",10,"W",11
46,"N",11,"W",6
46,"N",12,"W",7
46,"N",13,"W",9
46,"N",14,"W",13
46,"N",15,"W",16
47," N",10,"W",2
47," N",11,"W",1
47," N",14,"W",1
47,"N",1,"W",2
47,"N",2,"W",1
47,"N",4,"W",2
47,"N",6,"W",1
47,"N",7,"W",1
47,"N",8,"W",12
47,"N",9,"W",4
47,"N",10,"W",13
47,"N",11,"W",5
47,"N",12,"W",5
47,"N",13,"W",5
47,"N",13,"W ",1
47,"N",14,"W",11
47,"N",15,"W",32
48," N",10,"W",2
48," N",12,"W",1
48," N",13,"W",2
48,"N",2,"W",2
48,"N",3,"W",1
48,"N",4,"W",2
48,"N",5,"W",2
48,"N",6,"W",1
48,"N",7,"W",2
48,"N",8,"W",5
48,"N",9,"W",3
48,"N",10,"W",9
48,"N",10,"W ",1
48,"N",11,"W",1
48,"N",12,"W",18
48,"N",13,"W",15
48,"N",14,"W",16
48,"N",15,"W",4
49," N",10,"W",2
49," N",13,"W",2
49,"N",3,"W",1
49,"N",4,"W",1
49,"N",5,"W",1
49,"N",6,"W",1
49,"N",8,"W",2
49,"N",9,"W",2
49,"N",10,"W",9
49,"N",10,"W ",1
49,"N",11,"W",3
49,"N",12,"W",9
49,"N",12,"W ",1
49,"N",13,"W",61
49,"N",14,"W",102
49,"N",15,"W",2
50,"N",2,"W",1
50,"N",4,"W",4
50,"N",6,"W",1
50,"N",7,"W",2
50,"N",8,"W",3
51,"N",1,"W",1
51,"N",2,"W",1
51,"N",3,"W",1
51,"N",4,"W",1
51,"N",5,"W",2
51,"N",6,"W",5
51,"N",7,"W",2
52,"N",2,"W",11
52,"N",3,"W",2
52,"N",4,"W",1
52,"N",4,"W ",1
52,"N",5,"W",2
53,"N",2,"W",1
53,"N",3,"W",1
