"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010426","Douglas","Munich, Robert A.","",""
"SUWS010427","Bayfield","Kristiansen, Stein","",""
"SUWS010428","Douglas","Munich, Robert A.","",""
"SUWS010429","Bayfield","Kristiansen, Stein","",""
"SUWS010430","Bayfield","Kristiansen, Stein","",""
"SUWS010438","Douglas","Munich, Robert A.","",""
"SUWS010439","Douglas","Kristiansen, Stein","",""
"SUWS010441","Douglas","Kristiansen, Stein","",""
"SUWS010442","Chippewa","Kristiansen, Stein","",""
"SUWS010443","Chippewa","Kristiansen, Stein","",""
"SUWS010444","Douglas","Kristiansen, Stein","",""
"SUWS010445","Bayfield","Kristiansen, Stein","",""
"SUWS010446","Douglas","Munich, Robert A.","",""
"SUWS010447","Douglas","Kristiansen, Stein","",""
"SUWS010448","Douglas","Kristiansen, Stein","",""
"SUWS010449","Douglas","Kristiansen, Stein","",""
"SUWS010451","Douglas","Kristiansen, Stein","",""
"SUWS010463","Jackson","Thomson, John W., Jr.","",""
"SUWS010489","Douglas","Thomson, John W., Jr.","",""
"SUWS010490","Douglas","McGovern, Scott","",""
"SUWS010491","Douglas","Hansen, Perky","",""
"SUWS010492","Douglas","Munich, Robert A.","",""
"SUWS010495","Douglas","Zirngibl, William","",""
"SUWS010496","Douglas","Castle, R.","",""
"SUWS010497","Vilas","McGovern, Scott","",""
"SUWS010498","Douglas","Munich, Robert A.","",""
"SUWS010499","Douglas","Gitar"," Rounce",""
"SUWS010500","Douglas","Gitar"," Rounce",""
"SUWS010501","Douglas","Anderson, Danette","",""
"SUWS010502","Douglas","Munich, Robert A.","",""
"SUWS010504","Douglas","McGovern, Scott","",""
"SUWS010505","Douglas","Hansen, Perky","",""
"SUWS010506","Douglas","Munich, Robert A.","",""
"SUWS010507","Douglas","Mendenhall, Paula M.","",""
"SUWS010508","Douglas","McGovern, Scott","",""
"SUWS010509","Douglas","Castle, R.","",""
"SUWS010510","Douglas","Hansen, Perky","",""
"SUWS010511","Douglas","Hansen, Perky","",""
"SUWS010513","Douglas","Castle, R.","",""
"SUWS010514","Douglas","Mendenhall, Paula M.","",""
"SUWS010518","Vilas","McGovern, Scott","",""
"SUWS010519","Douglas","Castle, R.","",""
"SUWS010522","Douglas","Castle, R.","",""
"SUWS010523","Douglas","Mendenhall, Paula M.","",""
"SUWS010524","Douglas","Castle, R.","",""
"SUWS010525","Douglas","Hansen, Perky","",""
"SUWS010526","Douglas","McGovern, Scott","",""
"SUWS010527","Douglas","Castle, R.","",""
"SUWS010528","Douglas","Castle, R.","",""
"SUWS010529","Douglas","Munich, Robert A.","",""
"SUWS010530","Douglas","Kristiansen, Stein","",""
"SUWS010531","Douglas","Anderson, Danette","",""
"SUWS010538","Douglas","Younger, Patti"," Bruederle, Leo P.",""
"SUWS010539","Vilas","McGovern, Scott","",""
"SUWS010540","Douglas","Kristiansen, Stein","",""
"SUWS010540b","Douglas","Castle, R.","",""
"SUWS010541","Douglas","Munich, Robert A.","",""
"SUWS010548","Douglas","Hansen, Perky","",""
"SUWS010549","Douglas","Castle, R.","",""
"SUWS010552","Douglas","McGovern, Scott","",""
"SUWS010555","Douglas","Castle, R.","",""
"SUWS010556","Douglas","Castle, R.","",""
"SUWS010557","Douglas","Castle, R.","",""
"SUWS010559","Douglas","McGovern, Scott","",""
"SUWS010560","Douglas","Munich, Robert A.","",""
"SUWS010571","Douglas","Castle, R.","",""
"SUWS010572","Douglas","Castle, R.","",""
"SUWS010573","Douglas","Castle, R.","",""
"SUWS010574","Douglas","Castle, R.","",""
"SUWS010575","Douglas","Castle, R.","",""
"SUWS010576","Bayfield","Brashier"," Smith",""
"SUWS010578","Douglas","Martin, Bonita","",""
"SUWS010579","Bayfield","Heim, John A.","",""
"SUWS010580","Douglas","Smetak, Scott","",""
"SUWS010581","Douglas","Martin, Bonita","",""
"SUWS010582","Bayfield","Heim, John A.","",""
"SUWS010583","Douglas","Ojanen, Joanne M.","",""
"SUWS010585","Douglas","Ojanen, Joanne M.","",""
"SUWS010585b","Bayfield","Anderson, Jason","",""
"SUWS010586","Douglas","Heim, John A.","",""
"SUWS010587","Douglas","Ojanen, Joanne M.","",""
"SUWS010589","Douglas","Martin, Bonita","",""
"SUWS010590","Douglas","Martin, Roy","",""
"SUWS010591","Douglas","Castle, R."," Johnson, R."," Anderson, D."
"SUWS010592","Douglas","Martin, Bonita","",""
"SUWS010593","Douglas","Smetak, Scott","",""
"SUWS010594","Douglas","Heim, John A.","",""
"SUWS010595","Bayfield","Brost, Mike","",""
"SUWS010596","Door","Taylor, W. Carl","",""
"SUWS010599","Douglas","Smetak, Scott","",""
"SUWS010600","Douglas","Martin, Bonita","",""
"SUWS010601","Douglas","Thomson, John W., Jr.","",""
"SUWS010602","Douglas","Johnson, R."," Castle, R.",""
"SUWS010603","Douglas","Ojanen, Joanne M.","",""
"SUWS010604","Douglas","Castle, R.","",""
"SUWS010605","Douglas","Brost, Mike","",""
"SUWS010606","Douglas","Johnson, R."," Castle, R.",""
"SUWS010607","Burnett","Johnson, R.","",""
"SUWS010608","Douglas","Heim, John A.","",""
"SUWS010609","Douglas","Brost, Mike","",""
"SUWS010610","Douglas","Martin, Bonita","",""
"SUWS010611","Douglas","Ojanen, Joanne M.","",""
"SUWS010612","Douglas","Thomson, John W., Jr.","",""
"SUWS010612A","Douglas","Heim, John A.","",""
"SUWS010613","Douglas","Castle, R.","",""
"SUWS010614","Douglas","Martin, Bonita","",""
"SUWS010615","Douglas","Martin, Bonita","",""
"SUWS010616","Douglas","Martin, Bonita","",""
"SUWS010617","Douglas","Heim, John A.","",""
"SUWS010618","Iron","Somerville, Mary F.","",""
"SUWS010621","Douglas","Heim, John A.","",""
"SUWS010626","Douglas","Smetak, Scott","",""
"SUWS010629","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS010629b","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS010630","Douglas","McGovern, Scott","",""
"SUWS010631","Douglas","Thomson, John W., Jr.","",""
"SUWS010632","Douglas","Munich, Robert A.","",""
"SUWS010633","Douglas","Hansen, Perky","",""
"SUWS010634","Douglas","Castle, R.","",""
"SUWS010642","Vilas","McGovern, Scott","",""
"SUWS010643","Douglas","Davidson, Donald W."," Collins, Matt",""
"SUWS010644","Douglas","Ojanen, Joanne M.","",""
"SUWS010645","Douglas","Martin, Bonita","",""
"SUWS010647","Bayfield","Brost, Mike","",""
"SUWS010648","Douglas","Smetak, Scott","",""
"SUWS010649","Douglas","Heim, John A.","",""
"SUWS010650","Douglas","Hansen, Perky","",""
"SUWS010651","Douglas","Munich, Robert A.","",""
