OID,catalogNumber,N_latitude,W_longitude,N_latitude_D,W_longitude_D,DDLat,DDLon,TWP,RNG,DIR_ALPHA
56,SUWS010318,44.059360 N, 87.736210 W,44.05936,-87.73621,44.05936,-87.73621,18,23,E
57,SUWS010320,43.402490 N, 90.556600 W,43.40249,-90.5566,43.40249,-90.5566,11,2,W
58,SUWS010326,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
59,SUWS010334,43.893420 N, 91.269510 W,43.89342,-91.26951,43.89342,-91.26951,16,7,W
60,SUWS010351,43.667240 N, 90.223460 W,43.66724,-90.22346,43.66724,-90.22346,14,2,E
61,SUWS010355,46.130350 N, 90.668670 W,46.13035,-90.66867,46.13035,-90.66867,42,2,W
62,SUWS010364,46.732160 N, 92.066300 W,46.73216,-92.0663,46.73216,-92.0663,49,14,W
63,SUWS010366,46.336850 N, 91.362820 W,46.33685,-91.36282,46.33685,-91.36282,45,8,W
64,SUWS010367,46.130350 N, 90.668670 W,46.13035,-90.66867,46.13035,-90.66867,42,2,W
65,SUWS010368,46.717840 N, 92.087860 W,46.71784,-92.08786,46.71784,-92.08786,49,14,W
66,SUWS010369,43.975910 N, 90.752070 W,43.97591,-90.75207,43.97591,-90.75207,17,3,W
67,SUWS010371,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
68,SUWS010372,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
69,SUWS010373,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
70,SUWS010374,46.691110 N, 91.917310 W,46.69111,-91.91731,46.69111,-91.91731,49,12,W
71,SUWS010375,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
72,SUWS010376,46.691110 N, 91.917310 W,46.69111,-91.91731,46.69111,-91.91731,49,12,W
73,SUWS010385,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
74,SUWS010389,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
75,SUWS010427,46.636770 N, 91.408250 W,46.63677,-91.40825,46.63677,-91.40825,48,8,W
76,SUWS010429,46.636770 N, 91.408250 W,46.63677,-91.40825,46.63677,-91.40825,48,8,W
77,SUWS010430,46.636770 N, 91.408250 W,46.63677,-91.40825,46.63677,-91.40825,48,8,W
78,SUWS010438,46.682110 N, 92.150820 W,46.68211,-92.15082,46.68211,-92.15082,49,14,W
79,SUWS010441,46.694530 N, 92.149910 W,46.69453,-92.14991,46.69453,-92.14991,49,14,W
80,SUWS010444,46.694530 N, 92.149910 W,46.69453,-92.14991,46.69453,-92.14991,49,14,W
81,SUWS010445,46.636770 N, 91.408250 W,46.63677,-91.40825,46.63677,-91.40825,48,8,W
82,SUWS010447,46.694530 N, 92.149910 W,46.69453,-92.14991,46.69453,-92.14991,49,14,W
83,SUWS010448,46.694530 N, 92.149910 W,46.69453,-92.14991,46.69453,-92.14991,49,14,W
84,SUWS010449,46.694530 N, 92.149910 W,46.69453,-92.14991,46.69453,-92.14991,49,14,W
