"catalogNumber","county","collectedBy","t_num","t_dir","r_num","r_dir"
"SUWS012024","Douglas","Thomson, John W., Jr.",46,"N",10,"W"
"SUWS012025","Douglas","Thomson, John W., Jr.",45,"N",10,"W"
"SUWS012026","Marinette","Brashier",37,"N",20,"E"
"SUWS012027","Bayfield","Brashier",45,"N",8,"W"
"SUWS012028","Douglas","Castle, R.",47,"N",10,"W"
"SUWS012029","Bayfield","Brashier",45,"N",8,"W"
"SUWS012030","Bayfield","Koch, Rudy G.",48,"N",7,"W"
"SUWS012031","Bayfield","Brashier",45,"N",8,"W"
"SUWS012032","Burnett","Brashier",40,"N",16,"W"
"SUWS012033","Douglas","Hansen, Perky",49,"N",14,"W"
"SUWS012034","Douglas","Munich, Robert A.",49,"N",14,"W"
"SUWS012036","Douglas","Stackler, Susan",46,"N",15,"W"
"SUWS012037","Bayfield","Brashier",45,"N",8,"W"
"SUWS012038","Douglas","Thomson, John W., Jr.",48,"N",10,"W"
"SUWS012039","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012040","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012041","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012042","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012043","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012045","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012046","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012047","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS012049","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012050","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012052","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012053","Polk","Brashier",NA,NA,NA,NA
"SUWS012054","Douglas","Thomson, John W., Jr.",49,"N",10,"W"
"SUWS012055","Douglas","Stackler, Susan",47,"N",15,"W"
"SUWS012058","Bayfield","Hjerleid",44,"N",7,"W"
"SUWS012059","Bayfield","Valaskey",43,"N",7,"W"
"SUWS012060","Douglas","Castle, R.",49,"N",13,"W"
"SUWS012061","Douglas","Clement, G. G.",49,"N",14,"W"
"SUWS012062","Bayfield","Koch, Rudy G.",47,"N",8,"W"
"SUWS012063","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012065","Douglas","Stackler, Susan",46,"N",15,"W"
"SUWS012067","Douglas","Smetak, Scott",48,"N",14,"W"
"SUWS012068","Douglas","Koch, Rudy G.",47,"N",14,"W"
"SUWS012069","Douglas","Bruederle, Leo P.",49,"N",12,"W"
"SUWS012070","Bayfield","Anderson, Jason",48,"N",8,"W"
"SUWS012071","Bayfield","Koch, Rudy G.",49,"N",4,"W"
"SUWS012072","Bayfield","Cherf",45,"N",8,"W"
"SUWS012073","Douglas","Munich, Robert A.",49,"N",14,"W"
"SUWS012074","Bayfield","Barnard",45,"N",7,"W"
"SUWS012076","Bayfield","Brashier",45,"N",8,"W"
"SUWS012078","Douglas","Thomson, John W., Jr.",NA,NA,NA,NA
"SUWS012079","Douglas","Koch, Rudy G.",48,"N",12,"W"
"SUWS012080","Douglas","Castle, R.",47,"N",11,"W"
"SUWS012081","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012082","Bayfield","Brashier",51,"N",6,"W"
"SUWS012083","Douglas","Brashier",47,"N",14,"W"
"SUWS012084","Bayfield","Brashier",45,"N",8,"W"
"SUWS012086","Douglas","Clement, G. G.",NA,NA,NA,NA
"SUWS012087","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012088","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012089","Douglas","Brashier",48,"N",14,"W"
"SUWS012090","Douglas","Bruederle, Leo P.",49,"N",12,"W"
"SUWS012091","Bayfield","Barnard",45,"N",8,"W"
"SUWS012094","Douglas","Castle, R.",49,"N",13,"W"
"SUWS012095","Douglas","Hansen, Perky",49,"N",13,"W"
"SUWS012096","Bayfield","Anderson, Jason",NA,NA,NA,NA
"SUWS012097","Douglas","Munich, Robert A.",49,"N",13,"W"
"SUWS012098","Ashland","Brashier",NA,NA,NA,NA
"SUWS012099","Ashland","Brashier",NA,NA,NA,NA
"SUWS012100","Bayfield","Koch, Rudy G.",52,"N",4,"W "
"SUWS012101","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012102","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012103","Douglas","Olson, Patti",49,"N",13,"W"
"SUWS012106","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012107","Bayfield","Brashier",NA,NA,NA,NA
"SUWS012108","Douglas","Younger, Patti",49,"N",13,"W"
"SUWS012109","Douglas","Sima, Bessie R.",49,"N",14,"W"
"SUWS012110","Douglas","Brashier",NA,NA,NA,NA
"SUWS012111","Bayfield","Hjerleid",45,"N",8,"W"
"SUWS012112","Dane","Thomson, John W., Jr.",NA,NA,NA,NA
"SUWS012113","Douglas","Thomson, John W., Jr.",48,"N",13,"W"
"SUWS012114","Bayfield","Castle, R.",47,"N",9,"W"
"SUWS012115","Burnett","Brashier",40,"N",16,"W"
"SUWS012117","Bayfield","Romans",45,"N",9,"W"
"SUWS012118","Douglas","Castle, R.",46,"N",10,"W"
"SUWS012119","Douglas","Thomson, John W., Jr.",47," N",10,"W"
"SUWS012125","Barron","Thomson, John W., Jr.",NA,NA,NA,NA
"SUWS012126","Burnett","Brashier",41,"N",15,"W"
"SUWS012127","Burnett","Brashier",NA,NA,NA,NA
"SUWS012128","Burnett","Brashier",NA,NA,NA,NA
"SUWS012129","Burnett","Brashier",NA,NA,NA,NA
"SUWS012130","Buffalo","Brashier",21,"N",13,"W"
"SUWS012131","Vernon","Ziegler, S. R.",14,"N",7,"W"
"SUWS012132","Fond du Lac","Leitner, Lawrence A.",13," N",19,"E"
"SUWS012133","Douglas","Thomson, John W., Jr.",48,"N",10,"W"
"SUWS012135","Douglas","",47,"N",15,"W"
"SUWS012136","Douglas","Tendrup, Lynn S.",46,"N",14,"W"
"SUWS012137","Bayfield","Collins",45,"N",8,"W"
"SUWS012138","Bayfield","Holden",45,"N",8,"W"
"SUWS012139","Douglas","Thomson, John W., Jr.",48," N",12,"W"
"SUWS012146","Douglas","Thomson, John W., Jr.",45,"N",12,"W"
"SUWS012148","Douglas","Thomson, John W., Jr.",45,"N",12,"W"
"SUWS012149","Burnett","Romans",41,"N",15,"W"
"SUWS012150","Douglas","",47,"N",15,"W"
"SUWS012152","Douglas","Koch, Rudy G.",43,"N",15,"W"
"SUWS012153","La Crosse","Konkel, Deborah",17,"N",5,"W"
"SUWS012154","Bayfield","Brashier",45,"N",8,"W"
"SUWS012161","Ashland","Mackensen",NA,NA,NA,NA
"SUWS012163","Ashland","Barnard",52,"N",2,"W"
"SUWS012164","Douglas","Smetak, Scott",49,"N",13,"W"
"SUWS012165","Douglas","Gitar",49,"N",13,"W"
"SUWS012166","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012167","Douglas","Brashier",49,"N",14,"W"
"SUWS012168","Ashland","Brashier",NA,NA,NA,NA
"SUWS012169","Douglas","Koch, Rudy G.",49,"N",14,"W"
"SUWS012170","Douglas","Mendenhall, Paula M.",49,"N",13,"W"
"SUWS012171","Douglas","Castle, R.",49,"N",12,"W"
"SUWS012172","Bayfield","Koch, Rudy G.",52,"N",5,"W"
"SUWS012173","Douglas","Staupe, Jane",47,"N",10,"W"
"SUWS012174","Burnett","Brashier",40,"N",16,"W"
"SUWS012175","Douglas","Thomson, John W., Jr.",47," N",11,"W"
"SUWS012176","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS012177","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012178","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012179","Polk","Brashier",NA,NA,NA,NA
"SUWS012180","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012181","Bayfield","Muller",45,"N",8,"W"
"SUWS012182","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS012183","Douglas","Thomson, John W., Jr.",46,"N",10,"W"
"SUWS012184","Douglas","Thomson, John W., Jr.",48,"N",14,"W"
"SUWS012185","Washburn","Thomson, John W., Jr.",NA,NA,NA,NA
"SUWS012186","Pierce","Brashier",26,"N",17,"W"
"SUWS012191","Bayfield","Barnard",46,"N",5,"W"
"SUWS012192","Dane","Cochrane, Theodore S.",NA,NA,NA,NA
"SUWS012195","Burnett","Brashier",40,"N",16,"W"
"SUWS012196","Burnett","Brashier",40,"N",16,"W"
"SUWS012197","Douglas","Hendrickson, Sue",47,"N",12,"W"
"SUWS012198","Douglas","Castle, R.",48,"N",10,"W"
"SUWS012199","Douglas","Castle, R.",48,"N",10,"W"
"SUWS012200","Douglas","Castle, R.",48,"N",10,"W"
"SUWS012201","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS012202","Douglas","Hicks, James",49,"N",14,"W"
"SUWS012203","Douglas","Younger, Patti",49,"N",13,"W"
"SUWS012204","Juneau","Brashier",14,"N",2,"E"
"SUWS012205","Juneau","Brashier",14,"N",2,"E"
"SUWS012206","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012207","Douglas","Clements, Jimmy D.",NA,NA,NA,NA
"SUWS012208","Douglas","Mercedes",49,"N",14,"W"
"SUWS012210","Douglas","Smetak, Scott",49,"N",13,"W"
"SUWS012212","Bayfield","Brashier",45,"N",8,"W"
"SUWS012213","Douglas","Brashier",48,"N",14,"W"
"SUWS012214","Bayfield","Mackensen",44,"N",7,"W"
"SUWS012215","Bayfield","Cherf",45,"N",8,"W"
"SUWS012216","Bayfield","Hjerleid",45,"N",9,"W"
"SUWS012217","Bayfield","Collins",45,"N",8,"W"
"SUWS012218","Bayfield","Cornell",45,"N",7,"W"
"SUWS012219","Douglas","Clements, Jimmy D.",NA,NA,NA,NA
"SUWS012221","Bayfield","Holden",44,"N",7,"W"
"SUWS012223","Bayfield","Cherf",45,"N",8,"W"
"SUWS012224","St. Croix","Brashier",31,"N",19,"W"
"SUWS012225","Bayfield","Hjerleid",45,"N",9,"W"
"SUWS012226","Douglas","Sima, Bessie R.",49,"N",14,"W"
"SUWS012227","Bayfield","Brashier",45,"N",8,"W"
"SUWS012228","Douglas","Koch, Rudy G.",47,"N",14,"W"
"SUWS012239b","Douglas","Munich, Robert A.",45,"N",13,"W"
"SUWS012240","Sheboygan","Brashier",NA,NA,NA,NA
"SUWS012242","Bayfield","Thomson, John W., Jr.",46,"N",9,"W"
"SUWS012245","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS012247","Burnett","Castle, R.",38,"N",16,"W"
"SUWS012248","Bayfield","Holden",45,"N",7,"W"
"SUWS012249","Bayfield","Barnard",43,"N",7,"W"
"SUWS012250","Bayfield","Collins",45,"N",8,"W"
"SUWS012251","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS012252","Bayfield","Hjerleid",NA,NA,NA,NA
"SUWS012253","Bayfield","Cornell",44,"N",7,"W"
"SUWS012254","Juneau","Thomson, John W., Jr.",16,"N",3,"E"
"SUWS012255","Bayfield","Brashier",45,"N",6,"W"
"SUWS012256","Douglas","Dabydeen, Simon",49,"N",14,"W"
"SUWS012257","Sawyer","Mackensen",NA,NA,NA,NA
"SUWS012258","Bayfield","Collins",45,"N",8,"W"
"SUWS012259","Douglas","Olson, Patti",49,"N",13,"W"
"SUWS012261","Bayfield","Collins",45,"N",8,"W"
"SUWS012262","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012263","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012264","Bayfield","Cornell",45,"N",8,"W"
"SUWS012265","Bayfield","Holden",44,"N",8,"W"
"SUWS012266","Bayfield","Collins",45,"N",8,"W"
"SUWS012270","Douglas","Hansen, Perky",49,"N",13,"W"
"SUWS012271","Bayfield","Holden",44,"N",8,"W"
"SUWS012272","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012273","Bayfield","Brost, Mike",48,"N",9,"W"
"SUWS012274","Douglas","Brashier",48,"N",14,"W"
"SUWS012275","Bayfield","Cornell",43,"N",7,"W"
"SUWS012276","Douglas","Munich, Robert A.",49,"N",13,"W"
"SUWS012277","Eau Claire","Mackensen",NA,NA,NA,NA
"SUWS012278","Douglas","Staupe, Jane",47,"N",10,"W"
"SUWS012279","Bayfield","Hjerleid",45,"N",7,"W"
"SUWS012281","Bayfield","Brashier",45,"N",8,"W"
"SUWS012282","Bayfield","Barnard",45,"N",7,"W"
"SUWS012283","Douglas","Bruederle, Leo P.",49,"N",13,"W"
"SUWS012284","Bayfield","Collins",45,"N",8,"W"
"SUWS012285","Bayfield","Brashier",45,"N",8,"W"
"SUWS012286","Bayfield","Hjerleid",45,"N",7,"W"
"SUWS012287","Eau Claire","Mackensen",27,"N",9,"W"
"SUWS012288","Bayfield","Cornell",45,"N",8,"W"
"SUWS012289","Bayfield","Hjerleid",NA,NA,NA,NA
"SUWS012291","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS012292","Douglas","Hicks, James",49,"N",14,"W"
"SUWS012294","Douglas","Sima, Bessie R.",49,"N",14,"W"
"SUWS012295","Bayfield","Collins",45,"N",8,"W"
"SUWS012296","Bayfield","Hjerleid",44,"N",7,"W"
"SUWS012297","Bayfield","Cornell",45,"N",8,"W"
"SUWS012298","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012299","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012300","Douglas","McGovern, Scott",49,"N",13,"W"
"SUWS012301","Douglas","Bruederle, Leo P.",NA,NA,NA,NA
"SUWS012302","Douglas","Sima, Bessie R.",49,"N",14,"W"
"SUWS012303","Douglas","Shugar, Helen",49,"N",14,"W"
"SUWS012304","Juneau","Brashier",14,"N",2,"E"
"SUWS012308","Douglas","Thomson, John W., Jr.",49,"N",10,"W"
"SUWS012309","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012310","Douglas","Castle, R.",49,"N",12,"W"
"SUWS012311","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS012313","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS012314","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS012316","Douglas","McDonald, Sue",49,"N",14,"W"
"SUWS012317","Walworth","",2,"N",17,"E"
"SUWS012319","Douglas","Castle, R.",49,"N",13,"W"
"SUWS012320","Douglas","Brashier",NA,NA,NA,NA
"SUWS012321","Douglas","Koch, Rudy G.",49,"N",13,"W"
"SUWS012322","Douglas","Koch, Rudy G.",49,"N",13,"W"
"SUWS012323","Bayfield","Brashier",45,"N",8,"W"
"SUWS012324","Bayfield","Brashier",45,"N",8,"W"
"SUWS012325","Bayfield","Brashier",45,"N",8,"W"
"SUWS012326","Bayfield","Cornell",45,"N",7,"W"
"SUWS012327","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012328","Douglas","Thomson, John W., Jr.",45,"N",11,"W"
"SUWS012329","Douglas","Collinson, Keith",49,"N",14,"W"
"SUWS012330","Bayfield","Holden",44,"N",7,"W"
"SUWS012331","Bayfield","Cornell",43,"N",7,"W"
"SUWS012334","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012335","Douglas","Thomson, John W., Jr.",47,"N",15,"W"
"SUWS012336","Bayfield","Brashier",45,"N",8,"W"
"SUWS012337","Bayfield","Brashier",45,"N",8,"W"
"SUWS012338","Bayfield","Brashier",45,"N",7,"W"
"SUWS012339","Bayfield","Gunderson",45,"N",7,"W"
"SUWS012340","Bayfield","Holden",46,"N",8,"W"
"SUWS012341","Bayfield","Collins",45,"N",8,"W"
"SUWS012342","Bayfield","Janowski",45,"N",7,"W"
"SUWS012343","Douglas","Sima, Bessie R.",NA,NA,NA,NA
"SUWS012344","Douglas","Olson, Patti",49,"N",13,"W"
"SUWS012345","Douglas","Thomson, John W., Jr.",46,"N",10,"W"
"SUWS012346","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS012347","Bayfield","Cornell",45,"N",8,"W"
"SUWS012348","Bayfield","Holden",44,"N",8,"W"
"SUWS012349","Bayfield","Brashier",45,"N",8,"W"
"SUWS012350","Bayfield","Lahti, Duane",48,"N",9,"W"
"SUWS012351","Douglas","Koch, Rudy G.",47,"N",14,"W"
"SUWS012352","Douglas","Brashier",46,"N",15,"W"
"SUWS012353","Douglas","Brashier",48,"N",14,"W"
"SUWS012356","Douglas","Wasko, Walter",47,"N",12,"W"
"SUWS012357","Douglas","Brashier",46,"N",15,"W"
"SUWS012358","Douglas","Sima, Bessie R.",49,"N",14,"W"
"SUWS012359","Douglas","Mendenhall, Paula M.",49,"N",13,"W"
"SUWS012360","Douglas","Munich, Robert A.",49,"N",13,"W"
"SUWS012361","Douglas","Koch, Rudy G.",45,"N",12,"W"
"SUWS012362","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012363","Bayfield","Holden",44,"N",7,"W"
"SUWS012364","Bayfield","Collins",44,"N",7,"W"
"SUWS012365","Bayfield","Collins",45,"N",8,"W"
"SUWS012366","Bayfield","Collins",45,"N",8,"W"
"SUWS012367","Bayfield","Hjerleid",45,"N",9,"W"
"SUWS012368","Bayfield","Barnard",45,"N",7,"W"
"SUWS012369","Bayfield","Brashier",45,"N",8,"W"
"SUWS012370","Bayfield","Brashier",45,"N",8,"W"
"SUWS012371","Bayfield","Thoren",45,"N",8,"W"
"SUWS012372","Bayfield","Cornell",43,"N",7,"W"
"SUWS012373","Bayfield","Brashier",45,"N",8,"W"
"SUWS012380","Douglas","Koch, Rudy G.",49,"N",14,"W"
"SUWS012381","Bayfield","Koch, Rudy G.",44,"N",8,"W"
"SUWS012382","Bayfield","Cornell",45,"N",8,"W"
"SUWS012383","Juneau","Thomson, John W., Jr.",16,"N",3,"E"
"SUWS012384","Douglas","Smetak, Scott",49,"N",13,"W"
"SUWS012386","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012388","Douglas","Olson, Patti",49,"N",13,"W"
"SUWS012389","Bayfield","Brashier",45,"N",8,"W"
"SUWS012390","Douglas","Hein, Elizabeth",46,"N",13,"W"
"SUWS012391","Bayfield","Brashier",45,"N",8,"W"
"SUWS012392","Bayfield","Cornell",44,"N",8,"W"
"SUWS012393","Bayfield","Brashier",45,"N",8,"W"
"SUWS012394","Douglas","Shaw, Merton R.",45,"N",12,"W"
"SUWS012396","Bayfield","Heim, John A.",45,"N",6,"W"
"SUWS012397","Douglas","Ojanen, Joanne M.",47,"N",13,"W"
"SUWS012398","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS012399","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012405","Douglas","Kovach, Suzan",NA,NA,NA,NA
"SUWS012406","Douglas","Gitar",49,"N",14,"W"
"SUWS012407","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012408","Douglas","Thomson, John W., Jr.",46,"N",12,"W"
"SUWS012409","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012410","Bayfield","Thomson, John W., Jr.",47,"N",9,"W"
"SUWS012411","Sheboygan","Brashier",15,"N",20,"E"
"SUWS012412","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012414","Douglas","Thomson, John W., Jr.",48,"N",13,"W"
"SUWS012415","Douglas","Thomson, John W., Jr.",47,"N",11,"W"
"SUWS012416","Douglas","Munich, Robert A.",49,"N",13,"W"
"SUWS012417","Douglas","Ojanen, Joanne M.",47,"N",13,"W"
"SUWS012418","Douglas","Koch, Rudy G.",47,"N",13,"W"
"SUWS012419","Douglas","Hansen, Perky",49,"N",13,"W"
"SUWS012421","Burnett","Brashier",40,"N",16,"W"
"SUWS012422","Douglas","Thomson, John W., Jr.",45,"N",11,"W"
"SUWS012423","Polk","Brashier",33,"N",19,"W"
"SUWS012424","Douglas","Tendrup, Lynn S.",46,"N",15,"W"
"SUWS012425","Sawyer","Davis, J. D.",41,"N",7,"W"
"SUWS012426","Sawyer","Davis, J. D.",41,"N",7,"W"
"SUWS012428","Douglas","Thomson, John W., Jr.",48,"N",10,"W"
"SUWS012433","Bayfield","Thomson, John W., Jr.",47,"N",9,"W"
"SUWS012434","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012436","Douglas","Tendrup, Lynn S.",46,"N",15,"W"
"SUWS012437","Douglas","Thomson, John W., Jr.",46,"N",10,"W"
"SUWS012439","Rock","Thomson, John W., Jr.",4,"N",12,"E"
"SUWS012442","Bayfield","Cornell",43,"N",7,"W"
"SUWS012443","Bayfield","Barnard",43,"N",7,"W"
"SUWS012444","Barron","Thomson, John W., Jr.",33,"N",10,"W"
"SUWS012445","Rock","Thomson, John W., Jr.",4,"N",12,"E"
"SUWS012453","Richland","Last, Robert",9,"N",2,"E"
"SUWS012463","Douglas","Thomson, John W., Jr.",45,"N",11,"W"
"SUWS012464","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012465","Douglas","Thomson, John W., Jr.",45,"N",11,"W"
"SUWS012466","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012467","Trempealeau","Thompson, Kathy L.",19,"N",9,"W"
"SUWS012468","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS012469","Burnett","Castle, R.",38,"N",16,"W"
"SUWS012470","Douglas","Dabydeen, Simon",49,"N",14,"W"
"SUWS012472","Polk","Brashier",NA,NA,NA,NA
"SUWS012474","La Crosse","Koch, Rudy G.",15,"N",7,"W"
"SUWS012479","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012480","Douglas","Castle, R.",47,"N",10,"W"
"SUWS012481","Douglas","Brashier",45,"N",12,"W"
"SUWS012482","Douglas","Brashier",45,"N",12,"W"
"SUWS012483","Bayfield","Brashier",45,"N",8,"W"
"SUWS012484","Burnett","Brashier",NA,NA,NA,NA
"SUWS012485","Burnett","Castle, R.",NA,NA,NA,NA
"SUWS012486","Douglas","Thomson, John W., Jr.",46,"N",10,"W"
"SUWS012487","Burnett","Brashier",NA,NA,NA,NA
"SUWS012489","Douglas","Olson, Patti",49,"N",13,"W"
"SUWS012490","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012491","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012492","Douglas","Hansen, Perky",49,"N",13,"W"
"SUWS012493","Douglas","Castle, R.",49,"N",14,"W"
"SUWS012495","Douglas","Castle, R.",49,"N",14,"W"
"SUWS012502","Douglas","Castle, R.",49,"N",14,"W"
"SUWS012503","Bayfield","Anderson, Jason",NA,NA,NA,NA
"SUWS012504","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012505","Bayfield","Brost, Mike",48,"N",9,"W"
"SUWS012506","Douglas","Castle, R.",45,"N",12,"W"
"SUWS012507","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012509","Douglas","Hansen, Perky",49,"N",13,"W"
"SUWS012510","Douglas","Longenecker, Jean",46,"N",14,"W"
"SUWS012511","Bayfield","Brashier",45,"N",8,"W"
"SUWS012512","Bayfield","Brashier",45,"N",8,"W"
"SUWS012513","Bayfield","Brashier",45,"N",8,"W"
"SUWS012514","Douglas","Heim, John A.",47,"N",14,"W"
"SUWS012516","Bayfield","Brashier",45,"N",8,"W"
"SUWS012517","Douglas","Castle, R.",49,"N",14,"W"
"SUWS012520","Douglas","Castle, R.",49,"N",14,"W"
"SUWS012521","Douglas","Koch, Rudy G.",45,"N",12,"W"
"SUWS012522","Ashland","Brashier",NA,NA,NA,NA
"SUWS012523","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012524","Douglas","Ojanen, Joanne M.",48,"N",14,"W"
"SUWS012525","Douglas","Heim, John A.",NA,NA,NA,NA
"SUWS012526","Ashland","Brashier",NA,NA,NA,NA
"SUWS012527","Ashland","Brashier",NA,NA,NA,NA
"SUWS012528","Douglas","Brashier",48,"N",14,"W"
"SUWS012529","Bayfield","Brashier",45,"N",8,"W"
"SUWS012530","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS012533","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012534","Douglas","Castle, R.",NA,NA,NA,NA
"SUWS012535","Bayfield","Barnard",NA,NA,NA,NA
"SUWS012536","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012537","Douglas","Olson, Patti",49,"N",13,"W"
"SUWS012538","Douglas","McC., N. V.",NA,NA,NA,NA
"SUWS012539","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012540","Burnett","Castle, R.",38,"N",16,"W"
"SUWS012541","Marathon","Smetak, Scott",NA,NA,NA,NA
"SUWS012542","Douglas","Davidson, Donald W.",49,"N",13,"W"
"SUWS012543","Douglas","Thomson, John W., Jr.",48,"N",12,"W"
"SUWS012544","Douglas","Thomson, John W., Jr.",48,"N",12,"W"
"SUWS012553","La Crosse","Swanson, Steven D.",16,"N",8,"W"
"SUWS012556","St. Croix","Brashier",NA,NA,NA,NA
"SUWS012557","Douglas","Brashier",49,"N",14,"W"
"SUWS012559","La Crosse","Ziegler, S. R.",15,"N",7,"W"
"SUWS012560","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012561","St. Croix","Brashier",NA,NA,NA,NA
"SUWS012562","Douglas","Brashier",48,"N",14,"W"
"SUWS012563","Juneau","Brashier",14,"N",2,"E"
"SUWS012565","Douglas","Koch, Rudy G.",47,"N",15,"W"
"SUWS012566","Bayfield","Cornell",45,"N",7,"W"
"SUWS012567","Bayfield","Brashier",45,"N",8,"W"
"SUWS012568","St. Croix","Brashier",NA,NA,NA,NA
"SUWS012570","Douglas","Collinson, Keith",49,"N",14,"W"
"SUWS012571","Douglas","Thomson, John W., Jr.",48,"N",13,"W"
"SUWS012572","Douglas","Koch, Rudy G.",47,"N",10,"W"
"SUWS012573","Bayfield","Brashier",45,"N",8,"W"
"SUWS012574","Bayfield","Brashier",45,"N",8,"W"
"SUWS012577","Pepin","Brashier",NA,NA,NA,NA
"SUWS012578","Bayfield","Collins",45,"N",8,"W"
"SUWS012579","Polk","Brashier",NA,NA,NA,NA
"SUWS012581","La Crosse","Nontelle, Deon M.",18,"N",8,"W"
"SUWS012582","Polk","Ruenzel, Judy",NA,NA,NA,NA
"SUWS012586","Marathon","Smetak, Scott",NA,NA,NA,NA
"SUWS012587","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS012588","Douglas","Brashier",48,"N",14,"W"
"SUWS012590","Chippewa","Thompson, Kathy L.",32,"N",7,"W"
"SUWS012591","Douglas","Castle, R.",49,"N",10,"W"
"SUWS012592","Douglas","McDonald, Sue",49,"N",13,"W"
"SUWS012593","Douglas","McGovern, Scott",49,"N",13,"W"
"SUWS012594","Bayfield","Smith",45,"N",8,"W"
"SUWS012595","Douglas","Tendrup, Lynn S.",49,"N",14,"W"
"SUWS012597","Douglas","Koch, Rudy G.",46,"N",15,"W"
"SUWS012599","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012600","Douglas","Thomson, John W., Jr.",46,"N",11,"W"
"SUWS012601","Douglas","Castle, R.",49,"N",10,"W "
"SUWS012602","Douglas","Brashier",NA,NA,NA,NA
"SUWS012603","Bayfield","Gunderson",45,"N",8,"W"
"SUWS012604","Douglas","Tendrup, Lynn S.",46,"N",15,"W"
"SUWS012605","Douglas","Brashier",NA,NA,NA,NA
"SUWS012607","Douglas","Mitchell, John A.",46,"N",10,"W"
"SUWS012608","Bayfield","Thomson, John W., Jr.",48,"N",9,"W"
"SUWS012610","Douglas","Brashier",46,"N",15,"W"
"SUWS012611","Douglas","Thomson, John W., Jr.",48,"N",10,"W"
