"t_num","t_dir","r_num","r_dir","distinct_specimens"
36,"N",19,"W",14
36,"N",20,"W",13
36,"N",21,"E",1
37,"N",1,"E",2
37,"N",8,"E",1
37,"N",11,"W",1
37,"N",17,"W",2
37,"N",20,"E",2
38,"N",1,"E",2
38,"N",2,"W",3
38,"N",16,"W",8
38,"N",19,"W",4
39,"N",1,"E",2
39,"N",7,"E",1
39,"N",18,"W",2
40,"N",1,"E",1
40,"N",7,"E",9
40,"N",9,"W",3
40,"N",16,"W",18
41,"N",1,"W",1
41,"N",7,"W",5
41,"N",12,"W",3
41,"N",15,"W",7
41,"N",16,"W",11
42,"N",2,"W",9
42,"N",5,"E",4
42,"N",8,"W",1
42,"N",13,"W",1
42,"N",14,"W",5
42,"N",15,"W",2
43,"N",7,"W",18
43,"N",8,"W",1
43,"N",11,"W",12
43,"N",12,"W",3
43,"N",13,"W",1
43,"N",14,"W",2
43,"N",15,"W",5
44," N",12,"W",1
44,"N",2,"E",4
44,"N",2,"W",4
44,"N",3,"E",2
44,"N",3,"W ",1
44,"N",4,"W",1
44,"N",7,"W",39
44,"N",8,"W",35
44,"N",9,"W",2
44,"N",10,"W",2
44,"N",11,"W",6
44,"N",12,"W",8
44,"N",13,"W",2
44,"N",14,"W",8
45," N",11,"W",4
45," N",15,"W",3
45,"N",1,"W",2
45,"N",2,"E",1
45,"N",2,"W",1
45,"N",3,"E",4
45,"N",4,"W",5
45,"N",5,"W",4
45,"N",6,"W",9
45,"N",7,"W",60
45,"N",8,"W",344
45,"N",8,"W ",1
45,"N",9,"W",10
45,"N",10,"W",11
45,"N",11,"W",37
45,"N",12,"W",49
45,"N",13,"W",10
45,"N",14,"W",11
45,"N",14,"W ",1
45,"N",15,"W",4
46," N",10,"W",24
46," N",11,"W",10
46," N",12,"W",1
46,"N",1,"W",1
46,"N",2,"E",14
46,"N",5,"W",8
46,"N",7,"W",4
46,"N",8,"W",16
46,"N",9,"W",11
46,"N",10,"W",75
46,"N",11,"W",45
46,"N",12,"W",10
46,"N",13,"W",48
46,"N",14,"W",27
46,"N",15,"W",158
47," N",10,"W",24
47," N",11,"W",2
47," N",14,"W",1
47,"N",1,"W",9
47,"N",2,"W",1
47,"N",4,"W",3
47,"N",6,"W",1
47,"N",7,"W",1
47,"N",8,"W",17
47,"N",9,"W",6
47,"N",10,"W",120
47,"N",11,"W",53
47,"N",12,"W",17
47,"N",13,"W",22
47,"N",13,"W ",2
47,"N",14,"W",116
47,"N",15,"W",194
48," N",10,"W",6
48," N",12,"W",2
48," N",13,"W",5
48,"N",2,"W",6
48,"N",3,"W",1
48,"N",4,"W",3
48,"N",5,"W",4
48,"N",6,"W",1
48,"N",7,"W",5
48,"N",8,"W",8
48,"N",9,"W",23
48,"N",10,"W",37
48,"N",10,"W ",1
48,"N",11,"W",2
48,"N",12,"W",412
48,"N",13,"W",51
48,"N",14,"W",85
48,"N",15,"W",13
49," N",10,"W",8
49," N",13,"W",3
49,"N",3,"W",17
49,"N",4,"W",3
49,"N",5,"W",3
49,"N",6,"W",1
49,"N",8,"W",2
49,"N",9,"W",2
49,"N",10,"W",143
49,"N",10,"W ",2
49,"N",11,"W",21
49,"N",12,"W",32
49,"N",12,"W ",1
49,"N",13,"W",510
49,"N",14,"W",708
49,"N",15,"W",3
50,"N",2,"W",2
50,"N",4,"W",3
50,"N",6,"W",2
50,"N",7,"W",14
50,"N",8,"W",68
51,"N",1,"W",2
51,"N",2,"W",1
51,"N",3,"W",7
51,"N",4,"W",2
51,"N",5,"W",5
51,"N",6,"W",13
51,"N",7,"W",8
52,"N",2,"W",12
52,"N",3,"W",7
52,"N",4,"W",2
52,"N",4,"W ",9
52,"N",5,"W",6
53,"N",2,"W",1
53,"N",3,"W",1
