"county","collectedBy","num_spec"
"Ashland","Anderson, Derek S.",3
"Burnett","Anderson, Derek S.",14
"Douglas","Anderson, Derek S.",160
"Langlade","Anderson, Derek S.",9
"Manitowoc","Anderson, Derek S.",2
"Oneida","Anderson, Derek S.",1
"Polk","Anderson, Derek S.",310
"Price","Anderson, Derek S.",5
"Vilas","Anderson, Derek S.",4
