"catalogNumber","t_num","t_dir","r_num","r_dir"
"SUWS010134",46,"N",15,"W"
"SUWS010135",20,"N",12,"W"
"SUWS010139",17,"N",8,"W"
"SUWS010140",19,"N",13,"E"
"SUWS010141",47,"N",14,"W"
"SUWS010145",46,"N",2,"E"
"SUWS010147",47,"N",10,"W"
"SUWS010149",16,"N",6,"W"
"SUWS010153",49,"N",14,"W"
"SUWS010154",46,"N",15,"W"
"SUWS010155",44,"N",14,"W"
"SUWS010158",44,"N",14,"W"
"SUWS010158b",46,"N",15,"W"
"SUWS010162",46,"N",2,"E"
"SUWS010165",46,"N",15,"W"
"SUWS010166",16,"N",6,"W"
"SUWS010168",41,"N",7,"W"
"SUWS010171",44,"N",12,"W"
"SUWS010172",46,"N",10,"W"
"SUWS010174",49,"N",13,"W"
"SUWS010175",51,"N",3,"W"
"SUWS010179",49,"N",3,"W"
"SUWS010180",11,"N",8,"E"
"SUWS010181",49,"N",13,"W"
"SUWS010184",49,"N",14,"W"
"SUWS010186",14,"N",7,"W"
"SUWS010192",46,"N",8,"W"
"SUWS010194",36,"N",3,"W"
"SUWS010196",48,"N",2,"W"
"SUWS010201",17,"N",7,"W"
"SUWS010202",51,"N",7,"W"
"SUWS010204",48,"N",9,"W"
"SUWS010205",50,"N",8,"W"
"SUWS010211",51,"N",4,"W"
"SUWS010214",46,"N",8,"W"
"SUWS010215",21,"N",13,"E"
"SUWS010220",17,"N",7,"W"
"SUWS010221",50,"N",8,"W"
"SUWS010224",50,"N",8,"W"
"SUWS010226",14,"N",7,"W"
"SUWS010232",21,"N",13,"E"
"SUWS010317",15,"N",5,"W"
"SUWS010319",14,"N",7,"W"
"SUWS010321",46,"N",15,"W"
"SUWS010322",15,"N",7,"W"
"SUWS010327",46,"N",15,"W"
"SUWS010328",43,"N",12,"W"
"SUWS010331",9,"N",2,"W"
"SUWS010332",48,"N",5,"W"
"SUWS010333",50,"N",8,"W"
"SUWS010335",12,"N",16,"E"
"SUWS010337",20,"N",12,"W"
"SUWS010341",30,"N",23,"E"
"SUWS010342",15,"N",7,"W"
"SUWS010350",16,"N",7,"W"
"SUWS010356",40,"N",7,"E"
