"OBJECTID","collected_specimens","CollectedBy"
1212,1,"Nontelle, Deon M."
1215,3,"Konkel, Deborah"
1216,1,"Hughes, Eileen G."
1219,6,"Sohmer, S. H."
1222,1,"Konkel, Deborah"
1239,2,"Swanson, Steven D."
1241,11,"Nontelle, Deon M."
1242,1,"Demaske, D. & Hartley, Thomas G. & Nelson, C. J. & Peck, James H. & Sohmer, S. H."
1244,1,"Davis, J. D. & Nontelle, Deon M."
1247,1,"Skinner, Dean"
1254,4,"Brashier & Romans"
1261,6,"Thomson, John W., Jr."
1268,2,"Brashier & Romans"
1277,6,"Brashier & Romans"
1280,17,"Demaske, D."
1281,1,"Nontelle, Deon M."
1283,4,"Sohmer, S. H."
1286,5,"Sohmer, S. H."
1300,10,"Ziegler, S. R."
1302,12,"Brashier & Romans"
1310,1,"Brimmer, K. & Sohmer, S. H."
1315,3,"Sohmer, S. H."
1319,1,"Leitner, Lawrence A."
1331,3,"Purtell, Harriet M."
1334,1,"Sohmer, S. H."
1350,1,"Smith, W. A."
1359,1,"Hoagland, Beth A."
1361,1,"Leitner, Lawrence A."
1380,2,"Christian, John R."
1381,1,"Christian, John R."
1396,1,"Smith, W. A."
1397,4,"Koch, Rudy G."
1401,1,"Gibbons, Dean W."
1415,1,"Leitner, Lawrence A."
1431,2,"Cochrane, Barbara A. & Cochrane, Theodore S."
1432,1,"Nee, M."
1453,6,"Koch, Rudy G."
1458,1,"Last, Robert"
1478,3,"Koch, Rudy G."
1484,1,"Cochrane, Barbara A. & Cochrane, Theodore S."
1485,1,"Thomson, John W., Jr."
1486,1,"Thomson, John W., Jr."
1488,1,"Koch, Rudy G."
1489,1,"Davis, J. D. & Nee, M."
1514,2,"Miller, Regis B."
1520,1,"Cull, Irene"
1540,1,"Carline, R."
1568,1,"Leitner, Lawrence A."
1579,1,"Duffie, Judy"
1610,2,"Thomson, John W., Jr."
1611,5,"Thomson, John W., Jr."
1612,2,"Thomson, John W., Jr."
1619,1,"Nee, M."
1620,3,"Leitner, Lawrence A."
1632,1,"Shinners, L. H."
1637,1,"Thomson, John W., Jr."
1665,4,"Thomson, John W., Jr."
1666,1," & Thomson, John W., Jr."
1674,1,"Salamun, Peter J."
