"catalogNumber","N_latitude","W_longitude"
"SUWS011811","46.403700 N"," 91.317130 W"
"SUWS011813","46.342280 N"," 91.349010 W"
"SUWS011814","46.342280 N"," 91.349010 W"
"SUWS011815","46.732160 N"," 92.066300 W"
"SUWS011816","46.342280 N"," 91.349010 W"
"SUWS011817","46.217930 N"," 91.798520 W"
"SUWS011822","46.706270 N"," 92.099490 W"
"SUWS011826","46.496960 N"," 92.259050 W"
"SUWS011827","46.489860 N"," 92.184140 W"
"SUWS011828","46.342280 N"," 91.349010 W"
"SUWS011829","46.342280 N"," 91.349010 W"
"SUWS011843","46.636370 N"," 92.103740 W"
"SUWS011845","46.681220 N"," 92.066310 W"
"SUWS011847","46.489860 N"," 92.184140 W"
"SUWS011854","46.681220 N"," 92.066310 W"
"SUWS011860","45.334820 N"," 91.675210 W"
"SUWS011861","46.675680 N"," 92.103390 W"
"SUWS011862","46.675680 N"," 92.103390 W"
"SUWS011867","46.654970 N"," 92.104420 W"
"SUWS011868","44.059360 N"," 87.736210 W"
"SUWS011870","46.496960 N"," 92.259050 W"
"SUWS011871","46.268010 N"," 91.258520 W"
"SUWS011881","46.636370 N"," 92.103740 W"
"SUWS011884","46.553000 N"," 91.576580 W"
"SUWS011887","46.675680 N"," 92.103390 W"
"SUWS011898","46.636370 N"," 92.103740 W"
"SUWS011899","46.636370 N"," 92.103740 W"
"SUWS011900","46.489860 N"," 92.184140 W"
"SUWS011903","46.342280 N"," 91.349010 W"
"SUWS011918","46.343890 N"," 91.213380 W"
"SUWS011920","46.489860 N"," 92.184140 W"
"SUWS011921","46.342280 N"," 91.349010 W"
"SUWS011922","46.342280 N"," 91.349010 W"
"SUWS011923","45.125470 N"," 92.671950 W"
"SUWS011938","43.652750 N"," 90.223460 W"
"SUWS011939","43.652750 N"," 90.223460 W"
"SUWS011940","46.342280 N"," 91.349010 W"
"SUWS011941","46.336890 N"," 91.257970 W"
"SUWS011942","46.254130 N"," 91.798520 W"
"SUWS011945","45.328610 N"," 91.651000 W"
"SUWS011947","46.342280 N"," 91.349010 W"
"SUWS011948","46.342280 N"," 91.349010 W"
"SUWS011949","46.342280 N"," 91.349010 W"
"SUWS011950","44.109920 N"," 87.638650 W"
"SUWS011951","46.342280 N"," 91.349010 W"
"SUWS011956","46.491330 N"," 92.199720 W"
"SUWS011957","46.353270 N"," 91.822410 W"
"SUWS011958","46.342280 N"," 91.349010 W"
"SUWS011960","46.342280 N"," 91.349010 W"
"SUWS011961","46.315020 N"," 91.323170 W"
"SUWS011962","46.342280 N"," 91.349010 W"
"SUWS011963","46.342280 N"," 91.349010 W"
"SUWS011969","46.295630 N"," 91.259340 W"
"SUWS011970","46.303810 N"," 91.225870 W"
"SUWS011973","46.343530 N"," 91.261740 W"
"SUWS011975","46.235550 N"," 91.257970 W"
"SUWS011977","45.742130 N"," 92.383090 W"
"SUWS011978","46.681220 N"," 92.066310 W"
"SUWS011979","44.728120 N"," 91.285470 W"
"SUWS011985","46.349520 N"," 91.349010 W"
"SUWS011993","46.342280 N"," 91.349010 W"
"SUWS011994","45.967410 N"," 92.363490 W"
"SUWS011996","43.838540 N"," 90.166090 W"
"SUWS012000","46.633090 N"," 91.720740 W"
"SUWS012007","46.342280 N"," 91.349010 W"
"SUWS012008","46.572850 N"," 91.699910 W"
"SUWS012009","46.774660 N"," 91.386570 W"
"SUWS012012","46.342280 N"," 91.349010 W"
"SUWS012013","46.342280 N"," 91.349010 W"
"SUWS012014","46.464110 N"," 91.899400 W"
"SUWS012023","46.694720 N"," 91.992650 W"
"SUWS012026","45.698950 N"," 87.994850 W"
"SUWS012027","46.342280 N"," 91.349010 W"
"SUWS012028","46.553000 N"," 91.576580 W"
"SUWS012029","46.342280 N"," 91.349010 W"
"SUWS012031","46.342280 N"," 91.349010 W"
"SUWS012032","45.967410 N"," 92.363490 W"
"SUWS012033","46.681220 N"," 92.066310 W"
"SUWS012034","46.681220 N"," 92.066310 W"
"SUWS012037","46.342280 N"," 91.349010 W"
"SUWS012047","46.732160 N"," 92.066300 W"
"SUWS012055","46.505810 N"," 92.231270 W"
"SUWS012058","46.301100 N"," 91.280630 W"
"SUWS012059","46.208010 N"," 91.292130 W"
"SUWS012061","46.681220 N"," 92.066310 W"
"SUWS012067","46.675450 N"," 92.148710 W"
"SUWS012070","46.596480 N"," 91.343700 W"
"SUWS012072","46.342280 N"," 91.349010 W"
"SUWS012073","46.682110 N"," 92.150820 W"
"SUWS012074","46.336890 N"," 91.257970 W"
"SUWS012076","46.342280 N"," 91.349010 W"
"SUWS012080","46.586040 N"," 91.720740 W"
"SUWS012082","46.853820 N"," 91.127600 W"
"SUWS012084","46.342280 N"," 91.349010 W"
"SUWS012089","46.654970 N"," 92.104420 W"
"SUWS012091","46.342280 N"," 91.349010 W"
"SUWS012094","46.718000 N"," 92.055750 W"
"SUWS012109","46.681220 N"," 92.066310 W"
"SUWS012111","46.342280 N"," 91.349010 W"
"SUWS012115","45.934220 N"," 92.361690 W"
"SUWS012118","46.489170 N"," 91.554950 W"
"SUWS012130","44.313150 N"," 91.910940 W"
"SUWS012137","46.342280 N"," 91.349010 W"
"SUWS012138","46.342280 N"," 91.349010 W"
"SUWS012153","43.918320 N"," 90.920120 W"
"SUWS012154","46.342280 N"," 91.349010 W"
"SUWS012163","46.938270 N"," 90.652960 W"
"SUWS012167","46.681220 N"," 92.066310 W"
"SUWS012169","46.681220 N"," 92.066310 W"
"SUWS012171","46.691110 N"," 91.917310 W"
"SUWS012174","45.967410 N"," 92.363490 W"
"SUWS012176","46.708010 N"," 92.104080 W"
"SUWS012181","46.342280 N"," 91.349010 W"
"SUWS012186","44.761150 N"," 92.487410 W"
"SUWS012191","46.478140 N"," 90.988250 W"
"SUWS012195","45.967410 N"," 92.363490 W"
"SUWS012196","45.967410 N"," 92.363490 W"
"SUWS012198","46.610910 N"," 91.576580 W"
"SUWS012199","46.610910 N"," 91.576580 W"
"SUWS012200","46.610910 N"," 91.576580 W"
"SUWS012201","46.681220 N"," 92.066310 W"
"SUWS012202","46.681220 N"," 92.066310 W"
"SUWS012204","43.667240 N"," 90.223460 W"
"SUWS012205","43.667240 N"," 90.223460 W"
"SUWS012208","46.681220 N"," 92.066310 W"
"SUWS012212","46.342280 N"," 91.349010 W"
"SUWS012213","46.668030 N"," 92.103740 W"
"SUWS012214","46.291090 N"," 91.279600 W"
"SUWS012215","46.342280 N"," 91.349010 W"
"SUWS012217","46.342280 N"," 91.349010 W"
"SUWS012218","46.336950 N"," 91.295970 W"
"SUWS012221","46.277800 N"," 91.278910 W"
"SUWS012223","46.342280 N"," 91.349010 W"
"SUWS012224","45.125470 N"," 92.671950 W"
"SUWS012226","46.681220 N"," 92.066310 W"
"SUWS012227","46.342280 N"," 91.349010 W"
"SUWS012245","46.739200 N"," 92.088860 W"
"SUWS012247","45.766880 N"," 92.384590 W"
"SUWS012248","46.345410 N"," 91.195400 W"
"SUWS012249","46.208010 N"," 91.292130 W"
"SUWS012250","46.342280 N"," 91.349010 W"
"SUWS012253","46.272090 N"," 91.289280 W"
"SUWS012254","43.838540 N"," 90.166090 W"
"SUWS012255","46.367450 N"," 91.108250 W"
"SUWS012258","46.342280 N"," 91.349010 W"
"SUWS012261","46.342280 N"," 91.349010 W"
"SUWS012264","46.338610 N"," 91.323600 W"
"SUWS012265","46.270360 N"," 91.317940 W"
"SUWS012266","46.342280 N"," 91.349010 W"
"SUWS012271","46.270360 N"," 91.317940 W"
"SUWS012274","46.654970 N"," 92.104420 W"
"SUWS012275","46.222490 N"," 91.292130 W"
"SUWS012279","46.336890 N"," 91.278410 W"
"SUWS012281","46.342280 N"," 91.349010 W"
"SUWS012282","46.336890 N"," 91.257970 W"
"SUWS012284","46.342280 N"," 91.349010 W"
"SUWS012285","46.342280 N"," 91.349010 W"
"SUWS012286","46.334520 N"," 91.284770 W"
"SUWS012287","44.826340 N"," 91.491060 W"
"SUWS012288","46.338480 N"," 91.320480 W"
"SUWS012292","46.681220 N"," 92.066310 W"
"SUWS012294","46.681220 N"," 92.066310 W"
"SUWS012295","46.342280 N"," 91.349010 W"
"SUWS012296","46.291090 N"," 91.279600 W"
"SUWS012297","46.341800 N"," 91.312680 W"
"SUWS012302","46.681220 N"," 92.066310 W"
"SUWS012303","46.724590 N"," 92.091960 W"
"SUWS012304","43.667240 N"," 90.223460 W"
"SUWS012316","46.718550 N"," 92.145470 W"
"SUWS012319","46.718000 N"," 92.055750 W"
"SUWS012323","46.342280 N"," 91.349010 W"
"SUWS012324","46.342280 N"," 91.349010 W"
"SUWS012325","46.342280 N"," 91.349010 W"
"SUWS012326","46.338550 N"," 91.182440 W"
"SUWS012330","46.286410 N"," 91.227050 W"
"SUWS012331","46.235550 N"," 91.279940 W"
"SUWS012336","46.342280 N"," 91.349010 W"
"SUWS012337","46.342280 N"," 91.349010 W"
"SUWS012338","46.343930 N"," 91.261140 W"
"SUWS012339","46.343930 N"," 91.261140 W"
"SUWS012340","46.429910 N"," 91.337330 W"
"SUWS012341","46.342280 N"," 91.349010 W"
"SUWS012342","46.343930 N"," 91.261140 W"
"SUWS012346","46.724590 N"," 92.091960 W"
"SUWS012347","46.342280 N"," 91.349010 W"
"SUWS012348","46.271200 N"," 91.349350 W"
"SUWS012349","46.341800 N"," 91.347660 W"
"SUWS012352","46.489860 N"," 92.184140 W"
"SUWS012353","46.654970 N"," 92.104420 W"
"SUWS012357","46.491330 N"," 92.199720 W"
"SUWS012358","46.705450 N"," 92.104040 W"
"SUWS012363","46.277800 N"," 91.278910 W"
"SUWS012364","46.286410 N"," 91.227050 W"
"SUWS012365","46.342280 N"," 91.349010 W"
"SUWS012366","46.342280 N"," 91.349010 W"
"SUWS012368","46.336890 N"," 91.257970 W"
"SUWS012369","46.342280 N"," 91.349010 W"
"SUWS012370","46.342280 N"," 91.349010 W"
"SUWS012371","46.342280 N"," 91.349010 W"
"SUWS012372","46.235550 N"," 91.279940 W"
"SUWS012373","46.342280 N"," 91.349010 W"
"SUWS012382","46.336880 N"," 91.320880 W"
"SUWS012383","43.838540 N"," 90.166090 W"
"SUWS012389","46.342280 N"," 91.349010 W"
"SUWS012391","46.342280 N"," 91.349010 W"
"SUWS012392","46.300070 N"," 91.322400 W"
"SUWS012393","46.342280 N"," 91.349010 W"
"SUWS012394","46.353270 N"," 91.822410 W"
"SUWS012398","46.681220 N"," 92.066310 W"
"SUWS012411","43.759550 N"," 88.088790 W"
"SUWS012421","45.967410 N"," 92.363490 W"
"SUWS012423","45.334580 N"," 92.687250 W"
"SUWS012439","42.828900 N"," 89.021500 W"
"SUWS012443","46.208010 N"," 91.292130 W"
"SUWS012444","45.328610 N"," 91.651000 W"
"SUWS012469","45.766880 N"," 92.384590 W"
"SUWS012480","46.553000 N"," 91.555530 W"
"SUWS012481","46.353270 N"," 91.822410 W"
"SUWS012482","46.353270 N"," 91.822410 W"
"SUWS012483","46.342280 N"," 91.349010 W"
"SUWS012493","46.717840 N"," 92.087860 W"
"SUWS012495","46.717840 N"," 92.087860 W"
"SUWS012502","46.717840 N"," 92.087860 W"
"SUWS012506","46.353270 N"," 91.822410 W"
"SUWS012510","46.477750 N"," 92.061050 W"
"SUWS012511","46.342280 N"," 91.349010 W"
"SUWS012512","46.342280 N"," 91.349010 W"
"SUWS012513","46.342280 N"," 91.349010 W"
"SUWS012516","46.342280 N"," 91.349010 W"
"SUWS012517","46.717840 N"," 92.087860 W"
"SUWS012520","46.717840 N"," 92.087860 W"
"SUWS012524","46.675450 N"," 92.148710 W"
"SUWS012528","46.654970 N"," 92.104420 W"
"SUWS012529","46.342280 N"," 91.349010 W"
"SUWS012540","45.766880 N"," 92.384590 W"
"SUWS012557","46.717840 N"," 92.087860 W"
"SUWS012562","46.654970 N"," 92.104420 W"
"SUWS012563","43.667240 N"," 90.223460 W"
"SUWS012566","46.345410 N"," 91.195400 W"
"SUWS012567","46.342280 N"," 91.349010 W"
"SUWS012573","46.342280 N"," 91.349010 W"
"SUWS012574","46.342280 N"," 91.349010 W"
"SUWS012578","46.342280 N"," 91.349010 W"
"SUWS012588","46.654970 N"," 92.104420 W"
"SUWS012592","46.690770 N"," 92.002690 W"
"SUWS012593","46.694720 N"," 91.992650 W"
"SUWS012594","46.342280 N"," 91.349010 W"
"SUWS012603","46.342280 N"," 91.349010 W"
"SUWS012607","46.435300 N"," 91.672620 W"
"SUWS012610","46.489860 N"," 92.184140 W"
"SUWS012613","46.489860 N"," 92.184140 W"
"SUWS012625","46.565450 N"," 91.418030 W"
"SUWS012626","43.838540 N"," 90.166090 W"
"SUWS012632","46.639860 N"," 91.576580 W"
"SUWS012633","46.681220 N"," 92.066310 W"
"SUWS012634","44.059360 N"," 87.736210 W"
"SUWS012639","46.694720 N"," 91.992650 W"
"SUWS012649","43.749820 N"," 88.105360 W"
"SUWS012665","46.342280 N"," 91.349010 W"
"SUWS012667","46.342280 N"," 91.349010 W"
"SUWS012669","46.717840 N"," 92.087860 W"
"SUWS012681","46.336890 N"," 91.278410 W"
"SUWS012682","46.489860 N"," 92.184140 W"
"SUWS012683","46.315020 N"," 91.323170 W"
"SUWS012684","46.342280 N"," 91.349010 W"
"SUWS012685","46.342280 N"," 91.349010 W"
"SUWS012686","46.342280 N"," 91.349010 W"
"SUWS012688","46.681220 N"," 92.066310 W"
"SUWS012689","45.696630 N"," 90.400430 W"
"SUWS012690","46.336890 N"," 91.257970 W"
"SUWS012691","46.356760 N"," 91.349010 W"
"SUWS012692","46.468060 N"," 91.745180 W"
"SUWS012703","46.342280 N"," 91.349010 W"
"SUWS012705","46.342280 N"," 91.349010 W"
"SUWS012707","46.342280 N"," 91.349010 W"
"SUWS012712","46.342280 N"," 91.349010 W"
"SUWS012713","45.851000 N"," 92.641540 W"
"SUWS012714","45.659120 N"," 92.467140 W"
"SUWS012715","45.742130 N"," 92.383090 W"
"SUWS012716","45.659120 N"," 92.467140 W"
"SUWS012719","43.838540 N"," 90.166090 W"
"SUWS012726","46.342280 N"," 91.349010 W"
"SUWS012727","46.342280 N"," 91.349010 W"
"SUWS012728","46.341800 N"," 91.347660 W"
"SUWS012729","46.051670 N"," 92.302640 W"
"SUWS012735","45.967410 N"," 92.363490 W"
"SUWS012736","46.489860 N"," 92.184140 W"
"SUWS012738","46.681220 N"," 92.066310 W"
"SUWS012739","43.817890 N"," 91.262170 W"
"SUWS012740","46.717840 N"," 92.087860 W"
"SUWS012743","46.342280 N"," 91.349010 W"
"SUWS012744","46.342280 N"," 91.349010 W"
"SUWS012745","46.342280 N"," 91.369980 W"
"SUWS012752","46.342280 N"," 91.349010 W"
"SUWS012755","46.336890 N"," 91.257970 W"
"SUWS012756","46.342280 N"," 91.349010 W"
"SUWS012757","45.334580 N"," 92.687250 W"
"SUWS012758","46.337010 N"," 91.232800 W"
"SUWS012766","46.342280 N"," 91.349010 W"
"SUWS012768","46.342280 N"," 91.349010 W"
"SUWS012770","46.342280 N"," 91.349010 W"
"SUWS012771","46.342280 N"," 91.369980 W"
"SUWS012772","46.314850 N"," 91.280280 W"
"SUWS012773","46.342280 N"," 91.349010 W"
"SUWS012774","46.343930 N"," 91.261140 W"
"SUWS012775","46.314850 N"," 91.280280 W"
"SUWS012778","46.307120 N"," 91.208990 W"
"SUWS012781","46.428840 N"," 92.213690 W"
"SUWS012788","46.268010 N"," 91.258520 W"
"SUWS012795","46.342280 N"," 91.349010 W"
"SUWS012799","46.021570 N"," 92.339380 W"
"SUWS012805","43.750970 N"," 90.890380 W"
"SUWS012806","43.667240 N"," 90.223460 W"
"SUWS012822","46.668030 N"," 92.103740 W"
"SUWS012824","46.668030 N"," 92.103740 W"
"SUWS012826","46.654970 N"," 92.104420 W"
"SUWS012827","46.654970 N"," 92.104420 W"
"SUWS012828","46.654970 N"," 92.104420 W"
"SUWS012834","46.308660 N"," 91.204500 W"
"SUWS012835","46.535290 N"," 91.582110 W"
"SUWS012851","46.342280 N"," 91.349010 W"
"SUWS012867","46.629140 N"," 92.067630 W"
"SUWS012871","46.489860 N"," 92.184140 W"
"SUWS012872","44.761150 N"," 92.487410 W"
"SUWS012875","46.304400 N"," 91.210890 W"
"SUWS012891","46.342270 N"," 91.390950 W"
"SUWS012893","43.402490 N"," 90.556600 W"
"SUWS012894","46.340420 N"," 91.371890 W"
"SUWS012899","46.337150 N"," 91.498410 W"
"SUWS012906","46.491330 N"," 92.220750 W"
"SUWS012907","46.732160 N"," 92.066300 W"
"SUWS012908","46.712310 N"," 92.091360 W"
"SUWS012913","46.673110 N"," 91.972140 W"
"SUWS012914","46.153660 N"," 91.329550 W"
"SUWS012924","44.858880 N"," 87.490100 W"
"SUWS013044","46.673110 N"," 91.972140 W"
"SUWS013074","45.779220 N"," 92.682700 W"
"SUWS013075","45.779220 N"," 92.682700 W"
"SUWS013077","45.779220 N"," 92.682700 W"
"SUWS013089","45.779220 N"," 92.682700 W"
"SUWS013111","46.681220 N"," 92.066310 W"
"SUWS013115","46.681220 N"," 92.066310 W"
"SUWS013119","46.681220 N"," 92.066310 W"
"SUWS013121","46.681220 N"," 92.066310 W"
"SUWS013122","46.681220 N"," 92.066310 W"
"SUWS013140","46.675450 N"," 92.148710 W"
"SUWS013142","46.675450 N"," 92.148710 W"
"SUWS013146","46.675450 N"," 92.148710 W"
"SUWS013148","46.681220 N"," 92.066310 W"
"SUWS013548","45.720480 N"," 89.510920 W"
"SUWS013552","46.718860 N"," 92.098390 W"
"SUWS013553","46.718860 N"," 92.098390 W"
"SUWS013555","46.719960 N"," 92.098390 W"
"SUWS013559","46.718860 N"," 92.098390 W"
"SUWS013563","46.718860 N"," 92.098390 W"
"SUWS013566","46.718860 N"," 92.098390 W"
"SUWS013572","46.718860 N"," 92.098390 W"
"SUWS013574","46.718860 N"," 92.098390 W"
"SUWS013579","45.848610 N"," 92.642880 W"
"SUWS013584","46.719960 N"," 92.098390 W"
"SUWS013745","46.675450 N"," 92.148710 W"
"SUWS013746","46.675450 N"," 92.148710 W"
"SUWS013747","46.673110 N"," 91.972140 W"
"SUWS013749","46.673110 N"," 91.972140 W"
"SUWS013752","46.673110 N"," 91.972140 W"
"SUWS013753","46.673110 N"," 91.972140 W"
"SUWS013754","46.673110 N"," 91.972140 W"
"SUWS013755","46.681220 N"," 92.066310 W"
"SUWS013758","46.675450 N"," 92.148710 W"
"SUWS013759","46.681220 N"," 92.066310 W"
"SUWS013760","46.673110 N"," 91.972140 W"
"SUWS013761","46.673110 N"," 91.972140 W"
"SUWS013762","46.673110 N"," 91.972140 W"
"SUWS013765","46.673110 N"," 91.972140 W"
"SUWS013767","46.673110 N"," 91.972140 W"
"SUWS013768","46.675450 N"," 92.148710 W"
"SUWS013769","46.673110 N"," 91.972140 W"
"SUWS013859","46.673110 N"," 91.972140 W"
"SUWS013875","46.681220 N"," 92.066310 W"
"SUWS013893","46.681220 N"," 92.066310 W"
"SUWS013896","46.681220 N"," 92.066310 W"
"SUWS013897","46.673110 N"," 91.972140 W"
"SUWS013898","46.673110 N"," 91.972140 W"
"SUWS013929","46.558370 N"," 91.699910 W"
"SUWS013940","46.457800 N"," 92.213690 W"
"SUWS013942","46.457800 N"," 92.213690 W"
"SUWS013943","46.681220 N"," 92.066310 W"
"SUWS013949","46.681220 N"," 92.066310 W"
"SUWS013950","46.828150 N"," 90.666940 W"
"SUWS013951","46.673110 N"," 91.972140 W"
"SUWS013959","46.558370 N"," 91.699910 W"
"SUWS013961","46.543900 N"," 91.699910 W"
"SUWS013963","46.553000 N"," 91.576580 W"
"SUWS013965","46.673110 N"," 91.972140 W"
"SUWS013970","46.717840 N"," 92.087860 W"
"SUWS013971A","46.136740 N"," 92.080160 W"
"SUWS013972b","46.718000 N"," 92.055750 W"
"SUWS013989","46.718550 N"," 92.145470 W"
"SUWS013996","46.691110 N"," 91.917310 W"
"SUWS014002","46.476400 N"," 91.758390 W"
"SUWS014003","46.460330 N"," 91.759030 W"
"SUWS014005","46.477580 N"," 91.736330 W"
"SUWS014006","46.438130 N"," 91.738060 W"
"SUWS014008","46.553000 N"," 91.597630 W"
"SUWS014009","46.580220 N"," 91.668800 W"
"SUWS014013","46.587850 N"," 91.720740 W"
"SUWS014014","46.587850 N"," 91.720740 W"
"SUWS014015","46.717840 N"," 92.087860 W"
"SUWS014018","46.593920 N"," 92.119510 W"
"SUWS014021","46.718000 N"," 92.055750 W"
"SUWS014074","43.729410 N"," 91.225410 W"
"SUWS014075","43.820450 N"," 91.232200 W"
"SUWS014106","46.489860 N"," 92.184140 W"
"SUWS014107","46.938270 N"," 90.652960 W"
"SUWS014130","43.733270 N"," 90.976860 W"
"SUWS014134","44.142380 N"," 91.451260 W"
"SUWS014137","43.756980 N"," 90.949540 W"
"SUWS014141","43.975910 N"," 90.752070 W"
"SUWS014190","45.328610 N"," 91.651000 W"
"SUWS014195","46.435300 N"," 91.672620 W"
"SUWS014198","46.500650 N"," 92.286240 W"
"SUWS014207","46.681220 N"," 92.066310 W"
"SUWS014211","46.718550 N"," 92.145470 W"
"SUWS014215","46.739200 N"," 92.088860 W"
"SUWS014219","46.477750 N"," 92.061050 W"
"SUWS014226","46.491330 N"," 92.220750 W"
"SUWS014233","43.817890 N"," 91.262170 W"
"SUWS014235","46.489860 N"," 92.184140 W"
"SUWS014238","46.581100 N"," 91.721030 W"
"SUWS014239","46.420980 N"," 91.260370 W"
"SUWS014240","46.489860 N"," 92.184140 W"
"SUWS014245","46.456690 N"," 91.983970 W"
"SUWS014246","45.934220 N"," 92.361690 W"
"SUWS014252","46.300070 N"," 91.322400 W"
"SUWS014253","44.976130 N"," 92.680350 W"
"SUWS014256","46.334520 N"," 91.284770 W"
"SUWS014257","46.341800 N"," 91.347660 W"
"SUWS014258","46.654970 N"," 92.104420 W"
"SUWS014283","46.307820 N"," 91.322890 W"
"SUWS014284","46.323180 N"," 91.322400 W"
"SUWS014285","46.343890 N"," 91.213380 W"
"SUWS014288","46.342280 N"," 91.349010 W"
"SUWS014292","46.342280 N"," 91.349010 W"
"SUWS014296","45.125470 N"," 92.671950 W"
"SUWS014303","46.676880 N"," 91.679080 W"
"SUWS014309","46.632060 N"," 92.069320 W"
"SUWS014310","46.673110 N"," 91.972140 W"
"SUWS014328","46.208010 N"," 91.292130 W"
"SUWS014329","46.343930 N"," 91.261140 W"
"SUWS014330","46.478140 N"," 90.988250 W"
"SUWS014331","45.967410 N"," 92.363490 W"
"SUWS014334","44.678310 N"," 91.104040 W"
"SUWS014335","46.344760 N"," 91.226660 W"
"SUWS014336","46.342280 N"," 91.349010 W"
"SUWS014338","44.976130 N"," 92.680350 W"
"SUWS014340","46.342280 N"," 91.369980 W"
"SUWS014341","46.316680 N"," 91.322910 W"
"SUWS014344","42.512240 N"," 87.809240 W"
"SUWS014348","46.654970 N"," 92.104420 W"
"SUWS014349","46.673110 N"," 91.972140 W"
"SUWS014362","46.343930 N"," 91.261140 W"
"SUWS014363","45.328610 N"," 91.651000 W"
"SUWS014364","46.543220 N"," 92.046350 W"
"SUWS014368","45.948700 N"," 92.371310 W"
"SUWS014372","46.552950 N"," 91.681840 W"
"SUWS014379","43.164980 N"," 90.135720 W"
"SUWS014386","43.905740 N"," 90.943160 W"
"SUWS014389","46.600170 N"," 91.344220 W"
"SUWS014393","46.491330 N"," 92.199720 W"
"SUWS014397","46.543220 N"," 92.046350 W"
"SUWS014402","46.208010 N"," 91.292130 W"
"SUWS014403","46.732160 N"," 92.066300 W"
"SUWS014429","45.334580 N"," 92.687250 W"
"SUWS014432","46.694720 N"," 91.992650 W"
"SUWS014433","46.717840 N"," 92.087860 W"
"SUWS014434","46.717840 N"," 92.087860 W"
"SUWS014436","46.681220 N"," 92.066310 W"
"SUWS014437","46.709360 N"," 92.103990 W"
"SUWS014452","46.673110 N"," 91.972140 W"
"SUWS014455","46.712310 N"," 92.091360 W"
"SUWS014456","46.632060 N"," 92.069320 W"
"SUWS014491","46.681220 N"," 92.066310 W"
"SUWS014492","46.711890 N"," 92.143250 W"
"SUWS014494","46.711890 N"," 92.143250 W"
"SUWS014502","46.711890 N"," 92.143250 W"
"SUWS014503","46.711890 N"," 92.143250 W"
"SUWS014505","46.681220 N"," 92.066310 W"
"SUWS014524","46.675450 N"," 92.148710 W"
"SUWS014526","46.464110 N"," 91.899400 W"
"SUWS014546","46.711890 N"," 92.143250 W"
"SUWS014564","46.681220 N"," 92.066310 W"
"SUWS014569","46.711890 N"," 92.143250 W"
"SUWS014570","46.681220 N"," 92.066310 W"
"SUWS014571","46.711890 N"," 92.143250 W"
"SUWS014572","46.681220 N"," 92.066310 W"
"SUWS014575","46.464110 N"," 91.899400 W"
"SUWS014588","46.464110 N"," 91.899400 W"
"SUWS014589","46.681220 N"," 92.066310 W"
"SUWS014670","46.681220 N"," 92.066310 W"
"SUWS014674","46.711890 N"," 92.143250 W"
"SUWS014735","46.681220 N"," 92.066310 W"
"SUWS014808","46.592440 N"," 90.883800 W"
"SUWS014809","46.592440 N"," 90.883800 W"
"SUWS014823","46.681220 N"," 92.066310 W"
"SUWS014833","46.711890 N"," 92.143250 W"
"SUWS014841","46.711890 N"," 92.143250 W"
"SUWS014989","46.673110 N"," 91.972140 W"
"SUWS014991","46.592440 N"," 90.883800 W"
"SUWS015000","46.681220 N"," 92.066310 W"
"SUWS015001","46.336890 N"," 91.257970 W"
"SUWS015004","46.560730 N"," 91.708380 W"
"SUWS015005","46.315020 N"," 91.323170 W"
"SUWS015014","46.261800 N"," 91.303370 W"
"SUWS015016","46.607550 N"," 91.899270 W"
"SUWS015017","46.301500 N"," 91.349010 W"
"SUWS015019","46.517380 N"," 91.604200 W"
"SUWS015024","46.342480 N"," 91.325700 W"
"SUWS015025","46.708010 N"," 92.104080 W"
"SUWS015029","46.323180 N"," 91.322400 W"
"SUWS015035","46.300070 N"," 91.322400 W"
"SUWS015048","46.732160 N"," 92.066300 W"
"SUWS015053","46.543220 N"," 92.046350 W"
"SUWS015074","46.583830 N"," 91.799080 W"
"SUWS015185","46.336890 N"," 91.278410 W"
"SUWS015197","46.385360 N"," 91.336900 W"
"SUWS015199","46.385950 N"," 91.336990 W"
"SUWS015215","45.934220 N"," 92.361690 W"
"SUWS015216","46.456690 N"," 91.983970 W"
"SUWS015220","46.561170 N"," 91.398390 W"
"SUWS015224","46.552950 N"," 91.681840 W"
"SUWS015227","46.686870 N"," 92.149400 W"
"SUWS015234","46.444910 N"," 91.619580 W"
"SUWS015239","46.913040 N"," 90.668670 W"
"SUWS015247","46.491330 N"," 92.220750 W"
"SUWS015253","46.403700 N"," 91.317130 W"
"SUWS015254","45.125470 N"," 92.671950 W"
"SUWS015255","45.125470 N"," 92.671950 W"
"SUWS015259","45.766880 N"," 92.384590 W"
"SUWS015265","46.341800 N"," 91.347660 W"
"SUWS015278","46.051670 N"," 92.302640 W"
"SUWS015279","46.295540 N"," 91.521410 W"
"SUWS015281","46.325510 N"," 90.661020 W"
"SUWS015285","46.314760 N"," 91.232260 W"
"SUWS015286","46.553000 N"," 91.576580 W"
"SUWS015290","46.235550 N"," 91.257970 W"
"SUWS015293","46.301500 N"," 91.349010 W"
"SUWS015302","46.396710 N"," 91.822410 W"
"SUWS015314","46.254130 N"," 91.798520 W"
"SUWS015315","45.125470 N"," 92.671950 W"
"SUWS015317","46.254130 N"," 91.798520 W"
"SUWS015318","46.718860 N"," 92.098390 W"
"SUWS015322","46.654970 N"," 92.104420 W"
"SUWS015323","46.543220 N"," 92.046350 W"
"SUWS015333","44.761150 N"," 92.487410 W"
"SUWS015340","46.682110 N"," 92.150820 W"
"SUWS015341","46.682110 N"," 92.150820 W"
"SUWS015343","46.654970 N"," 92.104420 W"
"SUWS015347","46.718860 N"," 92.098390 W"
"SUWS015367","46.321800 N"," 91.378670 W"
