"catalogNumber","N_latitude","W_longitude"
"SUWS010626","46.681220 N"," 92.066310 W"
"SUWS010630","46.691110 N"," 91.917310 W"
"SUWS010632","46.681220 N"," 92.066310 W"
"SUWS010633","46.691110 N"," 91.917310 W"
"SUWS010634","46.629640 N"," 91.657810 W"
"SUWS010642","45.921070 N"," 89.673670 W"
"SUWS010644","46.684480 N"," 92.149590 W"
"SUWS010648","46.675450 N"," 92.148710 W"
"SUWS010652","46.545640 N"," 92.046570 W"
"SUWS010658","46.180850 N"," 91.699300 W"
"SUWS010669","46.681220 N"," 92.066310 W"
"SUWS010670","45.921070 N"," 89.673670 W"
"SUWS010671","46.681220 N"," 92.066310 W"
"SUWS010674","46.681220 N"," 92.066310 W"
"SUWS010684","46.681220 N"," 92.066310 W"
"SUWS010685","46.681220 N"," 92.066310 W"
"SUWS010688","46.681220 N"," 92.066310 W"
"SUWS010689","46.694720 N"," 91.992650 W"
"SUWS010690","46.633090 N"," 91.720740 W"
"SUWS010708","46.496960 N"," 92.259050 W"
"SUWS010709","46.496960 N"," 92.259050 W"
"SUWS010714","46.496960 N"," 92.259050 W"
"SUWS010715","46.496960 N"," 92.259050 W"
"SUWS010719","46.353270 N"," 91.822410 W"
"SUWS010720","46.342280 N"," 91.349010 W"
"SUWS010721","46.342280 N"," 91.349010 W"
"SUWS010723","46.342280 N"," 91.349010 W"
"SUWS010725","46.392200 N"," 91.286490 W"
"SUWS010726","45.934220 N"," 92.361690 W"
"SUWS010736","46.553000 N"," 91.576580 W"
"SUWS010737","46.654970 N"," 92.104420 W"
"SUWS010740","46.654970 N"," 92.104420 W"
"SUWS010744","46.654970 N"," 92.104420 W"
"SUWS010749","46.342280 N"," 91.349010 W"
"SUWS010751","46.342280 N"," 91.349010 W"
"SUWS010753","46.681220 N"," 92.066310 W"
"SUWS010754","46.342280 N"," 91.364740 W"
"SUWS010755","46.342280 N"," 91.349010 W"
"SUWS010756","46.330380 N"," 91.265010 W"
"SUWS010758","46.342280 N"," 91.349010 W"
"SUWS010759","46.342280 N"," 91.328030 W"
"SUWS010760","46.342280 N"," 91.349010 W"
"SUWS010761","46.342280 N"," 91.349010 W"
"SUWS010762","46.342280 N"," 91.349010 W"
"SUWS010763","43.667240 N"," 90.223460 W"
"SUWS010764","46.342280 N"," 91.349010 W"
"SUWS010767","46.489860 N"," 92.184140 W"
"SUWS010773","46.674920 N"," 91.834060 W"
"SUWS010779","46.343830 N"," 91.214670 W"
"SUWS010780","46.342280 N"," 91.349010 W"
"SUWS010781","46.342280 N"," 91.349010 W"
"SUWS010782","46.336890 N"," 91.257970 W"
"SUWS010784","45.967410 N"," 92.363490 W"
"SUWS010785","46.342280 N"," 91.349010 W"
"SUWS010786","46.342280 N"," 91.349010 W"
"SUWS010789","46.342280 N"," 91.349010 W"
"SUWS010790","46.414670 N"," 91.349010 W"
"SUWS010792","46.342280 N"," 91.349010 W"
"SUWS010793","46.283480 N"," 91.322480 W"
"SUWS010795","46.654970 N"," 92.104420 W"
"SUWS010796","44.506920 N"," 92.174390 W"
"SUWS010797","43.667240 N"," 90.223460 W"
"SUWS010798","44.506920 N"," 92.174390 W"
"SUWS010800","46.478830 N"," 91.602970 W"
"SUWS010801","46.732160 N"," 92.066300 W"
"SUWS010805","44.835250 N"," 88.046770 W"
"SUWS010809","46.580220 N"," 91.668800 W"
"SUWS010817","46.363170 N"," 91.374240 W"
"SUWS010824","44.976130 N"," 92.680350 W"
"SUWS010829","45.944470 N"," 89.653240 W"
"SUWS010830","46.342280 N"," 91.349010 W"
"SUWS010832","46.342280 N"," 91.349010 W"
"SUWS010833","46.342280 N"," 91.349010 W"
"SUWS010838","46.478140 N"," 90.988250 W"
"SUWS010843","46.724590 N"," 92.091960 W"
"SUWS010844","46.307820 N"," 91.322890 W"
"SUWS010847","46.307820 N"," 91.322890 W"
"SUWS010849","46.717840 N"," 92.087860 W"
"SUWS010855","46.675450 N"," 92.148710 W"
"SUWS010856","46.342280 N"," 91.349010 W"
"SUWS010859","46.478140 N"," 90.988250 W"
"SUWS010860","46.478140 N"," 90.988250 W"
"SUWS010862","46.654970 N"," 92.104420 W"
"SUWS010863","46.342280 N"," 91.349010 W"
"SUWS010864","46.478140 N"," 90.988250 W"
"SUWS010868","44.835250 N"," 88.046770 W"
"SUWS010869","46.365850 N"," 91.257970 W"
"SUWS010873","46.496960 N"," 92.259050 W"
"SUWS010875","46.553000 N"," 91.576580 W"
"SUWS010876","46.342280 N"," 91.349010 W"
"SUWS010878","46.435300 N"," 91.672620 W"
"SUWS010887","46.553000 N"," 91.576580 W"
"SUWS010889","46.588200 N"," 92.125770 W"
"SUWS010900","43.402490 N"," 90.556600 W"
"SUWS010910","46.681220 N"," 92.066310 W"
"SUWS010913","46.681220 N"," 92.066310 W"
"SUWS010914","43.812790 N"," 91.231810 W"
"SUWS010915","46.342280 N"," 91.349010 W"
"SUWS010916","46.342280 N"," 91.349010 W"
"SUWS010919","46.681220 N"," 92.066310 W"
"SUWS010920","46.681220 N"," 92.066310 W"
"SUWS010924","43.774910 N"," 91.158310 W"
"SUWS010926","46.716990 N"," 92.099490 W"
"SUWS010927","46.580220 N"," 91.668800 W"
"SUWS010929","43.693450 N"," 91.241800 W"
"SUWS010938","46.853820 N"," 91.101850 W"
"SUWS010939","42.828900 N"," 89.021500 W"
"SUWS010944","42.831010 N"," 89.009230 W"
"SUWS010945","42.831010 N"," 89.009230 W"
"SUWS010946","46.681220 N"," 92.066310 W"
"SUWS010948","46.180850 N"," 91.699300 W"
"SUWS010952","46.337840 N"," 91.290930 W"
"SUWS010955","46.732160 N"," 92.066300 W"
"SUWS010957","46.681220 N"," 92.066310 W"
"SUWS010962","46.681220 N"," 92.066310 W"
"SUWS010963","46.681220 N"," 92.066310 W"
"SUWS010965","46.589660 N"," 91.720740 W"
"SUWS010968","46.593950 N"," 92.085380 W"
"SUWS010971","46.681220 N"," 92.066310 W"
"SUWS010972","46.342280 N"," 91.349010 W"
"SUWS010973","46.342280 N"," 91.349010 W"
"SUWS010977","46.342280 N"," 91.349010 W"
"SUWS010978","45.314130 N"," 91.651000 W"
"SUWS010979","46.711890 N"," 92.143250 W"
"SUWS010980","45.766880 N"," 92.384590 W"
"SUWS010981","46.681220 N"," 92.066310 W"
"SUWS010994","46.342280 N"," 91.349010 W"
"SUWS010995","46.589660 N"," 91.720740 W"
"SUWS010997","46.681220 N"," 92.066310 W"
"SUWS010998","46.681220 N"," 92.066310 W"
"SUWS010999","46.342280 N"," 91.349010 W"
"SUWS011000","46.342280 N"," 91.349010 W"
"SUWS011001","46.589660 N"," 91.720740 W"
"SUWS011005","46.681220 N"," 92.066310 W"
"SUWS011008","46.681220 N"," 92.066310 W"
"SUWS011021","46.580500 N"," 90.874350 W"
"SUWS011023","46.684480 N"," 92.149590 W"
"SUWS011024","46.674920 N"," 91.834060 W"
"SUWS011026","46.681220 N"," 92.066310 W"
"SUWS011031","46.580500 N"," 90.874350 W"
"SUWS011032","46.580500 N"," 90.874350 W"
"SUWS011033","46.694720 N"," 91.992650 W"
"SUWS011034","46.732160 N"," 92.066300 W"
"SUWS011041","46.681220 N"," 92.066310 W"
"SUWS011047","46.342280 N"," 91.349010 W"
"SUWS011048","46.342280 N"," 91.349010 W"
