"catalogNumber","t_num","t_dir","r_num","r_dir"
"SUWS010758",45,"N",8,"W"
"SUWS010759",45,"N",8,"W"
"SUWS010760",45,"N",8,"W"
"SUWS010761",45,"N",8,"W"
"SUWS010762",45,"N",8,"W"
"SUWS010763",14,"N",2,"E"
"SUWS010764",45,"N",8,"W"
"SUWS010767",46,"N",15,"W"
"SUWS010773",48,"N",12,"W"
"SUWS010779",45,"N",7,"W"
"SUWS010780",45,"N",8,"W"
"SUWS010781",45,"N",8,"W"
"SUWS010782",45,"N",7,"W"
"SUWS010784",40,"N",16,"W"
"SUWS010785",45,"N",8,"W"
"SUWS010786",45,"N",8,"W"
"SUWS010789",45,"N",8,"W"
"SUWS010790",45,"N",8,"W"
"SUWS010792",45,"N",8,"W"
"SUWS010793",44,"N",8,"W"
"SUWS010795",48,"N",14,"W"
"SUWS010796",23,"N",15,"W"
"SUWS010797",14,"N",2,"E"
"SUWS010798",23,"N",15,"W"
"SUWS010800",46,"N",10,"W"
"SUWS010801",49,"N",14,"W"
"SUWS010805",27,"N",20,"E"
"SUWS010809",47,"N",10,"W"
"SUWS010817",45,"N",8,"W"
"SUWS010824",29,"N",19,"W"
"SUWS010829",40,"N",7,"E"
"SUWS010830",45,"N",8,"W"
"SUWS010832",45,"N",8,"W"
"SUWS010833",45,"N",8,"W"
"SUWS010838",46,"N",5,"W"
"SUWS010843",49,"N",14,"W"
"SUWS010844",44,"N",8,"W"
"SUWS010847",44,"N",8,"W"
"SUWS010849",49,"N",14,"W"
"SUWS010855",48,"N",14,"W"
"SUWS010856",45,"N",8,"W"
"SUWS010859",46,"N",5,"W"
"SUWS010860",46,"N",5,"W"
"SUWS010862",48,"N",14,"W"
"SUWS010863",45,"N",8,"W"
"SUWS010864",46,"N",5,"W"
"SUWS010868",27,"N",20,"E"
"SUWS010869",45,"N",7,"W"
"SUWS010873",46,"N",15,"W"
"SUWS010875",47,"N",10,"W"
"SUWS010876",45,"N",8,"W"
"SUWS010878",46,"N",10,"W"
"SUWS010887",47,"N",10,"W"
"SUWS010889",47,"N",14,"W"
"SUWS010900",11,"N",2,"W"
"SUWS010910",49,"N",14,"W"
"SUWS010913",49,"N",14,"W"
"SUWS010914",16,"N",7,"W"
"SUWS010915",45,"N",8,"W"
"SUWS010916",45,"N",8,"W"
"SUWS010919",49,"N",14,"W"
"SUWS010920",49,"N",14,"W"
"SUWS010924",15,"N",7,"W"
"SUWS010926",49,"N",14,"W"
"SUWS010927",47,"N",10,"W"
"SUWS010929",14,"N",7,"W"
"SUWS010938",51,"N",6,"W"
"SUWS010939",4,"N",12,"E"
"SUWS010944",4,"N",13,"E"
"SUWS010945",4,"N",13,"E"
"SUWS010946",49,"N",14,"W"
"SUWS010948",43,"N",11,"W"
"SUWS010952",45,"N",7,"W"
"SUWS010955",49,"N",14,"W"
"SUWS010957",49,"N",14,"W"
"SUWS010962",49,"N",14,"W"
"SUWS010963",49,"N",14,"W"
"SUWS010965",47,"N",11,"W"
"SUWS010968",48,"N",14,"W"
"SUWS010971",49,"N",14,"W"
"SUWS010972",45,"N",8,"W"
"SUWS010973",45,"N",8,"W"
"SUWS010977",45,"N",8,"W"
"SUWS010978",33,"N",10,"W"
"SUWS010979",49,"N",14,"W"
"SUWS010980",38,"N",16,"W"
"SUWS010981",49,"N",14,"W"
"SUWS010994",45,"N",8,"W"
"SUWS010995",47,"N",11,"W"
"SUWS010997",49,"N",14,"W"
"SUWS010998",49,"N",14,"W"
"SUWS010999",45,"N",8,"W"
"SUWS011000",45,"N",8,"W"
"SUWS011001",47,"N",11,"W"
"SUWS011005",49,"N",14,"W"
"SUWS011008",49,"N",14,"W"
"SUWS011021",47,"N",4,"W"
"SUWS011023",49,"N",14,"W"
"SUWS011024",48,"N",12,"W"
"SUWS011026",49,"N",14,"W"
"SUWS011031",47,"N",4,"W"
"SUWS011032",47,"N",4,"W"
"SUWS011033",49,"N",13,"W"
"SUWS011034",49,"N",14,"W"
"SUWS011041",49,"N",14,"W"
"SUWS011047",45,"N",8,"W"
"SUWS011048",45,"N",8,"W"
"SUWS011061",49,"N",14,"W"
"SUWS011062",49,"N",14,"W"
"SUWS011069",47,"N",11,"W"
"SUWS011070",45,"N",8,"W"
"SUWS011071",45,"N",8,"W"
"SUWS011072",45,"N",8,"W"
"SUWS011076",45,"N",8,"W"
"SUWS011078",45,"N",8,"W"
"SUWS011083",45,"N",8,"W"
"SUWS011084",45,"N",8,"W"
"SUWS011090",45,"N",8,"W"
"SUWS011091",45,"N",8,"W"
"SUWS011092",45,"N",8,"W"
"SUWS011104",26,"N",17,"W"
"SUWS011105",14,"N",2,"E"
"SUWS011112",49,"N",14,"W"
"SUWS011113",45,"N",8,"W"
"SUWS011115",45,"N",8,"W"
"SUWS011117",49,"N",14,"W"
"SUWS011118",46,"N",15,"W"
"SUWS011120",45,"N",12,"W"
"SUWS011121",49,"N",14,"W"
"SUWS011122",49,"N",14,"W"
"SUWS011123",45,"N",8,"W"
"SUWS011124",45,"N",8,"W"
"SUWS011125",45,"N",8,"W"
"SUWS011126",45,"N",8,"W"
"SUWS011128",45,"N",8,"W"
"SUWS011130",41,"N",15,"W"
"SUWS011132",49,"N",14,"W"
"SUWS011138",4,"N",12,"E"
"SUWS011148",49,"N",14,"W"
"SUWS011151",49,"N",14,"W"
"SUWS011152",4,"N",12,"E"
"SUWS011154",46,"N",15,"W"
"SUWS011161",49,"N",14,"W"
"SUWS011162",49,"N",14,"W"
"SUWS011173",45,"N",8,"W"
"SUWS011177",45,"N",8,"W"
"SUWS011181",45,"N",8,"W"
"SUWS011183",45,"N",6,"W"
"SUWS011187",44,"N",9,"W"
"SUWS011195",38,"N",16,"W"
"SUWS011198",43,"N",7,"W"
"SUWS011199",45,"N",8,"W"
"SUWS011201",45,"N",8,"W"
"SUWS011202",45,"N",8,"W"
"SUWS011214",50,"N",2,"W"
"SUWS011218",16,"N",3,"E"
"SUWS011221",49,"N",14,"W"
"SUWS011224",49,"N",14,"W"
"SUWS011225",37,"N",1,"E"
"SUWS011229",43,"N",7,"W"
"SUWS011238",49,"N",14,"W"
"SUWS011239",45,"N",8,"W"
"SUWS011241",48,"N",14,"W"
"SUWS011242",45,"N",8,"W"
"SUWS011243",45,"N",8,"W"
"SUWS011245",47,"N",10,"W"
"SUWS011247",49,"N",14,"W"
"SUWS011248",49,"N",14,"W"
"SUWS011255",49,"N",14,"W"
"SUWS011257",46,"N",10,"W"
"SUWS011259",47,"N",10,"W"
"SUWS011263",45,"N",8,"W"
"SUWS011264",45,"N",8,"W"
"SUWS011265",45,"N",8,"W"
"SUWS011266",45,"N",8,"W"
"SUWS011267",45,"N",8,"W"
"SUWS011269",45,"N",8,"W"
"SUWS011271",45,"N",8,"W"
"SUWS011273",45,"N",8,"W"
"SUWS011277",49,"N",14,"W"
"SUWS011281",49,"N",14,"W"
"SUWS011283",16,"N",7,"W"
"SUWS011291",45,"N",8,"W"
"SUWS011292",44,"N",7,"W"
"SUWS011294",45,"N",8,"W"
"SUWS011296",45,"N",8,"W"
"SUWS011297",49,"N",14,"W"
"SUWS011300",49,"N",14,"W"
"SUWS011301",49,"N",14,"W"
"SUWS011302",46,"N",15,"W"
"SUWS011304",46,"N",15,"W"
"SUWS011307",49,"N",14,"W"
"SUWS011316",45,"N",8,"W"
"SUWS011317",45,"N",8,"W"
"SUWS011319",46,"N",15,"W"
"SUWS011323",47,"N",11,"W"
"SUWS011324",45,"N",8,"W"
"SUWS011325",45,"N",8,"W"
"SUWS011328",46,"N",15,"W"
"SUWS011332",45,"N",7,"W"
"SUWS011333",45,"N",7,"W"
"SUWS011335",49,"N",14,"W"
"SUWS011336",45,"N",6,"W"
"SUWS011337",49,"N",14,"W"
"SUWS011342",49,"N",14,"W"
"SUWS011349",45,"N",8,"W"
"SUWS011351",45,"N",8,"W"
"SUWS011352",49,"N",11,"W"
"SUWS011361",49,"N",14,"W"
"SUWS011363",46,"N",2,"E"
"SUWS011364",47,"N",10,"W"
"SUWS011366",45,"N",8,"W"
"SUWS011367",45,"N",8,"W"
"SUWS011368",45,"N",8,"W"
"SUWS011380",49,"N",14,"W"
"SUWS011385",46,"N",15,"W"
"SUWS011386",48,"N",14,"W"
"SUWS011387",48,"N",14,"W"
"SUWS011388",46,"N",15,"W"
"SUWS011389",46,"N",15,"W"
"SUWS011391",45,"N",12,"W"
"SUWS011393",48,"N",14,"W"
"SUWS011400",47,"N",10,"W"
"SUWS011401",48,"N",14,"W"
"SUWS011410",40,"N",16,"W"
"SUWS011411",40,"N",16,"W"
"SUWS011414",46,"N",10,"W"
"SUWS011415",46,"N",15,"W"
"SUWS011420",49,"N",14,"W"
"SUWS011420b",49,"N",14,"W"
"SUWS011421",46,"N",15,"W"
"SUWS011423",46,"N",15,"W"
"SUWS011424",45,"N",7,"W"
"SUWS011425",42,"N",14,"W"
"SUWS011426",48,"N",14,"W"
"SUWS011428",48,"N",14,"W"
