"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","dynamicProperties","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation"
"SUWS017540","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","","","Anderson, Derek S.","450","2006-07-21",2006,7,21,202,"","","Drier portions of the boreal forest.","","","Douglas","Amnicon Falls State Park",46.60952499,-91.89074577,14930,NA,"T48N R12W sec29","","","",NA,""
"SUWS017541","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","","","Anderson, Derek S.","133","2006-08-02",2006,8,2,214,"","","Boreal forest.","","","Douglas","Amnicon Falls State Park - Snake Pit Falls",46.61311219,-91.89072903,14905,NA,"T48N R12W sec29","","","",NA,""
"SUWS017543","Equisetopsida","Ericales","Ericaceae","Vaccinium angustifolium",5317,"Aiton","Vaccinium","angustifolium","","","","","Anderson, Derek S.","452","2006-07-07",2006,7,7,188,"","","Dry ridge top overlooking river.","","","Douglas","Amnicon Falls State Park - Nature Trail. Ridge overlooking Amnicon River",46.60950676,-91.89616177,14960,NA,"T48N R12W sec29","","","",NA,""
"SUWS017546","Equisetopsida","Ericales","Ericaceae","Vaccinium myrtilloides",5322,"Michx.","Vaccinium","myrtilloides","","","","","Anderson, Derek S.","235","2006-08-30",2006,8,30,242,"","","40-60 year old aspen forest in open sunny area.","","","Douglas","Amnicon Falls State Park",46.62762726,-91.90132847,14962,NA,"T48N R12W sec20","","","",NA,""
"SUWS017548","Equisetopsida","Ericales","Ericaceae","Chimaphila umbellata subsp. umbellata",12911,"(L.) W.P.C.Barton","Chimaphila","umbellata","umbellata","subsp.","Hlina, Paul","2006-08-11","Davidson, Donald W.","487","2006-08-11",2006,8,11,223,"","","Pine (xeric) forest.","","","Douglas","Amnicon Falls State Park - Upper Falls",46.60952499,-91.89074577,14963,NA,"T48N R12W sec29","","","",NA,""
"SUWS017550","Equisetopsida","Ericales","Ericaceae","Pyrola asarifolia subsp. asarifolia",6821,"","Pyrola","asarifolia","asarifolia","subsp.","Hlina, Paul","2006-09-19","Davidson, Donald W.","196","2006-09-19",2006,9,19,262,"","","Boreal forest.","","","Douglas","Amnicon Falls State Park - upper falls",46.61311219,-91.89072903,14928,NA,"T48N R12W sec29","","","",NA,""
"SUWS017551","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","","","Davidson, Donald W.","105","2006-06-30",2006,6,30,181,"","","Pine (xeric) forest.","","","Douglas","Amnicon Falls State Park - Plot 2",46.60592555,-91.89085675,14895,NA,"T48N R12W sec29","","","",NA,""
"SUWS017552","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","Hlina, Paul","2006-06-30","Davidson, Donald W.","420","2006-07-09",2006,7,9,190,"","","Dry woods.","","","Douglas","Amnicon Falls State Park - nature trail",46.60950676,-91.89616177,14894,NA,"T48N R12W sec29","","","",NA,""
"SUWS017554","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","","","Anderson, Derek S.","365","2006-07-20",2006,7,20,201,"","","Moist heavier soils in sun on river bank in a mixed hardwood/boreal forest.","","","Douglas","Amnicon Falls State Park",46.61308618,-91.90139071,14893,NA,"T48N R12W sec29","","","",NA,""
"SUWS017543","Equisetopsida","Ericales","Ericaceae","Vaccinium angustifolium",5317,"Aiton","Vaccinium","angustifolium","","","Hlina, Paul","2006-07-07","Bergman, Nils","452","2006-07-07",2006,7,7,188,"","","Dry ridge top overlooking river.","","","Douglas","Amnicon Falls State Park; ridgetop overlooking Amnicon River",46.60950676,-91.89616177,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017431","Equisetopsida","Polypodiales","Dryopteridaceae","Cystopteris fragilis",3340,"(L.) Bernh.","Cystopteris","fragilis","","","Hlina, Paul","2006-08-03","Crook, Trista","58","2006-08-03",2006,8,3,215,"","","Growing from sandstone rocks.","","","Douglas","Amnicon Falls State Park; NW of Snake Pit area",46.61308618,-91.90139071,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017430","Equisetopsida","Polypodiales","Dryopteridaceae","Cystopteris fragilis",3340,"(L.) Bernh.","Cystopteris","fragilis","","","Hlina, Paul","2006-08-03","Crook, Trista","59","2006-08-03",2006,8,3,215,"","","Deeply shaded ravine in granite.","","","Douglas","Amnicon Falls State Park; Snake Pit area",46.61308618,-91.90139071,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017450","Equisetopsida","Polypodiales","Dryopteridaceae","Onoclea sensibilis",4358,"L.","Onoclea","sensibilis","","","Hlina, Paul","2007-06-30","Stauff, Janelle","172","2007-06-30",2007,6,30,181,"","","Shore of island.","","","Douglas","Amnicon Falls State Park",46.60949853,-91.90143447,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017410","Equisetopsida","Polypodiales","Dennstaedtiaceae","Pteridium aquilinum var. latiusculum",6819,"(Desv.) Underw. ex A.Heller","Pteridium","aquilinum","latiusculum","var.","Crook, Trista","2007-06-30","Anderson, Derek S.","86","2007-06-30",2007,6,30,181,"","","Xeric pine forest.","","","Douglas","Amnicon Falls State Park; Plot 2",46.60592555,-91.89085675,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017403","Equisetopsida","Equisetales","Equisetaceae","Equisetum fluviatile",3531,"L.","Equisetum","fluviatile","","","Hlina, Paul","2006-09-02","Crook, Trista","536","2006-09-02",2006,9,2,245,"","","Dry river bed.","","","Douglas","Amnicon Falls State Park; bed of Amnicon River",46.62396608,-91.90132923,NA,NA,"T48N R12W sec20","","","",NA,""
"SUWS017451","Equisetopsida","Polypodiales","Dryopteridaceae","Woodsia ilvensis",5437,"(L.) R.Br.","Woodsia","ilvensis","","","Hlina, Paul","2006-08-23","Hlina, Paul","45","2006-08-23",2006,8,23,235,"","","Dry, sunny habitat on top of granite outcropping.","","","Douglas","Amnicon Falls State Park",46.60591485,-91.89619146,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017416","Equisetopsida","Polypodiales","Thelypteridaceae","Phegopteris connectilis",4474,"(Michx.) Watt","Phegopteris","connectilis","","","Hlina, Paul","2006-08-03","Bergman, Nils","150","2006-08-03",2006,8,3,215,"","","Boreal forest growing in moist rock ravine.","","","Douglas","Amnicon Falls State Park",46.61308618,-91.90139071,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017552","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","Hlina, Paul","2006-08-09","Bergman, Nils","420","2006-08-09",2006,8,9,221,"","","Dry woods.","","","Douglas","Amnicon Falls State Park ""Nature Trail"" in place,",46.60950676,-91.89616177,NA,NA,"T48N R12W sec29","","","",NA,""
