"county","collectedBy","num_spec"
"Ashland","Romans",2
"Bayfield","Romans",37
"Buffalo","Romans",1
"Burnett","Romans",30
"Door","Romans",2
"Douglas","Romans",174
"Juneau","Romans",18
"Manitowoc","Romans",6
"Marinette","Romans",2
"Marquette","Romans",4
"Oconto","Romans",2
"Pepin","Romans",4
"Pierce","Romans",5
"Polk","Romans",19
"Sheboygan","Romans",3
"St. Croix","Romans",12
