OBJECTID,TWP,RNG,DIR_ALPHA,Shape_Length,Shape_Area
710,23,12,E,54098.49332,-183079355.2
711,23,12,W,54191.27835,-183676470
712,23,13,E,53956.21988,-181616050.8
713,23,13,W,54175.97424,-183104787.6
714,23,14,E,54199.37506,-183352427.2
715,23,14,W,54006.07366,-182406185.5
716,23,15,E,53784.56241,-180961133.1
717,23,15,W,50014.16956,-155546078.1
718,23,16,E,53723.35951,-180399822.7
719,23,16,W,22229.07151,-26527409.48
720,23,17,E,54172.1811,-183696077.3
721,23,18,E,54160.03193,-182098529.5
722,23,19,E,53870.53698,-182034331.1
723,23,20,E,53997.88822,-182171341.9
724,23,21,E,54368.99231,-184680354.5
725,23,22,E,54383.49995,-185016176.7
726,23,23,E,54243.16086,-183768697.9
727,23,24,E,54374.95609,-184885737.5
728,23,25,E,36077.67125,-50850190.1
729,24,1,E,53879.14042,-181559541.4
730,24,1,W,54328.95586,-184915011.7
731,24,2,E,53100.20125,-175964470.4
732,24,2,W,54391.61863,-185286352
733,24,3,E,53128.02015,-177324383.9
734,24,3,W,54129.1914,-182896249.6
735,24,4,E,52681.6704,-172718074.3
736,24,4,W,54040.87606,-182536068.8
737,24,5,E,53739.36627,-180560456.1
738,24,5,W,54104.22947,-183169955.5
739,24,6,E,53517.65576,-178361387.5
740,24,6,W,54274.39219,-183695332.6
741,24,7,E,53760.87771,-181064842.1
742,24,7,W,54087.30916,-183101767.2
743,24,8,E,53448.42397,-178967488.4
744,24,8,W,54046.15363,-181974612.5
745,24,9,E,59290.64004,-217318743.7
746,24,9,W,54098.77474,-182858761.4
747,24,10,E,54515.82871,-185584405.7
748,24,10,W,54044.08465,-182802196.6
749,24,11,E,54223.53192,-183595321.5
750,24,11,W,54179.07954,-182923016.2
751,24,12,E,54410.25882,-184635201.4
752,24,12,W,54090.52122,-182725037.5
753,24,13,E,54288.70254,-184201569.9
754,24,13,W,54080.91987,-182873906.3
755,24,14,E,54750.99671,-187347635.5
756,24,14,W,54046.25612,-182805562.7
757,24,15,E,54578.21712,-185768449.3
758,24,15,W,54117.44678,-182934847.6
759,24,16,E,55137.81311,-190793025.2
760,24,16,W,51627.66493,-134514724.2
761,24,17,E,54473.23051,-185316866.3
762,24,17,W,39910.45485,-82681004.61
763,24,18,E,53506.65569,-179313595.4
764,24,18,W,27509.13833,31500362.27
765,24,19,E,53121.6839,-175291507
766,24,20,E,54607.19192,-186457812.9
767,24,21,E,54935.8977,-188779545.3
768,24,22,E,54384.29369,-184386533.4
769,24,23,E,54330.18586,-184924582.2
770,24,24,E,54354.84911,-184959119.6
771,24,25,E,45395.86986,-97294432.06
772,25,1,E,53742.58333,-180258623.1
773,25,1,W,54339.79399,-184592494.3
774,25,2,E,53379.32722,-178336219.2
775,25,2,W,54480.95652,-185199391.9
776,25,3,E,53741.12986,-180165637.6
777,25,3,W,54338.69673,-184392762.6
778,25,4,E,53008.0207,-175729481.8
779,25,4,W,54311.9065,-183835785.7
780,25,5,E,53647.04597,-179166407.8
781,25,5,W,54349.52869,-184591057
782,25,6,E,53435.10899,-178745797.1
783,25,6,W,54203.12549,-183957946.3
784,25,7,E,53528.51231,-178970961.1
785,25,7,W,53984.13579,-181566008.1
786,25,8,E,53468.42808,-178233189.1
787,25,8,W,54235.68735,-184449122.5
788,25,9,E,59731.90308,-222269337.1
789,25,9,W,54393.72431,-184581312.1
790,25,10,E,55227.84572,-190686208.3
791,25,10,W,54276.06447,-183971507
792,25,11,E,54946.01016,-188615947.4
793,25,11,W,54278.38531,-184175401.8
